,X2892.TT.EQUITY,X5880.TT.EQUITY,X2849.TT.EQUITY,X5534.TT.EQUITY,X5.HK.EQUITY,X2548.TT.EQUITY,X83.HK.EQUITY,X000656.CH.EQUITY,X2880.TT.EQUITY,X601377.CH.EQUITY,X3040.TT.EQUITY,X6005.TT.EQUITY,X601108.CH.EQUITY,X601878.CH.EQUITY,X2885.TT.EQUITY,X2867.TT.EQUITY,X2501.TT.EQUITY,X2855.TT.EQUITY,X9940.TT.EQUITY,X2905.TT.EQUITY,X1808.TT.EQUITY,X2505.TT.EQUITY,X600848.CH.EQUITY,X000783.CH.EQUITY,X601162.CH.EQUITY
X2892.TT.EQUITY,0,0,0,0,0,0,0.02053967388173,0,0,0,0,0,0,0,0.0379187024010464,0,0.039523676047247,0,0,0,0.0477471752558649,0,0,0,0
X5880.TT.EQUITY,0,0,0,0,0,0,0.00351277625557272,0,0,0,0,0,0,0,0.118312073571858,0.00848418880772874,0,0,0,0,0.0282028896910369,0,0,0,0
X2849.TT.EQUITY,0,0,0,0,0,0,0.0113103552905494,0,0,0,0,0.00677299464262352,0,0,0,-0.010987809185138,0.0373427380053697,0,0.0706360224782194,0,0,0,0,0,0
X5534.TT.EQUITY,0,0,0.0302401626832325,0,-0.00454171586377641,0.0850314110392741,0.00134540346212435,0,0,0,0,0,0,0,0.0505867971319566,-0.00118291078317446,0,0,0.0179349275004058,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0.0334045142742427,0,0,0,0,0,0,0,0,0,0,0,0.283013858109422,-0.0038430106353076,0,0,0.165940219267583,0,0,0,0,0,0
X2548.TT.EQUITY,0,0,0.0623581711169002,0,0,0,0.00685019455838375,0,0,0,0,0,0,0,0.108852539421351,-0.00555664796209926,0,0,0.0318262674718602,0,0,0,0,0,0
X83.HK.EQUITY,0,0,0,0,0.217181770968894,0,0,0,0,0,0,0,0,0,0,-0.000229064807412914,0,0,0,0,0,0,0,0,0
X000656.CH.EQUITY,0,0,0,0,0,0,-0.00486045946621274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2880.TT.EQUITY,0,0,0,0,0,0,0.00829863889288376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601377.CH.EQUITY,0,0,0,0,0.00958909121863142,0,-0.00266760296642279,0,0,0,0.0487339353459424,-0.00262027631072138,0,0.20497209800973,0,0.00118116951293879,0,0,0,0,0.000893130198741938,0,0,0,0
X3040.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X6005.TT.EQUITY,0,0,0.288195605220303,0,0.020029800438287,0,-0.0164708706221717,0,0,0,0,0,0,0,0,-0.0469960975180695,0,0,0.0152597884185797,0,0,0,0,0,0
X601108.CH.EQUITY,0.0434242842111056,0,0,0,8.67361737988404e-19,0,-0.00474800370177943,0,0,0,0.0712134518874499,-0.00953324721825706,0,0,0,0,0,-4.33680868994202e-19,0,0,0.0118588526967318,0,0,0,0
X601878.CH.EQUITY,0.0288627274599847,0,0,0,0,0,-0.00372195030790713,0,0,0.104816782181923,0,-0.00672696137658489,0.345681525996078,0,0,-0.00172144654732145,0,0,0,0,0.00819196415524386,0,0,0,0
X2885.TT.EQUITY,0,0,0,0,0,0,0.0158317485828985,0,0,0,0,0,0,0,0,-0.0126079495684078,0.114467832439572,0.043051732448584,0,0,0.0272403167082775,0,0,0,0
X2867.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2501.TT.EQUITY,0,0,0,0,0,0,0.0282179877278339,0,0,0,0,0,0,0,0,-0.00693097160475285,0,0,0.285755165207884,0,0,0,0,0,0
X2855.TT.EQUITY,0.0290046018536306,0,0.075988658081333,0,0,0,0,0,0,0,0,0,0,0,0.161739060449695,0.00736859266027271,0.063741438901497,0,0,0,0.0244397479824101,0,0,0,0
X9940.TT.EQUITY,0,0,0.0568939969076184,0,0.0235079474566388,0,-0.0173358746727426,0,0,0,0,0,0,0,0,0,0.173634920497602,0,0,0,0,0,0,0,0
X2905.TT.EQUITY,0,0,0,0,0,0,0.0105355413098564,0,0,0,0,-0.00983506754954906,0,0,0.0124605043377058,-0.00464801145322552,0,0,0,0,0.067523578528932,0,0,0,0
X1808.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2505.TT.EQUITY,0,0,0,0,1.0842021724855e-19,0,-0.000400217999995563,0,0,0,0,0.00432986729670237,0,0,0,-0.00741365679146512,0,0,0.0833317321677675,0,0,0,0,0,0
X600848.CH.EQUITY,0,0,0,0,0.00239194542698654,0,0,0,0,0,0,0,0,0,0,-0.00211719829678888,0,0,0,0,0,0,0,0,0
X000783.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601162.CH.EQUITY,0,0,0,0,0.00155343983109971,0,-0.00236252027892967,0,0,0,0.0507652026312594,-0.0128604436016568,0,0.0869012419428768,0,0,0.0143881235659762,0,0,0,0,0,0,0,0
