,X601398.CH.EQUITY,X1398.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X600030.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281634435268569,0,0,0,0,0,0,0,0,0.139155153539681,0.0744486694836181,0,0.0638533173892453,0,0.0101241418522345,-0.00595883697544766,0,0
X1398.HK.EQUITY,0,0,0.223718069072138,0,0,0,0,0,0,0,0,0,0,0.17626295415143,0,0,0,0,0,0,0,0,0,0,0.184452827275692,0.0370723190192847,0,0.00677941375120928,0.00101060099897427,0,0
X939.HK.EQUITY,0,0.195954665945452,0,0,0,0,0,0,0,0,0,0,0,0.0809319137755493,0,0,0,0,0,0,0,0,0.0803222823535779,0,0.251436846347238,0.0494005115998249,0,0.00116265248168086,0.0155037466353935,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0314986519400922,0.0206425265096449,0,0,0,0,0,0.213700847427199,0,0,0.127846316210734,0,0,0.058945341547723,0,0.0120418474367388,-0.00762380408152905,0,0
X2318.HK.EQUITY,0,0,0,0,0,0.0109492481666085,0,0,0,0,0,0,0,0.195422623290045,0,0,0,0,0,0.338501526887981,0,0.0999177133811423,0,0,0.0812413584335296,0,0,-0.00105027590649477,0,0.0220038528073462,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.105464256474632,0.0921484676282498,0,0,0,0,0,0.234411361982477,0,0,0.133331818699103,0,0.0248035039538267,0.0434926383888979,0,0.00897427062213367,0.0129714898754845,0,-0.0538032575614988
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0783883648890601,0,0,0,0,0,0,0.0206745798248439,0,0,0.0471523372545566,0.139332074800693,0,0.0582594971436479,0,0.00240605600952599,-0.0026403853210589,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0460489140749387,0,0,0,0,0,0,0.276501278230005,0,0,0,0,0.00763441466686874,0.0454772423631181,0,0.0123586580018904,-0.00412862648756857,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.0347526997776981,0,0,0,0,0.0752042054168462,0.0365113574282281,0,0,0.0879329077548829,0.0928122806830565,0,0.0228558776567322,0,5.42101086242752e-20,0.000965801528214409,0,0
X5.HK.EQUITY,0,-0.172993402475587,0,0,0,0,0,0,0,0,0,0.30139674889823,0,0,0,0,0,0,0,0,0.0888344336348844,0,0,0.102131078363721,0,0.106996375921295,-0.050431655566529,-0.00529536604679803,-0.0199731385715649,0.186332198630293,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238929423325437,0,0,0,0.0385282942833911,0,0.080278687702688,0,0,0.0650488835362701,0.013345894053028,0,0.0349782431584925,0,0,0.00857110728686696,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.155920852037174,0.355144890366547,0,0,0,0,0,0,0,0,0,0,0.209417729129433,0.0378644654498448,0,-0.0152028717659168,0.00826687518507867,0,0
X601628.CH.EQUITY,0,0,0,0,-0.0624279309625753,0,0,0,0,0,0,0,0,0.476661008252664,0,0,0.227508135062193,0,0,0,0,0,0.0469079246949818,0.156984912151775,0,0,0,0.0323599884685444,0,0.0198670558396138,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.268263947716784,0,0,0,0,0,0,0,0,0,0.0269209191176999,0.190928533405637,0.302806458686089,0.105179458364692,0,0.00664006426799736,-0.0206368033511425,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0500930528851099,0,0,0,0,0.389605565713732,0.0505867118830857,0,0,0.0643233998934806,0,0,0.0192080649413408,0,-0.00828189315672781,0.0096189283247505,0,0
X3328.HK.EQUITY,0,0,0.344432837122891,0,0,0,0,0,0,0,0,0,0,0.232772265829037,0,0,0,0.0231669336813469,0,0,0,0,0.00732274955459442,0,0,0,0,0.00567968678998195,0,0,-0.0854491692774076
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0925941956006737,0.0344896682339332,0,0,0,0,0,0.146842724496161,0,0,0.0377219471850379,0.192898226914665,0,0.108900607328493,0,0.0028909889223379,-0.00187847625387515,0,0
X000002.CH.EQUITY,0,0,0,0,0.11905740353508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14855426581152,0,0,0,0.107682429732429,0.402813804165098,0,0,-0.0109636198932408,0.00907110141368939,0.0340638758997702,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833551467144565,0,0,0,0,0,0.376067063020334,0,0.0209311171263809,0.128442560831591,0,0,0.124517661645185,0,0.0157183105613772,-0.0122869068308512,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422349467708185,0,0,0,0,0.291436743984328,0,0,0,0.023465768868027,0.116162017720604,0,0.0353843868997141,0,0.00374510513233533,-0.00198362668801853,0,0
X388.HK.EQUITY,0,0,0,0,0.255876965614288,0,0,0,0,0,0,0,0.074240503841313,0.0857822800000704,0,0,0,-0.0102413953971612,0,0.0613135667914656,0,0,8.67361737988404e-19,0,0,0,0,0,-0.00143967422870249,0.0436796400308426,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0272438804967859,0.404039773597403,0,0,0,0,0.157758181893416,0,0,0,0,0,0.11403746531646,0,0,0.00640310989709526,0.00916374626017799,0.0501097349567861,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0131980666468785,0.388194266479892,0,0,0,0,0,0,0,0,0,0.630186380240455,0,0.0157274135761945,0,-0.0154033632254869,0,0,0.0376294167456557
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0559248806011477,0.0863994309613548,0,0,0,0,0,0.296659878250823,0,0,0.383031085135321,0,0,0.0111393583280656,0,0,-2.16840434497101e-19,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0972453178338879,0.371826229336182,0,0,0,0.160508044329679,0.0425145441498258,0,0,0.0884029766706366,0,0,0,0,0,-0.0174649983235897,0,0,0
CGB3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0.606041164207976,0,0,0,0,0,0.516708433970733,0,0,0,0,0.0971358515880451,0,0,0,0,-0.801667264196213,-0.379588658849502
FXI.US.EQUITY,0,0,0.309937724661597,0,0,0,0,0,0,0,0,0,-0.139483831194195,0,0,0,0,0,0,0,0,0,-0.120205378255068,-0.10748672487973,0.073802411578179,0,0,-0.204645703361319,0.020206684606496,0,-0.0424808002859799
VXFXI.INDEX,0,0,1.40919160000308,0,0,0,0,0,0,0,0,0,-0.308844989932698,0,0,0,0,0,0,0,0,-0.299725907718392,-0.745424090761365,-0.608863632409681,0.448472214237445,0,-4.81058176859651,0,0.1105903269391,-0.0941146115914095,-0.268651896202063
TED.SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,-0.498101319588049
CN3M10YSLOPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.564244657746766,0,0,0,0,0,0.138029341003446,0,0,0,0,0,-0.810631144295028,0,0.00560080461829757,0.0161074074723493,0,-0.631012875912587
CREDIT.SP,0,0,0,0,0,0,0,0,0,0,0,-0.149100477197199,0,0.632412363727811,0,0,0,0,0,0,0,0.094680288342571,0,-0.254892663122192,-0.112555868651062,-0.574394681669323,0,-0.0250374399828522,-0.0617185585665877,-0.518416923493316,0
