,X1398.HK.EQUITY,X601398.CH.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X388.HK.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X601066.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0.46512070264731,0,0,0,0,0,0,0,0.0435686611769494,0,0.113495318768041,-0.039281750078494,0,0.246845583356647,0,0,0,0,0,0,0.0378384800355667,0,0.0202023480963855,0,-0.000588310379412862,0.0104026644120626,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.286652400859214,0,0.0577028056106798,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0081977298718158,0,0.0270212421132932,0.00201185595613748,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.209484877019089,0,0,0,0,0,0,0,0.242166914181268,0,0,0,0,0,0,0,0,0,0.0211039062856937,-0.010843876463469,0,0
X939.HK.EQUITY,0.202608390535033,0,0,0,0,0,0,0,0,0,0.156994449304127,0,0,0,0,0,0.119962841869766,0,0,0,0,0,-0.0321077203930949,0.073942426806754,0,0,0,0,-0.00619434056961947,0.0180457879335152,-0.0309100316930507
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.401748712547849,0,0,0.115097115255976,0,0,0,0,0,0,0.0555529117201746,0,0.0029541885923629,0.0698283107748227,0,0,0,0,0,-0.0074019188252404,0.0410461243518517,-0.00382246727955144
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.00993781328786785,0.29512799452534,0,0,0.112432400170181,0.00123901593485865,0,0,0,0,0.0391537945153707,0,0,0,0.0233162952404693,0,0.0263546286040117,0,0.00744505450626531,-0.0072013795360657,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.13776590620176,0,0.0415671010236088,0,0,0.0470166626045648,0,0,0,0,0,0,0,0,0.0382116647573836,0,0.0132408562666797,0,0,-2.16840434497101e-19,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.147592520304263,0.051861146679675,0,0,0,0,0,0,0,0,0,0,0,0.251137499607439,0,0.0187820161272351,0,0,-0.0172800634932611,0.0104728129719487,-0.0122124154230311
X601988.CH.EQUITY,0,0,0.253325366595487,0,0,0,0,0.131965356606155,0,0,0,-0.0209491603042152,0,0,0,0,0,0.0994626361633169,0,0,0,0,0,0,0.0600806173924669,0.0340184553698727,0,-0.00151760608331811,-0.00629362947358492,0.0353229308937918,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0543734793189812,0,0.157719826720626,0.132713533791891,0,0,0,0.262256271265757,0,0,0,0,0,0,0,0.049159147126542,0,0,0.0139847013064199,-0.0075706783058343,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.294351309828464,0,0,0,0.426520641887674,0,0,0,0,0,0.332135918370728,0,0.435939838720628,0,0,0,0.0194395853310901,0,0.032277162148414,-0.0154311207287867,0.0829121802083428,0.0145887846384594
X5.HK.EQUITY,0.130680982911394,0,0,0,0,0,0,0,0,0,0.347096601323188,0,0,0,0,0,0,0,0,0,0,0,0.0884095524199995,0,0,0.048520585077829,0,-0.0302842798430163,0.0143324506736336,0,-0.298540451569904
