,BTC,ETH,XRP,LINK,BCH,LTC,BSV,CRO,BNB,EOS,ADA,XTZ,XLM,TRX,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.10516508528121,0,0,0.0266292140247006,0,0.0916760830349505,0,0,0.0526071431114613,0,0.030009992421777,0,0.0298932260678896,0,0,0,0,0,0.00701009940708593
ETH,0,0,0,0.0857719996905662,0,0,0.192947703365737,0,0.0265443319731122,0,0,0,0,0.089683471032049,0,0,0,0,0,0
XRP,0,0,0,0,0.0983586868375816,0.0332467984055443,0.212273550605221,0,0,0,0.0302818641144897,0,0,0.139605785545074,0,0,0,0,0,0
LINK,0,0,0,0,0,0,0,0,0,0,0.294139138273003,0.272289632235243,0,0,0,0,0,0,0,0
BCH,0,0,0,0.00490227758467541,0,0.346570174256366,0.208562596646573,0,0,0.0601674611431068,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0.0578635844826046,0,0.0923675064885809,0,0,0.348288156397507,0.0703815327666035,0.0115088188949261,0,0.0496969405284086,0.0627812706467294,0,0,0,0,0
BSV,0,0,0,0,0,0.37565927191267,0,0,0,0.178005332076082,0,0,0,0,0,0,0,0,0,0
CRO,0,0,0,0,0,0.0512010531547217,0.16811936114922,0,0,0.0222419041378166,0,0.0171194862552611,0,0.0846254656837008,0,0,0.116826561214723,0,0,0
BNB,0,0.224068420921898,0,0,0,0.138977401966111,0,0,0,0,0.0485146646248975,0.0675404025308578,0,0,0,0,0,0,0,0
EOS,0,0,0,0.00619959660902577,0,0.205056312359057,0.177358907482874,0,0,0,0.0384870096112289,0,0,0.161874573977801,0,0,0,0,0,0
ADA,0,0.261638049277943,0,0.149040052984993,0,0.0913524810429603,0,0,0,1.73472347597681e-18,0,0.0680347981082645,0.0366548163094192,0.0163949612482181,0,0,-0.0564682143307662,0,0,0
XTZ,0,0,0,0.354835022265692,0,0,0,0,0,0,0.0706697195652206,0,0.125317754596418,0.128639737024886,0.0276141860569266,0,0,0,0,0
XLM,0,0,0.106873882249445,0.0275623234036145,0,0,0,0,0,0,0.183250311494269,0.186425245130593,0,0.117410829539833,0,0,0,0,0,0
TRX,0,0.0485121343965809,0,0,0,0.13121697858183,0,0,0,0.306029144446172,0.0782079339765326,0.128309643655425,0.0139939001167322,0,0.0120914283064788,0,0,0,0,0
XMR,0,0.0205911709132953,0,0.0118317248959744,0,0.242826129021984,0,0,0.380955408977332,0,0.000413799224781798,0.0683659938031786,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,-0.0281310450114203,0,0,0,-0.0269934066176816,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0.0382964310674438,0,0,0,0,0,0.0493663126908871,0,0,0,0,0,-0.0731513968832986
DXY.INDEX,0,0.00991585931430955,0,-0.00201487728375649,-0.0492461823297611,0.0271469545149447,0,0.0295661318615601,0,0,-0.0156229737669514,0.0112642161918972,0.0111963137340205,0,-0.000980969757000887,0,0.00490758387521853,0,0,0.00827408848779615
SPX.INDEX,0,0,0,-3.67044411397537e-07,0,0,0,0,0,0,0,0,0,0,0,0,-0.0135325091228996,0,0,-0.0998201824359128
VIX.INDEX,0,0,0,0.0207497519770175,0,0,0,0,0.206298887536167,0.0359167513589107,-0.132742556733215,0.0148650975259958,-0.0434125542423426,-0.149587101288447,0,0,0,0,-3.59078261451385,0
