,BTC,ETH,XRP,LINK,BCH,LTC,BSV,BNB,CRO,EOS,ADA,XTZ,XLM,TRX,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0657862800142561,0,-2.16840434497101e-19,0.0152644003503477,0,0.109302201917879,0,0,0.0410063032758457,0,0.0225367329670985,0,0.0351444866502865,0,0,0,0,0,0
ETH,0,0,0,0.0599722828675679,0,0,0.197589818509105,0.0831641178466609,0,0,0,0.0323107829341354,0,0.0580532105858587,0,0,0,0,0,0
XRP,0,0,0,0,0.11136336937953,0.0301254277596151,0.209575061544841,0,0,0,0.0258737294338442,0,0,0.140000221539016,0,0,0,0,0,0
LINK,0,0,0,0,0,0,0,0,0,0,0.290011179124715,0.290795716139406,0,0,0,0,0,0,0,0
BCH,0,0,0,0.00787948098010984,0,0.217519935260611,0.238579113225015,0,0,0.105096352937901,0,0.014925362770082,0,0,0,0,0,0,0,0
LTC,0,0,0,0.00432102468540104,0.109169600675613,0,0.084472099240335,0,0,0.338234407583509,0.0660027511729804,0.029306165359674,0,0.0307832531418197,0.022119232962559,0,0,0,0,0
BSV,0,0,0,2.16840434497101e-19,0,0.488471147488654,0,0,0,0.143098364435633,0,0,0,0,0,0,0,0,0,0
BNB,0,0.226942297299089,0,0.0102959824226226,0,0.081036969743346,0.0689823813520337,0,0,0,0.0567246610503561,0.0660964169230199,0,0.0318918635074793,0,0,0,0,0,0
CRO,0,0,0,0,0,0,0.171966822905649,0,0,0.0240198897757901,0,0.0194567515868746,0,0.0872275455643805,0,0,0.117974104276446,0,0,0
EOS,0,0,0,0.0101211621138988,0.35283550141277,0.0585799911610543,0.0752657498375988,0,0,0,0.0143419105132694,0.0089081244928557,0.0820451977702839,0.135226607317701,0,0,0,0,0,0
ADA,0,0.166590794192111,0,0.153922704523918,0,0.0711301794393391,1.73472347597681e-18,0,0,1.73472347597681e-18,0,0.0764649085883656,0.023437533234073,0.0373294460057779,0,0,0,0,0,0
XTZ,0,0,0,0.325912782747609,0,0,0.0193704966270657,0,0,0,0.100240269093997,0,0.151273806272281,0,0.0732431609072537,0,0,0,0,0
XLM,0,0,0,0.0546851838511732,0,0,0,0,0,0,0.19823425576329,0.137811161381928,0,0.141422900426618,0,0,0,0,0,0
TRX,0,0,0,0,0,0.169946435171268,0.0233183285419068,0.110538921231747,0,0.186187250931187,0.0513228393385031,0.0694409352881581,0.105677136584044,0,0.148738176314669,0,0,0,0,0
XMR,0,0,0,0.0198321700473933,0.00589107503753667,0.238083596982887,0,0.348207409870373,0,0,0.0167055590370118,0.0423702640742616,0,0.0328821338237111,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.0110489305901878,0,0,0,0,0,0,0,0,-0.0277296880892392,0,0,0,-0.0276309054390086,0,0,0
CVIX.INDEX,0,0,0.0813957840759048,0,0,0,0,0,0.0489524236063967,0,0,0,0,0.0273830577924296,0,0,0,0,0,-0.0742242310268721
DXY.INDEX,0,0.0111919995464856,0,0,-0.0238017948651152,0,0,0,0.0286843564762765,0,-0.00344957928108677,0.0142906285226838,0,0.000654590768593326,-0.021499163858708,0,0.00423946674773939,0,0,-2.16840434497101e-19
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00847197694717641,0,0,-0.134300602946135
VIX.INDEX,0,0,0,0,0,0,0,0.0901356004457767,0,0,-0.0860410361993161,0.0586907732141432,-0.119527732354702,-0.0273568959520769,0,0,0,0,-3.28874868565137,0
