,BTC,ETH,XRP,LINK,BCH,DOT,BNB,LTC,BSV,CRO,EOS,ADA,TRX,XTZ,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.159260913827868,0,0.00173459399053349,0,0,0,0,0.0921648633322629,0,0.0696523158591802,0,0,0.0318089683604573,0,0,0,0,0,0
ETH,0,0,0,0.0922852954412444,0,0,0.0178983788212623,0.122668380290551,0.137252887669704,0,0,0,0.0258902940025853,0,0,0,0,0,0,0
XRP,0,0.286088922301821,0,0,0.266052230007667,0.0299016540521198,0,0.0518744808020484,0,0,0,0,0,0,0,0,0,0,0,0
LINK,0,0.0908815128062977,0,0,0,0.0505913493069678,0.172432370553175,0,0,0,0,0.266636158455017,0,0.234267938269886,0,0,0,0,0,0
BCH,0,0,0,0.00511545213112655,0,0,0,0.344505462753028,0.21656092851511,0,0.0585627481257655,0,0,0,0,0,0,0,0,0
DOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BNB,0,0.238620897616781,0,0.0406628720717035,0,0,0,0.143306839482032,0,0,0,0,0,0.0615476471408686,0,0,0,0,0,0
LTC,0,0,0,0.0511997118677297,0.125656708489844,0,0,0,0.086956314067102,0,0.310989549303624,0.0446626700837588,0,0.0469074044161385,0,0,0,0,0,0
BSV,0,0.164225008844528,0,0,0.482863245800273,0,0,0.117738861585138,0,0,0.0861712397219244,0,0,0,0,0,0,0,0,0
CRO,0,0.00182940425619521,0,0,0,0,0.0540801294148356,0.242329927718679,0.0413358135874962,0,0,0,0,8.67361737988404e-19,0.0412215112062426,0,0.035551187816905,0,0,0
EOS,0,0,0,0,0.306439745396644,0,0,0.198797391076601,0.184627932497794,0,0,0.0225866859949457,0.0132658516519974,0.0342918806348493,0.0643149596869357,0,0,0,0,0
ADA,0,0.360175220130732,0,0.159581954223781,0,0,0,0,0,0,0.0661564439207337,0,0,0.0758412008639634,0,0,0,0,0,0
TRX,0,0.393605108532204,0,0,0,0.0591194884781661,0,0,0,0,0.243538525330238,0.0180565496454063,0,0.0751504874183679,0.030607840671972,0,0,0,0,0
XTZ,0,0,0,0.340437463636957,0,0,0,0,0.137492114903082,0,0,0.0752544938583177,0,0,0.192758493636865,0,0,0,0,0
XLM,0,0,0,0.0490976479542326,0,0,0.0342646456928581,0,0,0,0.0883034160704283,0.250944513373819,0,0.142060911701906,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0.0129089474239885,0.00106214298965758,0,0,0,-0.0179280918176654,0.0147194356245755,0,0,-0.0255600266762323,0,-0.0230269981549531,0,0,0
CVIX.INDEX,0,0,0.0751171947502346,-0.0168819966592977,0,0,0,0,0,0,0.0802743068122198,0,0,0,0,0,0,0,0,-0.0543856580175615
DXY.INDEX,0.0409799186088353,0,0,-0.00115999777895203,-0.0434002392147643,0,0,0,0,0,0.0087059560990252,-0.0220813308692757,0,0.00866873819105208,0.0016815406572762,0,0.00198509146052775,0,0,0.00854375586313215
SPX.INDEX,0,0,0,0,0,0.00475652161951038,-0.0014636055453054,0,0,0,-0.00176358962928961,-0.00792452637865573,0.00509320523830256,0,0,0,-0.0116066681533251,0,0,-0.121060434096515
VIX.INDEX,0,0,0,0,-0.0116539534916535,0.0436990251700724,0.0792582848453404,0,0,0,0,-0.0690911196527275,0,0,-0.189031825702608,0,0,0,-3.12897674536575,0
