date,X601398.CH.Equity,X1398.HK.Equity,X601318.CH.Equity,X2318.HK.Equity,X601939.CH.Equity,X939.HK.Equity,X601288.CH.Equity,X601628.CH.Equity,X2628.HK.Equity,X600036.CH.Equity,X601988.CH.Equity,X3988.HK.Equity,X1299.HK.Equity,X5.HK.Equity,X388.HK.Equity
20200916,0.272367201400596,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200917,0.25337012125394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200918,0.253182420378835,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200921,0.238473283627378,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200922,0.258169397884044,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200923,0.244915141935892,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200924,0.232078045760642,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200925,0.260369194330804,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200928,0.248803997819573,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200929,0.213605589301158,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200930,0.232565066178373,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201009,0.208090351148561,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201012,0.22735744050633,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201013,0.190998026767115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201014,0.19274778426559,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201015,0.153205043223947,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20201016,0.255111692283995,0,0,0,0,0,0,0,0,0,0,0,0,0,0
