Date,SHIBOR3M,AA10Y,AA+10Y,A10Y,A+10Y,AA-10Y,AAA10Y,AAA2Y,A2Y,A+10Y,AA-2Y,AA2Y,A+2Y,AAA6M,CGB6M,CGB3M,CGB2Y,CGB10Y
2019-01-02,3.285,5.3617,4.7597,11.3937,9.512,7.4474,4.3209,3.7668,10.3769,8.4889,6.4683,4.4299,4.0206,3.4322,2.5819,2.6124,2.6799,3.2042
2019-01-03,3.246,5.2844,4.7085,11.3637,9.4301,7.432,4.2567,3.7103,10.3346,8.3837,6.4774,4.4174,4.0064,3.3793,2.5384,2.4408,2.6405,3.1517
2019-01-04,3.215,5.2638,4.7015,11.3518,9.4421,7.4121,4.24,3.6783,10.3107,8.3953,6.4256,4.3791,3.9205,3.3288,2.4616,2.4563,2.634,3.1316
2019-01-07,3.141,5.2493,4.6746,11.3576,9.4468,7.4023,4.2154,3.6178,10.3121,8.3561,6.3926,4.3291,3.8442,3.2482,2.4143,2.367,2.6075,3.1509
2019-01-08,3.093,5.2481,4.6492,11.3241,9.3909,7.3627,4.1695,3.5797,10.2637,8.2997,6.343,4.248,3.8257,3.2143,2.3885,2.2881,2.5581,3.1115
2019-01-09,3.065,5.2492,4.5927,11.3588,9.375,7.3492,4.1379,3.5486,10.2713,8.2816,6.3223,4.2233,3.7475,3.1375,2.3901,2.3684,2.5688,3.111
2019-01-10,3.031,5.208,4.5777,11.3409,9.3524,7.3428,4.1279,3.4581,10.2223,8.1998,6.2646,4.1089,3.7076,3.1086,2.3988,2.3575,2.5787,3.1212
2019-01-11,3.007,5.2519,4.5771,11.3206,9.346,7.3434,4.1127,3.4401,10.2089,8.1421,6.209,4.1133,3.72,3.0933,2.383,2.3743,2.6127,3.1106
2019-01-14,2.984,5.2435,4.562,11.2899,9.3451,7.3213,4.1471,3.4582,10.1447,8.1446,6.1712,4.0905,3.706,3.1151,2.3852,2.3344,2.6181,3.1212
2019-01-15,2.962,5.2441,4.594,11.2801,9.3226,7.3479,4.1814,3.4596,10.1483,8.1292,6.1682,4.0917,3.7014,3.1242,2.3911,2.3325,2.6392,3.1477
2019-01-16,2.942,5.2645,4.5903,11.3028,9.2688,7.3713,4.1712,3.4248,10.0877,8.0926,6.1511,4.0855,3.6932,3.0881,2.3652,2.3523,2.6431,3.0858
2019-01-17,2.93,5.2702,4.5923,11.2558,9.2823,7.3639,4.1631,3.4442,10.0396,8.0739,6.1421,4.0784,3.7257,3.0771,2.3503,2.3427,2.5775,3.0732
2019-01-18,2.918,5.2867,4.6111,11.2635,9.2661,7.4149,4.1671,3.4325,10.0129,8.0423,6.1397,4.0586,3.6772,3.0683,2.3644,2.3295,2.5768,3.1024
2019-01-21,2.915,5.2965,4.5985,11.2251,9.2787,7.4038,4.186,3.3829,9.9505,7.9867,6.0768,4.0145,3.6349,3.0445,2.3767,2.3829,2.5748,3.1146
2019-01-22,2.914,5.2814,4.6115,11.1915,9.292,7.454,4.1573,3.383,9.9149,7.9581,6.0549,4.0029,3.6446,3.0454,2.3861,2.3707,2.5948,3.1152
2019-01-23,2.909,5.263,4.66,11.2109,9.3286,7.4363,4.1612,3.3841,9.9271,7.9706,6.0389,4.002,3.6498,3.0946,2.3909,2.3434,2.5924,3.1363
2019-01-24,2.904,5.2777,4.657,11.288,9.3065,7.4475,4.1591,3.4,9.9917,7.9859,6.0486,4.0215,3.6506,3.076,2.395,2.3533,2.5726,3.1246
2019-01-25,2.902,5.3052,4.6483,11.3226,9.3295,7.4692,4.1648,3.3721,10.0204,7.9695,6.0517,4.0279,3.6591,3.0526,2.3837,2.3517,2.5818,3.1383
2019-01-28,2.901,5.3066,4.6245,11.303,9.3662,7.4552,4.2007,3.4169,10.0199,8.0102,6.0845,4.0371,3.6277,3.0863,2.3573,2.3567,2.5863,3.1578
2019-01-29,2.9,5.279,4.6309,11.2947,9.3199,7.4448,4.1974,3.4047,10.0239,7.962,6.0668,4.0351,3.6278,3.0675,2.3609,2.3352,2.5687,3.1322
2019-01-30,2.901,5.3003,4.6357,11.314,9.312,7.4519,4.197,3.3995,10.0125,7.9563,6.0767,4.0269,3.6224,3.0832,2.3093,2.2846,2.5381,3.1276
2019-01-31,2.9,5.3405,4.6389,11.332,9.3386,7.4348,4.184,3.3835,10.0278,7.9853,6.0673,4.0304,3.6221,3.0668,2.3203,2.3021,2.5806,3.1165
2019-02-01,2.9,5.3206,4.6258,11.3504,9.3728,7.391,4.1968,3.3745,10.02,7.9814,6.0183,3.9877,3.6288,3.049,2.3384,2.2644,2.5308,3.1063
2019-02-04,,,,,,,,,,,,,,,,,,
2019-02-05,,,,,,,,,,,,,,,,,,
2019-02-06,,,,,,,,,,,,,,,,,,
2019-02-07,,,,,,,,,,,,,,,,,,
2019-02-08,,,,,,,,,,,,,,,,,,
2019-02-11,2.898,5.3295,4.6294,11.3574,9.3857,7.4097,4.1847,3.359,10.0095,7.9983,6.0254,4.0003,3.6475,3.0336,2.3,2.2434,2.5379,3.0689
2019-02-12,2.872,5.3328,4.6131,11.3463,9.4029,7.3956,4.179,3.3436,9.9682,7.9974,6.0082,3.952,3.6422,2.9986,2.2896,2.2095,2.495,3.065
2019-02-13,2.852,5.3198,4.6093,11.3716,9.4233,7.3609,4.1827,3.3166,9.9611,7.9804,5.9443,3.9127,3.5916,2.9769,2.2493,2.2025,2.4912,3.0753
2019-02-14,2.83,5.3056,4.6024,11.3421,9.4126,7.3863,4.1777,3.3067,9.9313,7.9461,5.9445,3.9071,3.5719,2.9561,2.2716,2.1955,2.5165,3.0971
2019-02-15,2.802,5.3147,4.5987,11.3291,9.3774,7.3815,4.2086,3.3051,9.9146,7.9111,5.9358,3.9003,3.5453,2.9511,2.2554,2.206,2.5075,3.0873
2019-02-18,2.797,5.3375,4.6367,11.3354,9.3805,7.4172,4.2204,3.2466,9.8768,7.8905,5.9389,3.8829,3.5387,2.8833,2.1991,2.1188,2.5064,3.0952
2019-02-19,2.778,5.3655,4.6639,11.3698,9.405,7.436,4.2415,3.2951,9.8954,7.8712,5.9481,3.8958,3.5367,2.9005,2.2126,2.137,2.5212,3.1247
2019-02-20,2.759,5.3661,4.6606,11.3702,9.3893,7.4799,4.2289,3.2852,9.8952,7.8634,5.9715,3.8991,3.5399,2.8914,2.1896,2.0929,2.5159,3.1183
2019-02-21,2.749,5.3722,4.6683,11.3816,9.4055,7.5067,4.2306,3.2781,9.8859,7.8778,5.9587,3.8976,3.5303,2.8824,2.1747,2.1097,2.5144,3.1312
2019-02-22,2.749,5.3444,4.6698,11.3859,9.3756,7.4923,4.241,3.2725,9.8957,7.8361,5.9412,3.8787,3.5165,2.8674,2.1617,2.1024,2.5323,3.1392
2019-02-25,2.752,5.3792,4.7049,11.4544,9.3891,7.5112,4.2812,3.2756,9.9167,7.8163,5.9221,3.8956,3.5226,2.9038,2.1512,2.1029,2.5372,3.1805
2019-02-26,2.756,5.3713,4.7101,11.4831,9.4377,7.4931,4.2884,3.3187,9.9391,7.8615,5.9079,3.9285,3.5519,2.9145,2.2356,2.15,2.5907,3.2106
2019-02-27,2.756,5.4242,4.7668,11.464,9.4564,7.5147,4.3077,3.4066,9.9306,7.8762,5.9397,3.9612,3.6377,3.0163,2.2495,2.186,2.6034,3.1689
2019-02-28,2.751,5.4073,4.7629,11.4806,9.4602,7.557,4.3158,3.4122,9.9505,7.9165,5.9542,3.9593,3.6213,3.0204,2.2501,2.1887,2.6308,3.1656
2019-03-01,2.75,5.4565,4.7596,11.4858,9.5184,7.5981,4.3669,3.4453,9.959,7.9416,5.9643,3.9721,3.6165,2.9969,2.2258,2.1803,2.6251,3.1856
2019-03-04,2.75,5.4893,4.7556,11.4905,9.5513,7.6063,4.3995,3.4774,9.9807,7.9816,5.9668,3.9796,3.6051,2.9927,2.2517,2.0715,2.6388,3.2032
2019-03-05,2.75,5.533,4.7885,11.5179,9.5896,7.635,4.39,3.484,9.9734,8.0054,6.0122,4.015,3.6234,3.0047,2.2412,2.0242,2.6459,3.2043
2019-03-06,2.75,5.5425,4.8291,11.5223,9.5959,7.6605,4.4153,3.4826,10.0132,8.0541,6.0629,4.0501,3.6788,3.0039,2.2211,2.0537,2.6512,3.2092
2019-03-07,2.751,5.5417,4.8309,11.5381,9.54,7.6446,4.4234,3.4821,10.0182,8.0072,6.0714,4.0248,3.6835,3.0001,2.1996,2.0344,2.682,3.1729
2019-03-08,2.755,5.4908,4.7621,11.4939,9.5042,7.5899,4.3551,3.411,10.0217,7.9874,6.0348,3.9671,3.6121,3.0082,2.2166,2.0215,2.6458,3.1419
2019-03-11,2.7565,5.5017,4.7992,11.4518,9.5768,7.5966,4.3699,3.4523,9.9882,8.0349,6.0517,4.0128,3.6455,3.0324,2.1218,1.9779,2.6068,3.1401
2019-03-12,2.761,5.4962,4.8,11.5119,9.6262,7.5937,4.3605,3.4258,10.026,8.0582,6.0706,4.0107,3.6434,3.0015,2.1479,1.979,2.6274,3.1423
2019-03-13,2.768,5.5101,4.8237,11.5032,9.6221,7.5944,4.3915,3.4593,10.0161,8.0747,6.0807,4.0298,3.6736,3.0141,2.1531,2.03,2.6619,3.1423
2019-03-14,2.777,5.5475,4.8443,11.5305,9.5857,7.6216,4.4014,3.4441,10.0251,8.0283,6.0546,4.0534,3.7027,2.9995,2.2552,2.034,2.6555,3.1423
2019-03-15,2.799,5.5584,4.8925,11.5086,9.6311,7.6476,4.421,3.4554,10.0219,8.0234,6.0806,4.0206,3.7106,3.0108,2.2489,2.1098,2.6259,3.1483
