Date,FXI US EQUITY,VXFXI INDEX,CN10YR,CN2YR
2019/1/2,38.76,26.51,3.276,2.715
2019/1/3,38.09,27.41,3.227,2.699
2019/1/4,39.38,25.03,3.234,2.69
2019/1/7,39.47,24.83,3.241,2.683
2019/1/8,39.65,24.42,3.223,2.613
2019/1/9,40.33,23.48,3.218,2.628
2019/1/10,40.57,22.44,3.215,2.642
2019/1/11,40.39,21.31,3.209,2.639
2019/1/14,39.91,22.08,3.225,2.648
2019/1/15,40.3,21.25,3.24,2.649
2019/1/16,40.84,21.75,3.203,2.612
2019/1/17,40.97,21.74,3.18,2.599
2019/1/18,41.37,21.02,3.196,2.61
2019/1/21,37.92,32.845,3.212,2.622
2019/1/22,40.52,22.96,3.211,2.632
2019/1/23,40.98,21.67,3.211,2.628
2019/1/24,41.41,20.96,3.214,2.63
2019/1/25,42.19,21.37,3.23,2.634
2019/1/28,41.84,22.21,3.23,2.628
2019/1/29,41.84,22.22,3.222,2.63
2019/1/30,42.58,21.92,3.21,2.614
2019/2/11,42.54,20.69,3.181,2.58
2019/2/12,42.62,20.14,3.175,2.568
2019/2/13,43.02,20.14,3.175,2.554
2019/2/14,42.86,20.32,3.182,2.544
2019/2/15,42.63,20.44,3.188,2.538
2019/2/18,37.92,32.845,3.214,2.567
2019/2/19,43.25,21.2,3.218,2.562
2019/2/20,43.5,21.23,3.214,2.557
2019/2/21,43.4,20.92,3.229,2.569
2019/2/22,44.14,20.8,3.234,2.579
2019/2/25,45.02,21.91,3.27,2.593
2019/2/26,44.65,22.4,3.294,2.621
2019/2/27,43.93,22.59,3.287,2.615
2019/3/4,44.42,22.14,3.305,2.647
2019/3/5,44.97,21.6,3.308,2.661
2019/3/6,44.52,21.94,3.315,2.671
2019/3/7,43.53,23.08,3.284,2.646
2019/3/8,42.75,23.24,3.267,2.624
2019/3/11,43.6,22.12,3.261,2.637
2019/3/12,44.11,21.94,3.268,2.649
2019/3/13,43.99,21.58,3.268,2.653
2019/3/14,43.85,20.43,3.269,2.665
2019/3/15,44.46,20.01,3.267,2.652
2019/3/18,44.99,19.62,3.26,2.676
2019/3/19,45.17,20.14,3.256,2.671
2019/3/20,44.9,21.1,3.256,2.67
2019/3/21,44.89,20.77,3.255,2.653
2019/3/22,43.59,22.15,3.245,2.645
2019/3/25,43.5,22.37,3.215,2.628
2019/3/26,43.57,20.79,3.202,2.654
2019/3/27,43.49,20.81,3.196,2.657
2019/3/28,43.83,19.77,3.199,2.644
2019/3/29,44.27,20.16,3.207,2.642
2019/4/1,44.98,20.39,3.242,2.654
2019/4/2,44.74,19.86,3.281,2.658
2019/4/3,45.06,20.57,3.308,2.691
2019/4/8,45.71,19.02,3.344,2.689
2019/4/9,45.61,18.72,3.363,2.732
2019/4/10,45.52,18.63,3.396,2.768
2019/4/11,44.89,18.93,3.377,2.766
2019/4/12,45.44,18.56,3.387,2.778
2019/4/15,44.93,18.63,3.44,2.866
2019/4/16,45.6,18.34,3.489,2.908
2019/4/17,45.66,18.5,3.485,2.905
2019/4/18,45.73,17.57,3.472,2.882
2019/4/19,37.92,32.845,3.454,2.837
2019/4/22,45.31,19.06,3.479,2.873
2019/4/23,45.3,18.86,3.505,2.908
2019/4/24,44.62,19.11,3.526,2.928
2019/4/25,44.34,18.9,3.513,2.891
2019/4/26,44.6,18.65,3.507,2.87
2019/4/29,44.76,18.93,3.507,2.89
2019/4/30,44.49,18.77,3.494,2.853
2019/5/6,43.74,22.51,3.457,2.81
2019/5/7,42.56,25.94,3.449,2.794
2019/5/8,42.42,25.77,3.441,2.806
2019/5/9,41.7,27.72,3.435,2.808
2019/5/10,41.97,24.11,3.433,2.807
2019/5/13,40.62,30.41,3.397,2.793
2019/5/14,41.27,26.05,3.411,2.826
2019/5/15,41.47,23.35,3.406,2.827
2019/5/16,41.66,22.08,3.4,2.827
2019/5/17,40.97,23.03,3.379,2.818
2019/5/20,40.41,23.54,3.381,2.836
2019/5/21,40.85,21.64,3.413,2.841
2019/5/22,40.62,21.61,3.427,2.859
2019/5/23,40.12,23.5,3.399,2.847
2019/5/24,39.93,22.73,3.393,2.837
2019/5/27,37.92,32.845,3.421,2.878
2019/5/28,40.13,23.01,3.424,2.888
2019/5/29,40.48,22.94,3.376,2.866
2019/5/30,40.49,22.94,3.378,2.844
2019/5/31,40.37,23.29,3.372,2.845
2019/6/3,40.54,23.99,3.349,2.798
2019/6/4,40.39,22.98,3.322,2.784
2019/6/5,40.13,22.8,3.303,2.787
2019/6/6,40.15,21.83,3.303,2.769
2019/6/10,40.95,21.27,3.31,2.78
2019/6/11,41.41,21.43,3.344,2.804
2019/6/12,40.66,21.88,3.354,2.81
2019/6/13,40.88,21.41,3.336,2.804
2019/6/14,40.49,21.77,3.329,2.799
2019/6/17,40.42,20.75,3.32,2.788
2019/6/18,41.6,22.56,3.334,2.789
2019/6/19,41.92,21.57,3.335,2.77
2019/6/20,42.71,21.04,3.313,2.749
2019/6/21,42.5,20.61,3.318,2.759
2019/6/24,42.53,21.08,3.334,2.766
2019/6/25,41.82,21.85,3.339,2.759
