date,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
2019-01-02,2.6124,38.76,26.51,0.6726,0.5918,1.1167
2019-01-03,2.4408,38.09,27.41,0.8052,0.7109,1.105
2019-01-04,2.4563,39.38,25.03,0.7587,0.6753,1.1084
2019-01-07,2.367,39.47,24.83,0.774,0.7839,1.0645
2019-01-08,2.2881,39.65,24.42,0.8049,0.8234,1.058
2019-01-09,2.3684,40.33,23.48,0.6966,0.7426,1.0269
2019-01-10,2.3575,40.57,22.44,0.6735,0.7637,1.0067
2019-01-11,2.3743,40.39,21.31,0.6327,0.7363,1.0021
2019-01-14,2.3344,39.91,22.08,0.6496,0.7868,1.0259
2019-01-15,2.3325,40.3,21.25,0.6295,0.8152,1.0337
2019-01-16,2.3523,40.84,21.75,0.5897,0.7335,1.0854
2019-01-17,2.3427,40.97,21.74,0.5873,0.7305,1.0899
2019-01-18,2.3295,41.37,21.02,0.5885,0.7729,1.0647
2019-01-21,2.3829,37.92,32.845,0.5321,0.7317,1.0714
2019-01-22,2.3707,40.52,22.96,0.5433,0.7445,1.0421
2019-01-23,2.3434,40.98,21.67,0.5656,0.7929,1.0249
2019-01-24,2.3533,41.41,20.96,0.5507,0.7713,1.0345
2019-01-25,2.3517,42.19,21.37,0.5503,0.7866,1.0265
2019-01-28,2.3567,41.84,22.21,0.5443,0.8011,1.0429
2019-01-29,2.3352,41.84,22.22,0.5648,0.797,1.0652
2019-01-30,2.2846,42.58,21.92,0.6164,0.843,1.0694
2019-02-11,2.2434,42.54,20.69,0.6546,0.8255,1.1158
2019-02-12,2.2095,42.62,20.14,0.6625,0.8555,1.114
2019-02-13,2.2025,43.02,20.14,0.6495,0.8728,1.1074
2019-02-14,2.1955,42.86,20.32,0.6345,0.9016,1.0806
2019-02-15,2.206,42.63,20.44,0.596,0.8813,1.1213
2019-02-18,2.1188,37.92,32.845,0.6782,0.9764,1.1252
2019-02-19,2.137,43.25,21.2,0.641,0.9877,1.1168
2019-02-20,2.0929,43.5,21.23,0.6661,1.0254,1.1106
2019-02-21,2.1097,43.4,20.92,0.6393,1.0215,1.0994
2019-02-22,2.1024,44.14,20.8,0.6466,1.0368,1.1018
2019-02-25,2.1029,45.02,21.91,0.6491,1.0776,1.1007
2019-02-26,2.15,44.65,22.4,0.606,1.0606,1.0778
2019-02-27,2.186,43.93,22.59,0.57,0.9829,1.1388
2019-03-04,2.0715,44.42,22.14,0.6785,1.1317,1.1963
2019-03-05,2.0242,44.97,21.6,0.7258,1.1801,1.1857
2019-03-06,2.0537,44.52,21.94,0.6963,1.1555,1.2061
2019-03-07,2.0344,43.53,23.08,0.7166,1.1385,1.2505
2019-03-08,2.0215,42.75,23.24,0.7335,1.1204,1.2132
2019-03-11,1.9779,43.6,22.12,0.7786,1.1622,1.2298
2019-03-12,1.979,44.11,21.94,0.782,1.1633,1.2182
2019-03-13,2.03,43.99,21.58,0.738,1.1123,1.2492
2019-03-14,2.034,43.85,20.43,0.743,1.1083,1.2591
2019-03-15,2.1098,44.46,20.01,0.6892,1.0385,1.2727
2019-03-18,2.148,44.99,19.62,0.666,0.9845,1.3207
2019-03-19,2.1509,45.17,20.14,0.6721,0.9838,1.3335
2019-03-20,2.1812,44.9,21.1,0.6518,0.9623,1.337
2019-03-21,2.1755,44.89,20.77,0.6625,0.955,1.3183
2019-03-22,2.1937,43.59,22.15,0.6433,0.9195,1.3334
2019-03-25,2.1395,43.5,22.37,0.6965,0.9488,1.3645
2019-03-26,2.1448,43.57,20.79,0.6832,0.9134,1.3674
2019-03-27,2.1146,43.49,20.81,0.7044,0.9783,1.3247
2019-03-28,2.1429,43.83,19.77,0.6641,0.9204,1.3333
2019-03-29,2.1666,44.27,20.16,0.6344,0.8967,1.3187
2019-04-01,2.1644,44.98,20.39,0.6306,0.9688,1.3007
2019-04-02,2.1196,44.74,19.86,0.6664,1.0533,1.2706
2019-04-03,2.1308,45.06,20.57,0.6362,1.1119,1.2104
2019-04-08,2.1409,45.71,19.02,0.6131,1.1123,1.2291
2019-04-09,2.1565,45.61,18.72,0.5945,1.1267,1.2083
2019-04-10,2.1034,45.52,18.63,0.6516,1.1999,1.2315
