date,quantile
20200701,0.33196768778252
20200702,0.330793927303072
20200703,0.281368667976559
20200706,0.222319885597735
20200707,0.325726196098625
20200708,0.491373647043888
20200709,0.506291878483048
20200710,0.382137729306933
20200713,0.226883361190363
20200714,0.201075011158966
20200715,0.249308928770203
20200716,0.181636485584386
20200717,0.280142169505078
20200720,0.186234243407124
20200721,0.159365535475503
20200722,0.411744264819396
20200723,0.496902535551451
20200724,0.274835350291839
20200727,0.261152152325895
20200728,0.164679588038861
20200729,0.149069053645804
20200730,0.189907551819063
20200731,0.155224739821613
20200803,0.214203868863239
20200804,0.172090550443567
20200805,0.13852211485488
20200806,0.191497539307824
20200807,0.176780640181066
20200810,0.193219495618063
20200811,0.19331522365702
20200812,0.167552177505716
20200813,0.183314348075055
20200814,0.195557108775646
20200817,0.237920627575787
20200818,0.18364215450285
20200819,0.253997534115675
20200820,0.182241909247621
20200821,0.213398367906426
20200824,0.125416383936757
20200825,0.123019921366662
20200826,0.148142438511078
20200827,0.150430216187182
20200828,0.163499472211877
20200831,0.186779505164773
20200901,0.190974284831523
20200902,0.148279715026543
20200903,0.232449411364962
20200904,0.222106889078864
20200907,0.22513204968684
20200908,0.230041669446002
20200909,0.191517259141933
20200910,0.149120958897035
20200911,0.146654563891776
20200914,0.183020002292868
20200915,0.103286402150296
20200916,0.115752927020593
20200917,0.10976657543929
20200918,0.11587553749452
20200921,0.17967783986937
20200922,0.181308195948988
20200923,0.126285414687863
20200924,0.198174181269035
20200925,0.213220066389114
20200928,0.176971157186996
20200929,0.168258385936682
20200930,0.172326673996695
20201009,0.0804575715428272
20201012,0.462379299835628
20201013,0.451583647279316
20201014,0.319327495525229
20201015,0.380318143522857
20201016,0.787669200587743
20201019,0.801830990162631
20201020,0.723410404090775
20201021,0.69751147905589
20201022,0.249967019505715
20201023,0.569572591137029
20201026,0.44845997147787
20201027,0.433583771520463
20201028,0.426181929089546
20201029,0.514681957264211
20201030,0.476429759840946
