,X601398.CH.Equity,X1398.HK.Equity,X601318.CH.Equity,X2318.HK.Equity,X601939.CH.Equity,X939.HK.Equity,X601288.CH.Equity,X601628.CH.Equity,X2628.HK.Equity,X600036.CH.Equity,X601988.CH.Equity,X3988.HK.Equity,X1299.HK.Equity,X5.HK.Equity,X388.HK.Equity,GCNY3M.Index,GCNY10YR.Index,SHIF3M.Index,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.Equity,0,0,0.0813177018564791,0,0,0,0,0,0,0.198221826947656,0,0,0,0,0,0,0,0,0,0
X1398.HK.Equity,0,0,0,0,0,0.312111225715438,0,0,0.0923717963650535,0,0,0.0249734476033519,0,0.0637322377286709,0,0,0,0,0,0
X601318.CH.Equity,0,0,0,0,0,0,0,0.150670745522764,0.211151600522196,0.163404908205118,0,0,0,0,0,0,0,0,0,0
X2318.HK.Equity,0,0,0,0,0,0,0,0.0484327883822553,0.105968613058042,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.Equity,0,0,0.0676462491035771,0,0,0,0,0.00396869146121053,0.0627375608142451,0.258854491049736,0,0,0,0,0,0,0,0,0,0
X939.HK.Equity,0,0.44363565046404,0,0,0,0,0,0.0379127318170084,0.0189004683902611,0.0332016761893409,0,0,0,0,0,0,0,0,0,0
X601288.CH.Equity,0,0,0.0735075828536619,0,0,0,0,0,0.0468188581138963,0.132466160379516,0,0,0,0,0,0,0,0,0,0
X601628.CH.Equity,0,0,1.01301984752221,0,0,0,0,0,0.285434654904694,0.124014201847328,0,0,0,-0.0898273835797514,0,0,0,0,0,-0.025820312926411
X2628.HK.Equity,0,0,0.18144443272529,0,0,0,0,0.299130761077643,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.Equity,0,0,0.345111924742272,0,0.0748931274442262,0,0,0.0950903213471304,0.0455193709796485,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0
X601988.CH.Equity,0,0,0.0721580146915081,0,0,0,0,0.0125938897723843,0.0224459796773576,0.187771454278809,0,0,0,0,0,0,0,0,0,0
X3988.HK.Equity,0,0.267756806638351,0,0,0,0,0,0,0.0864863045835441,0.0195812602000997,0,0,0,0.0429776832168839,0,0,0,0,0,0
X1299.HK.Equity,0,0,0.0574153667554637,0,0,0.109220527957739,0,-0.0461917398262094,0.0959755418043201,0.101923477904064,0,0.0470935179258231,0,0.0036797224093232,0.0704202913376796,0,0,0,0,0
X5.HK.Equity,0,0,0,0,0,0,0,0,0.133796142199948,0,0,0,0.144815796619561,0,0,0,0,0,0,0
X388.HK.Equity,0,-0.192773080686565,0,0,0,0,0,0.0722726508872807,0.301591754688145,-0.194731554708022,0,0,0.213382851397035,0,0,0,0,0,0,0
GCNY3M.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCNY10YR.Index,0,0,0.122705879069848,0,0,0,-0.135994208096639,-0.0217153437059991,0,0,0,0,-0.159082553797343,0.121940569885041,0,0,0,-0.285721179468529,0,-0.021334571584946
SHIF3M.Index,0,0,0,0,-0.0320342835505452,0,0,-0.0127540187752076,0,0,0,0,0,0,0,0,0,0,0,0
FXI.US.EQUITY,0,0,0,0,0.0688382581029582,0,0,0,-0.0594310479300134,0.0110882181120507,0,0,0,0,0.0915623057931538,0,0,0,0,-0.105953265110399
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.29395126434928,0
