,X601398.CH.Equity,X1398.HK.Equity,X601318.CH.Equity,X2318.HK.Equity,X601939.CH.Equity,X939.HK.Equity,X601288.CH.Equity,X601628.CH.Equity,X2628.HK.Equity,X600036.CH.Equity,X601988.CH.Equity,X3988.HK.Equity,X1299.HK.Equity,X5.HK.Equity,X388.HK.Equity,GCNY3M.Index,GCNY10YR.Index,SHIF3M.Index,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.Equity,0,0,0,0,0,0,0,0.0258548271138426,0,0.183998884064589,0,0,0,0,0,0,0,0,0,0
X1398.HK.Equity,0,0,0,0,0,0.278789143421989,0,0,0.0705008830660159,0.0177051738616681,0,0.0870624309850879,0,0.0148928325481511,0,0,0,0,0,0
X601318.CH.Equity,0,0,0,0,0,0,0,0.197244760319221,0.145000279041378,0.0972836788809118,0,0,0,0,0,0,0,0,0,0
X2318.HK.Equity,0,0,0,0,0,0,0,0.0277275379760624,0.18913937541152,0,0,0,0,0,0,0,0,0,0,-0.016327536268398
X601939.CH.Equity,0,0,0,0,0,0,0,0.0735886869047968,0,0.158647817399223,0,0,0,0,0,0,0,0,0,0
X939.HK.Equity,0,0.330151522553789,0,0,0,0,0,0.0285505547524241,0.0290883086020144,0.0714071800875368,0,0,0,0,0,0,0,0,0,0
X601288.CH.Equity,0,0,0.0649487131871599,0,0.0347889353144842,0,0,0,0.0488913737316184,0.123710006443809,0,0,0,0,0,0,0,0,0,0
X601628.CH.Equity,0,0,0.849275931867408,0,0,0,0,0,0.337577706717903,0.069366776276394,0,0,0,0,0,0,0,0,0,0
X2628.HK.Equity,0,0,0.172932677303008,0,0,0,0,0.315186174694857,0,0,0,0,0.0386572689053633,0,0,0,0,0,0,0
X600036.CH.Equity,0,0,0.311122084912626,0,0.174207768714075,0,0,0.100964749393005,0.0160010340959986,0,0,0,0,0.022717942116329,0,0,0,0,0,0
X601988.CH.Equity,0,0,0.0338091572074935,0,0,0,0,0.0307298625567645,0,0.163411935063957,0,0,0,0,0,0,0,0,0,0
X3988.HK.Equity,0.0690642569222077,0.162767190143455,0,0,0,0,0,0,0.0643375257012502,0.0574601272261393,0,0,0.0413036573155046,0,0,0,0,0,0,0
X1299.HK.Equity,0,0,0,0,0,0,0,0,0.1480405412247,0.0455226703380098,0,0,0,0.135080194969346,0,0,0,0,0,0
X5.HK.Equity,0,0,0,0,0,0,0,0,0.136870515869594,0,0,0,0.149516707004092,0,0,0,0,0,0,0
X388.HK.Equity,-0.0981082458993043,-0.233446827138108,0,0,0,0,0,0.080775424351344,0.31000018476363,-0.106607913593853,0,0,0.204742331024704,0,0,0,0,0,0,0.0381634874995515
GCNY3M.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCNY10YR.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHIF3M.Index,0,0,0,0,0,0,0,-0.0193173836995194,0,0,0,0,0,0,0,0,0,0,0,0
FXI.US.EQUITY,0,0,0,0,0.0505177449258805,0,0,0,-0.0497054105541367,0.00969195752699671,0,0,0,0,0.0915645047066218,0,0,0,0,-0.0961007308671678
VXFXI.INDEX,0.130889547663179,0,-0.593452425687969,0,0.559604540391793,0,0,-0.0244492714650919,0,0,0.0612097163305899,0,-0.198968157302346,0,0,0,0,0,-1.17313314460039,0
