,X601398.CH.Equity,X1398.HK.Equity,X601318.CH.Equity,X2318.HK.Equity,X601939.CH.Equity,X939.HK.Equity,X601288.CH.Equity,X601628.CH.Equity,X2628.HK.Equity,X600036.CH.Equity,X601988.CH.Equity,X3988.HK.Equity,X1299.HK.Equity,X5.HK.Equity,X388.HK.Equity,GCNY3M.Index,GCNY10YR.Index,SHIF3M.Index,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.Equity,0,0,0.0697921797672604,0,0,0,0,0,0,0.208503358582431,0,0,0,0,0,0,0,0,0,0
X1398.HK.Equity,0,0,0,0,0,0.481470908554322,0,0,0.0565476140195966,0.033625836718533,0,0.120045171839052,0,0,0,0,0,0,0,0
X601318.CH.Equity,0,0,0,0,0,0,0,0.167894306742825,0.150676960745521,0.17266811820466,0,0,0,0,0,0,0,0,0,0
X2318.HK.Equity,0,0,0,0,0,0,0,0.0471575393768425,0.12215976497109,0,0,0,0,0,0,0,0,0,0,-0.00839920816187705
X601939.CH.Equity,0,0,0,0,0,0,0,0.00204281359746,0.0681157301063224,0.306236386495379,0,0,0,0,0,0,0,0,0,0
X939.HK.Equity,0,0.402466863648185,0,0,0,0,0,0.0326131034091457,0.0278620531474133,0.0494046200337839,0,0,0,0,0,0,0,0,0,0
X601288.CH.Equity,0,0,0,0,0,0,0,0,0.0568481748329271,0.144008071048239,0,0,0,0,0,0,0,0,0,0
X601628.CH.Equity,0,0,0.958415904437358,0,0,0,0,0,0.343381197468456,0,0,0,0,0,0,0,0,0,0,0
X2628.HK.Equity,0,0,0.181444432724286,0,0,0,0,0.299130761084057,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.Equity,0,0,0.323482233182553,0,0.167400752774338,0,0,0.101340667544905,0.00980163541852925,0,0,0,0,0.0194502955285192,0,0,0,0,0,0
X601988.CH.Equity,0,0,0.0414237812459666,0,0,0,0,0.0193581908411323,0.0199269306075501,0.181609366388376,0,0,0,0,0,0,0,0,0,0
X3988.HK.Equity,0.0553439536083106,0.258987299175922,0,0,0,0,0,0,0.0601236645010036,0.0574801784729123,0,0,0.0391724708583859,0,0,0,0,0,0,0
X1299.HK.Equity,0,0,0,0,0,0,0,0,0.151410121937469,0.0241830335120153,0,0,0,0.112760557357884,0,0,0,0,0,0
X5.HK.Equity,0,0,0,0,0,0,0,0,0.119866382128116,0,0,0.0483916289383195,0.157069038648728,0,0,0,0,0,0,0
X388.HK.Equity,-0.103659592223966,-0.229330912598199,0,0,0,0,0,0.0710467332374533,0.31073336963562,-0.081634884216721,0,0,0.176996685015632,0,0,0,0,0,0,0
GCNY3M.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCNY10YR.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHIF3M.Index,0,0,0,0,-0.0320341909373685,0,0,-0.0127540461170143,0,0,0,0,0,0,0,0,0,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0468822230377412,0,0,0,0,-0.103406913487181
VXFXI.INDEX,0,0,-0.707225259965503,0,0.504574508537372,0,0,0,-0.0979426375911606,0,0.462533283641158,0,0,0,0,0,0,-0.0930425739133663,-1.39163325015997,0
