,X601398.CH.Equity,X1398.HK.Equity,X601318.CH.Equity,X2318.HK.Equity,X601939.CH.Equity,X939.HK.Equity,X601288.CH.Equity,X601628.CH.Equity,X2628.HK.Equity,X600036.CH.Equity,X601988.CH.Equity,X3988.HK.Equity,X1299.HK.Equity,X5.HK.Equity,X388.HK.Equity,GCNY3M.Index,GCNY10YR.Index,SHIF3M.Index,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.Equity,0,0,0.00214881824895265,0,0,0,0,0.0150586934270974,0,0.221472454166286,0,0,0,0,0,0,0,0,0,0
X1398.HK.Equity,0,0,0,0,0,0.292323466791706,0,0,0.0790257178305062,0,0,0.0797819580300228,0,0.0213665373478373,0,0,0,0,0,0
X601318.CH.Equity,0,0,0,0,0,0,0,0.187312638508182,0.141386912470842,0.133556889684248,0,0,0,0,0,0,0,0,0,0
X2318.HK.Equity,0,0,0,0,0,0,0,0.0229092737603698,0.194168824623773,0,0,0,0,0,0,0,0,0,0,-0.0179278536484561
X601939.CH.Equity,0,0,0.0549780661780456,0,0,0,0,0.00536079083077442,0.0578114390643492,0.269529641426839,0,0,0,0,0,0,0,0,0,0
X939.HK.Equity,0,0.337878283596373,0,0,0,0,0,0.0308067047525035,0.0223652881715415,0.0661468902870633,0,0,0.018581213830608,0,0,0,0,0,0,0
X601288.CH.Equity,0,0,0.0881332766955637,0,0,0,0,0,0.0309856139253531,0.120538518500609,0,0,0,0,0,0,0,0,0,0
X601628.CH.Equity,0,0,0.858692259311782,0,0,0,0,0,0.302258456788517,0.112220402477931,0,0,0,0,0,0,0,0,0,0
X2628.HK.Equity,0,0,0.253205650785531,0,0,0,0,0.29729140465286,0,0,0,0,0.0194205344360043,0.0199603403610793,0.0253349575168929,0,0,0,0,0
X600036.CH.Equity,0,0,0.305696611273393,0,0.136988537269502,0,0,0.0986437695321116,0.0325253573985458,0,0,0,0,0.0203632123903855,0,0,0,0,0,0
X601988.CH.Equity,0,0,0.0545652321678073,0,0,0,0,0.0262250717341434,0,0.154688780030108,0,0,0,0,0,0,0,0,0,0
X3988.HK.Equity,0,0.246044108092365,0,0,0,0,0,0,0.0576956940902879,0.0621937897537018,0,0,0.0844395382368125,0,0,0,0,0,0,0
X1299.HK.Equity,0,0,0,0,0,0,0,0,0.145486483553693,0.0444539205251546,0,0,0,0.200248806386185,0,0,0,0,0,0
X5.HK.Equity,0,0,0,0,0,0,0,0,0.13661904583327,0,0,0.0394490397833461,0.1583681367237,0,0,0,0,0,0,0
X388.HK.Equity,-0.0980984715153187,-0.233447701014922,0,0,0,0,0,0.0807830901278884,0.309996947824965,-0.10661277047856,0,0,0.204732597434647,0,0,0,0,0,0,0.0381667674432858
GCNY3M.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCNY10YR.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHIF3M.Index,0,0,0,0,0,0,0,-0.0158253542063203,0,0,0,0,0,0,0,0,0,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,-0.0109286762896126,0,0,0,0,0,0.0840942769064824,0,0,0,0,-0.0944075110654979
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.588793095690411,0
