,BTC,ETH,XRP,LINK,DOT,BCH,BNB,LTC,CRO,BSV,EOS,ADA,TRX,XTZ,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.114207890893498,0,3.15664039243731e-05,0,0,0,0.0283663590318191,0,0.113056329368632,0.00495492318309989,0,0,1.73472347597681e-18,0,0,0,0,0,0
ETH,0,0,0.094688768765735,0.020061355022254,0,0,0.193250839218607,0.20164836318542,0,0.117822016125433,0,0.0321916380111988,0.0893377453415069,-1.73472347597681e-18,0,0,0,0,0,0
XRP,0,0.192011869331357,0,0,0,0.113158910183582,0,0.203625851637993,0,0,0,0.0435516617772296,0,0,0,0,0,0,0,0
LINK,0,0,0,0,0.205645740345672,0,0,0,0,0,0,0.10281113501138,0,0.887546551767279,0,0,0,0,0,0
DOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.46981091490827,0,0.126026605061224,0.0207261424223373,0,0,0,0,0,0,0,0,0
BNB,0,0.290612306717852,0,0.0474681516322652,0,0,0,0.0287809149844888,0,0,0,0.0304427208067183,0,0.0366092718929487,0,0,0,0,0,0
LTC,0,0.140314236262394,0,0,0,0.252392168092322,0,0,0,0.153010271904157,0.238891451198341,0,0,0,0,0,0,0,0,0
CRO,0,0.0866433493040512,0,0,0,0,0,0.164335145035356,0,0,0,0,0,0.018252059584387,0,0,0,0,0,0
BSV,0,0,0,0.014129544965526,0,0.237026400988263,0,0.211158004348304,0,0,0.186990808926216,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0.148822104150301,0,0.363946230824333,0,0,0,0,0,0.0316103398821226,0,0,0,0,0,0
ADA,0,0.179339525624664,0,0.137127600801775,0,0.123415293544032,0,0.146489197805764,0,0,0,0,-8.67361737988404e-19,-5.42101086242752e-20,0,0,0,0,0,0
TRX,0,0.208291945879752,0,0,0.0473146843515836,0,0,0,0,0,0.0896630038405188,0.0731367330273502,0,0,0,0,0,0,0,0
XTZ,0,0,0,0.421714922407842,0,0,0,0,0,0,0,0,0,0,0.232790357601411,0,0,0,0,0
XLM,0,0,0,0.082761938503557,0,0,0,0,0,0,0.0396843799436787,0.156746430464714,0,0.134516680965208,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00200424707535138,0,0,-0.0222963058474048,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0569629263875223
VIX.INDEX,0,0,0,-3.1387254085658e-07,0,0,0,-6.38268498867359e-07,0,0,0,-3.34732951840811e-06,3.12890432013561e-06,0,0,0,0,0,-0.810946757491383,0
