,BTC,ETH,XRP,BCH,DOT,BNB,CRO,LINK,LTC,BSV,ADA,EOS,TRX,XMR,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.11609946320627,0,0.0425700859456048,0,0,0,0,0.00351615504822759,0.127033497523231,0,0,0,0,0.0567349884307266,0,0,0,0,0
ETH,0,0,0.0421347946214372,0,0,0.147412618466303,0,0.0636921407224257,0.357429583885699,0,0.118884728610636,0,0.0274617106495878,0,0,0,0,0,0,0
XRP,0,0.209747670690461,0,0.0544706598249666,0,0,0,0,0.198438464878565,0,0.0435460065559641,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0.495290599426267,0.181521725286579,0,0,0,0,0,0,0,0,0,0
DOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BNB,0,0.206211080961488,0,0,0,0,0,0,0.0538796281113328,0,0.037863488433047,0,0.0573317445445586,0.0211845034444814,0.108460518021118,0,0,0,0,0.0604338302172702
CRO,0,0.102997946205049,0,0,0,0,0,0,0.184979446016419,0,0,0,0,0,0.0194492770749911,0,0,0,0,0
LINK,0,0,0,0,0.221242906355003,0,0,0,0,0,0.106428358862049,0,0,0,0.745584102852572,0,0,0,0,0
LTC,0,0.181735467883919,0,0.0996057405881026,0,0,0,0,0,0.218803571327235,0.0761838470931564,0.259734598706358,0,0,0,0,0,0,0,0
BSV,0,0.0184727400500457,0,0.199489900811378,0,0,0,0,0.1986822265307,0,0,0.215364045433902,0,0.0499029772241075,0,0,0,0,0,0
ADA,0,0.141172238092766,0,0,0,0,0,0.143740159748356,0.129218707790377,0,0,0,0,0.132188093080894,0.0525313924938705,0,0,0,0,0
EOS,0,0,0,0.0459723035037454,0,0,0,0.00932743751750392,0.431545798152596,0.0181502198349202,0,0,0,0,0.0439236105373766,0,0,0,0,0
TRX,0,0.18000911666129,0,0,0.0423865804698148,0.163124779798105,0,0,8.67361737988404e-19,0,0.0574156676608318,0.137856887941312,0,0,0.0766301323745363,0,0,0,0,0
XMR,0,0.0633313607171671,0,0,0,0.099927773428764,0,0.0277853833016663,0,0.424113200887193,0,0,0,0,0,0,0,0,0,0
XTZ,0,0,0,0,0,0,0,0.399612835184524,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.00634560789828225,-0.00525965719133231,0,0,0,0,-0.00543138896979831,0,0,-6.7762635780344e-21,0,0,-0.0244453563988992,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,2.9144704335309e-07,-5.40927003924525e-07,0,0,0,0,0,0,0,0,0,0,-0.0135328102312949,0,0,-0.0998220477076519
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
