,BTC,ETH,XRP,BCH,DOT,BNB,CRO,LTC,BSV,LINK,ADA,EOS,TRX,XMR,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.117923070598415,0,0.0352856792556325,0,0,0,0,0.0404693140482369,0.0154686122563202,0,0.0362656598733091,0,0.0216488796194921,0.0221007681253425,0,0,0,0,0
ETH,0,0,0,0,0,0.169452994409471,0,0.236840079743053,0.000774695137864469,0.0764459395728337,0.0732474898961265,0,0,0,0,0,0,0,0,0
XRP,0,0.228066103866817,0,0.0447220262698813,0,0,0,0.157396478791529,0,0,0.0253090291880659,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.00126549137445172,0,0,0.409982513380323,0.282525257523129,0.0280311586581074,0,1.73472347597681e-18,0,0,0,0,0,0,0,0
DOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BNB,0,0.275291042539831,0,0,0,0,0,0,0,0,0.0261565812439242,0,0.0761070415951034,0.0276073382395992,0.0923742121090259,0,0,0,0,0.0859247945448465
CRO,0,0.0910402456279019,0,0.0337696331239683,0,0,0,0.190683347755091,0,0,0,0,0,0,0.0171703950836338,0,0,0,0,0
LTC,0,0.0940631604353734,0,0.0723900459968105,0,0,0,0,0.252511445604121,0,0.0902679673704289,0.250984045651083,0,0,0,0,0,0,0,0
BSV,0,0,0,0.199753925257651,0,0,0,0.189901123371321,0,0,0,0.217090418589018,0,0.0529602787216112,0,0,0,0,0,0
LINK,0,0,0,0,0.209100457418713,0,0,0,0,0,0.111257996452105,0,0,0,0.883010209290459,0,0,0,0,-0.0359432805135572
ADA,0,0.13273377301844,0,0.0310963415102469,0,0,0,0.124794040653386,0,0.140231766153004,0,0,0,0.169235824670429,0.0701682818967821,0,0,0,0,0
EOS,0,0,0,0.0679502306059804,0,0,0,0.432708635198004,0.0318826404013864,0.0250391211671637,0.0282966072994415,0,0,0,0.0444979151464873,0,0,0,0,0
TRX,0,0.252536752954747,0,0,0.0429176593908436,0.158616402664706,0,0,0,0,0.0349822005139596,0.172891211322193,0,0,0.117453544406153,0,0,0,0,0.113893365915997
XMR,0,0.056839040873974,0,0,0,0.102225135956981,0,0,0.428164031660488,0.0272359266826203,0,0,0,0,0,0,0,0,0,0
XTZ,0,0,0,0,0,0,0,0,0,0.434108556403921,0.00490781703545715,0.119488093997449,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,-0.00557704134914387,0,0,0,0,0,0,0,0,0,0,-0.019761239350756,0,0,-0.0189878551353546
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,2.00197439746353e-09,-1.82883860510754e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0943730822655143
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
