,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,TAGZ5,EOS,XTZ,XLM,ADA,LINK,CRO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0,0,0,0.0345159217197268,0,0,0.00179290678612604,0,0.18274044648712,0,0.0544682250363049,0,0,0,0,0,0,0
INNBCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.0976923774791013,0.0562172397734947,0,0.0686952079291827,0.0149562867399304,0,0.396742477807652,0,0,0,0,0,0,0,0,0
XRP,0,0,0.0153059819365525,0,0,0.18414639142404,0,0,0,0,0.0679347957886777,0,0.125432263390169,0,0,0,0,0,0,0
BCH,0,0,0.203023484288513,0,0,0.233627763677668,0,0,0,0,0.0247861248771633,0,0.248166494232387,0,0,0,0,0,0,0
BSV,0,-0.00133363922217438,0.372811333759111,0,0.20547609750126,0,0,0,0,0,0.0367533885053837,0,0,0.0483807342091716,0,0,0,0,0,0
LTC,0,0.00171713382777215,0,0,0,0,0,0,0,0,0.268742039180855,0,0.141967464733507,0.0297330576773819,0,0,0,0,0,0
BNB,0,-0.000478258881067321,0.396470163931225,0,0,0.0258907597305435,0,0,0,0,0.134546206993033,0,0.0725468379002457,0,0,0,0,0,0,0
TAGZ5,0,0.004754699096181,0.120030021294744,0,0.318993384045205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,-0.00108667769830639,0.0459027681774763,0,0.240744430742586,0.0672651616883575,0,0,0.0151877601022565,0,0.130353124548469,0,0.0737057962033957,0,0,0,0,0,0,0
XTZ,0,0.00322128922905523,0.327937113288742,0,0,0,0,0,0.0211061327900752,0,0,0,0,0.471825266897729,0,0,0,0,0,0
XLM,0,0.00234122140646827,0,0,0,0.0450080410776132,0,0,0,0,0.195820260361463,0,0.198945521273324,0.123112277108073,0,0,0,0,0,0
ADA,0,-0.00120325166740048,0.0997665283780857,0,0.205617315902999,0,0,0.124715678972686,0,0,0.324453686685089,0,0,0,0,0,0,0,0,0
LINK,0,0.00459564930059401,0,0,0,0,0,0,0,0,0.555275337385776,0,0,0,0,0,0,0,0,0
CRO,0,0.0033347986920124,0,0,0.167995556855937,0.0264231708415211,0,0,0,0,0.0851931816774125,0,0.14710016710212,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.000670399483125756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0934458707185231,0,0,0
CVIX.INDEX,0,-0.000000909257573451829,0,0,0,0,0,0,-0.00000148920981242109,0,0,0,0,0,0.00000654072898313996,-0.725991684431463,0,0,0,0.222682823551704
DXY.INDEX,0,0.0000000400667140655941,0,-0.000000217659066152194,0,0,0,0.000000283364847026045,0,0,0,0,0,0,0,0.0746644625154721,0.0291956627769534,0,0,-0.0129664402946651
SPX.INDEX,0,0.000000440068254874288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0230834824625562,0,0,-0.1975373611333
VIX.INDEX,0,0.0209009187224618,0,0,0,0,0,0,0,0,0,0,0,0,-0.0918418295450679,0,0.14703606773195,0,-1.51244174637981,0
