,BTC,ETH,XRP,DOT,LINK,BCH,LTC,CRO,BNB,BSV,EOS,ADA,TRX,XTZ,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0639098794052025,0,0,0,0.0367349394315952,0,0,0,0.0998939407474135,0.0368452358215601,0,0,0,0,0,0,0,0,0
ETH,0,0,0.0241215806775078,0,0.020400771353655,0,0.246121747029828,0,0.14709736573894,0.0924337756514208,0,0,0.143388316627681,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0.212159950847992,0,0,0.196323809020726,0.0740692492036362,0.0329868879081295,0,0,0,0,0,0,0,0
DOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINK,0,0,0,0.0907692670560501,0,0,0,0,0,0,0,0.090270723313669,0,0.855100106683939,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.356191310766362,0,0,0.303274348900029,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0.270233897920106,0,0,0,0.0779570462986284,0.269488882123287,0,0,0,0,0,0,0,0,0
CRO,0,0,0,0,0,0,0.136655555190479,0,0,0.0855207817199379,0,0.0178864829114346,0,-8.67361737988404e-19,0,0,0,0,0,0
BNB,0,0.116882354795192,0.00426174506758788,0,0.0227590504887787,0,0,0,0,0.128816415569714,0,0.0899471013478124,0,0.084922061626666,0,0,0,0,0,0
BSV,0,0.0637674337461653,0,0,0.0177095080515699,0.263687059621318,0.184352390031883,0,0,0,0.159693431077661,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0.0979359019799336,0.389999387249,0,0,0.00807471108113676,0,0,0,0.0238924884815758,0,0,0,0,0,0
ADA,0,0,0,0,0.160213940090349,0.146333196802246,0.138711539187839,0,0,0.158901768298461,0,0,0,0.0145524981355107,0.0244893483542862,0,0,0,0,0
TRX,0,0.0951057568612808,0.170519701144718,0.0404908506145372,0,0,0,0,0,0,0.117238840998285,0.0786408281801506,0,0.0395482236931171,0.0122283702631103,0,0,0,0,0
XTZ,0,0,0,0,0.444878255319436,0,0,0,0,0.011183665557884,0.151054647084637,0,0,0,0.0232470034120324,0,0,0,0,0
XLM,0,0,0,0,0.0534624330135993,0,0.117661249231092,0,0,0,0.0273109252933292,0.166850463490159,0.024793465592035,0.215732120643961,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.00641736158683059,0,0,0,0,0,0,-0.00134446251182846,0,0.00133722972664163,0,-0.00195393216088607,0,-0.0224730817118447,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0.00423318087204498,0,0,0,0,0,0,-0.00597384424392246,-0.0103970206977519,0.00666356606842386,0.00492919759771198,0,0,0.000715065708405469,0,0,0.00881100810192481
SPX.INDEX,0,0,0,0.00460356811575586,0,0,-0.0017228257322188,0,0,0,-0.00672466729899339,0,0,0,0,0,0,0,0,-0.100356340906204
VIX.INDEX,0,0,0,-6.9558730289916e-07,-1.45423673961389e-06,0,0,5.73682204767126e-07,0,0,0,-9.81903220826377e-07,0,1.13604568429262e-07,0,0,0,0,-1.03220705937696,0
