,BTC,ETH,XRP,LINK,BCH,LTC,BSV,CRO,BNB,ADA,EOS,XTZ,TRX,XLM,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.06126555307703,0.00686463457380708,0.00414611936841743,0,0.0274221536974723,0.112613149518547,0,0,0,0.00423429905745798,-1.0842021724855e-19,0,0,0.0323980784104198,0,0,0,0,0
ETH,0,0,0.0578855456825045,0.0261624443733724,0,0.0907239689568477,0.115514825036446,0,0.109032808006571,-4.33680868994202e-19,0,0,0.196555871485558,0,0.0751763504289471,0,0,0,0,0
XRP,0,0,0,0,0,0.200703515915299,0.140851164975302,0,0,0.0311169914778546,0,0,0.0772103466017652,0,0,0,0,0,0,0
LINK,0,0,0,0,0,0,0,0,0,0.0856709997826492,0,0.880271805650706,0,0,0,0,0,0,0,0
BCH,0,0,0.0320498848366858,0,0,0.302982107555777,0.306323153655436,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0.0302262655343625,0,0,0.419820845397717,0,0,0,0,0.00725228840772153,0.25369968882805,0,0,0,0,0,0,0,0,0
BSV,0,0.0822924311208148,0.0106743625090064,0.0238316272539964,0.26986931379775,0.199038128712268,0,0,0,0,0.13759352407505,0,0,0,0,0,0,0,0,0
CRO,0,0,0,0,0,0.111493279577383,0.0947007421463232,0,0,0.0188010416971439,0,0.00555281699457174,0,0,0,0,0.0341626486454976,0,0,0
BNB,0,0.101740161024928,0,0.0425546716770456,0,0,0.0853150199047462,0,0,0.08130624722588,0,0.0308027549547577,0,0,0.17711675346306,0,0,0,0,0
ADA,0,0.0370033131498817,0,0.099696483710181,0,0,0.194564525225893,0,0,0,0,0.0482292863354089,0.239065711585356,0,0,0,0,0,0,0
EOS,0,0,0,0,0.229043714767735,0.201156933910005,0.0635941364816937,0,0,0,0,0.0257971283928117,0.179539210958856,0,0,0,0,0,0,0
XTZ,0,0,0,0.443958800759368,0,0,0,0,0,0.0547557275758716,0,0,0.0791234233284891,0.057586671303965,0.101536184637077,0,0,0,0,0
TRX,0,0,0.0283985767382022,0,0,0,0.135429472435822,0,0,0.115832003864185,0.128381477544103,0.0683505609549248,0,0.0606271783321082,0,0,0,0,0,0
XLM,0,0,0,0.0535394477427742,0,0,0,0,0,0.148960264926035,0,0.173870809749989,0.0775097924985231,0,0,0,0,0,0,0
XMR,0,0.244878768013819,0.0996710483786167,0,0,0.142925782442165,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0222135131629255,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,-0.00361183414941696,0,0.006327633338457,0,0,0,0,0.0014731658359362,0,0,0.0114048985275309
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0971370704112003
VIX.INDEX,0,0,0,0,0,0,0,0,0,-2.59843651730693e-06,-1.68074446457842e-06,9.23716712143207e-07,0,0,0,0,0,0,-1.59530648118619,0
