,BTC,ETH,XRP,LINK,BCH,DOT,BNB,LTC,BSV,CRO,EOS,ADA,TRX,XTZ,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0889668841027473,0,0.00392656264202944,0.044085008589494,0,0,0.00546982066390638,0.0713517399212443,0,0.0132965899462832,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.0411716935912537,0,0,0.193250531855675,0.30050416584926,0.0564593345982314,0,0,0.0381615186091896,0.0533283267292271,0,0,0,0,0,0,0
XRP,0,0.182011557556544,0,0,0.10473269662858,0,0,0.20318728184294,0,0,0,0.0509947507397065,0,0,0,0,0,0,0,0
LINK,0,0,0,0,0,0.217807692306973,0,0,0,0,0,0.100652181512722,0,0.75995538446141,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.464782263075813,0.0641887565056847,0,0.0247676114328231,0,0,0,0,0,0,0,0,0
DOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BNB,0,0.278844058963759,0,0.0480931797992458,0,0,0,0.0248385999740652,0,0,0,0.027064452154805,0.0536793915242736,0.0299854649848594,0,0,0,0,0,0
LTC,0,0.1317998162073,0,0,0.315439651839902,0,0,0,0.122692718538036,0,0.214897966861383,0,0,0,0,0,0,0,0,0
BSV,0,0,0,0.0141067047450451,0.235590397994215,0,0,0.212864880871821,0,0,0.18979027629859,0,0,0,0,0,0,0,0,0
CRO,0,0.0686419887159902,0,0,0,0,0,0.181228087407728,0,0,0,0,0,0.0226912381301575,0,0,0,0,0,0
EOS,0,0,0,0,0.15306616207871,0,0,0.333683055578816,-8.67361737988404e-19,0,0,0,0,0.0404482426591058,0,0,0,0,0,0
ADA,0,0.125411694560991,0,0.113185784196744,0.259765381864322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRX,0,0.135954364465255,0,0,0,0.0457636297090996,0.167916754235881,0,0,0,0.12246217955953,0.0772349797559437,0,0.0384881917553871,0,0,0,0,0,0
XTZ,0,0,0,0.408203794450083,0,0,0,0,0,0,0,0,0,0,0.321038153986435,0,0,0,0,0
XLM,0,0,0,0.0677645445615641,0,0,0,0,0,0,0.0179523375884369,0.203029470104847,0,0.119464226288348,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0.0062099001985385,0,0,0,0,0,0,0,-0.00290668251938771,0,0,-0.0207859355432418,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,2.66255210595181e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0971370851826827
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
