,BTC,INNBCL,ETH,XRP,BCH,BSV,TAGZ5,LTC,BNB,EOS,XTZ,XLM,ADA,LINK,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.00315419341465217,0.319218759840171,0,0,0.0800177397625677,0,0,0,0,0,0,0.0196179467203588,0,0,0,0,0,0,0
INNBCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,-0.000510346441074828,0,0,0.0436046169635793,0.144071570490538,0.00735141080644984,0,0.1525024554106,0.122391821625263,0.200397084224484,0,0,0,0,0,0,0,0,0
XRP,0,0,0.132975534398343,0,0,0.100601067415911,0,0,0,0,0.00630325032716412,0.00350637646161394,0.0527753553019387,0,0.0415480514481565,0,0,0,0,0.00429402532931911
BCH,0,0,0.213780212024517,0,0,0.344585904392704,0,0,0,0.115823058941007,0,0,0.107786438980431,0,0,0,0,0,0,0.0220988513067767
BSV,0,-0.00251837874595285,0.334490336212982,0,0.254108201567242,0,0.00426592283037859,0,0,0,0,0,0,0,0,0,0,0,0,0
TAGZ5,0,0.0110649038586578,0.500984836903723,0,0,0,0,0,0,0.0553354396460948,0,0,0,0,0,0,0,0,0,0
LTC,0,0.00100347165902384,0,0,0,0.0477864132499751,0,0,0,0,0.187540698428908,0,0.0369283283192339,0,0.000282303136088886,0,0,0,0,0
BNB,0,-0.00217091271179343,0.447368378089409,0,0,0,0,0,0,0,0.0537244854371594,0.0569559765868981,0.0091372490111144,0,0,0,0,0,0,0
EOS,0,-0.00126936009542516,0.108133841614294,0,0.128234001601023,0.0947043672564585,0.010152054030192,0,0,0,0.0947053587900277,0,0.0650088919525419,0,0.137898623026325,0,0,0,0,0
XTZ,0,0.00347504667561567,0.270548935847041,0,0,0,0.0244889515315867,0,0,0,0,0,0.0066984549331843,0.469151829382032,0,0,0,0,0,0
XLM,0,0.00309458940134038,0,0,0,0,0,0,0.12674246040396,0,0.0794915072371825,0,0.357322365158725,0,0.0244041179543769,0,0,0,0,0
ADA,0,0.000311466050115812,0.106922324598622,0,0.205007069205916,0,0,0,0,0,0.216383721347415,0.195306510270434,0,0,0,0,0,0,0,0
LINK,0,0,0.0993347551202309,0,0,0,0,0,0,0,0.570968689756278,0,0,0,0,0,0,0,0,0
XMR,0,-0.00040840996476482,0,0,0,0,0.0377383179255894,0,0.308029976760382,0.246752832600172,0.0772723907396438,0,0.0749965305712762,0,0,0,0,0,0,0
BV010082.INDEX,0,-0.00173893011040461,0,0,0,-0.00784501245794618,0,0,0,0,0,0,0,0,0,0,-0.0956680127633229,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0.000000199570491530728,0,0,0,0,0,0,0,0,0,0.0227597747132743,0,0,-0.0104576735481759
SPX.INDEX,0,0.00000000512503698695711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.127146287841121
VIX.INDEX,0,0.0142153412857697,0,0,0,0,-0.00601508530344832,0,0,0,0,0,0,0,0,0,-0.154510547193876,0,-1.39692763505547,0
