,BTC,ETH,XRP,BCH,LINK,DOT,LTC,BSV,CRO,BNB,EOS,ADA,TRX,XTZ,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0913482938912108,0,0.0509649600249846,0,0,0,0.0880944483926031,0,0,0.0246380281143902,0,0,0.0199951969879851,0,0,0,0,0,0
ETH,0,0,0.0496528475821267,0,0.0157261046442836,0,0.23636353947846,0.0868216676619774,0,0.157183291065455,0,0,0.145036837164141,0,0,0,0,0,0,0
XRP,0,0.105546032425319,0,0,0,0,0.165730595748786,0.174451496684342,0,0,0.0523040371202353,0.0302773818853374,0.0111634235878976,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.353276169439614,0.304261617995469,0,0,0,0,0,0,0,0,0,0,0,0
LINK,0,0,0,0,0,0.20565699008513,0,0,0,0,0,0.117108583709877,0,0.87026657284873,0,0,0,0,0,0
DOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0.0473378680207256,0,0.293093818091885,0.0158665297970422,0,0,0.0238686069641928,0,0,0.287793266053912,0,0,0,0,0,0,0,0,0
BSV,0,0.0574214462419131,0,0.283752300501289,0.011873370926738,0,0.193865398048666,0,0,0,0.188476768756594,0,0,0,0,0,0,0,0,0
CRO,0,0,0,0,0,0,0.0760199819487242,0.104679613836406,0,0,0,0.0138417845972259,0,0.00645834311256475,0,0,0,0,0,0
BNB,0,0.130076911978648,0,0,0.0222552896660262,0,0,0.120876432962984,0,0,0,0.0800692073301181,0,0.088289006741244,0,0,0,0,0,0
EOS,0,0,0,0.0800001018268272,0,0,0.369700280655663,0.0563506577709836,0,0,0,0,0,0.0236088662763411,0.00929562874182536,0,0,0,0,0
ADA,0,0.0664313929937192,0,0.167822705340486,0.172489610094525,0,0.0470804251291855,0.162065018274771,0,0,0,0,0,0.0164852047861389,0,0,0,0,0,0
TRX,0,0.227749964924318,0,0,0,0.0445308948037312,0,0,0,0,0.110041906213348,0.0767155981471196,0,0,0.101982482465203,0,0,0,0,0
XTZ,0,0,0,0,0.445889837662733,0,0,0,0,0,0.114962668841534,0.0320250846106325,0,0,0.0117699072472397,0,0,0,0,0
XLM,0,0,0,0,0.0752360147805722,0,0,0,0,0,0.0382221278858007,0.194830127516698,0,0.124673751618201,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0.00783961971538761,0,0,0,0,0,0,0,0,-0.00827579330541171,0,-0.0260804821216138,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,0,0.00527290746543577,0,0,0,0,-0.00729448062175768,0,0,0,0,0,0,0,0,-0.0974410291075265
VIX.INDEX,0,0,0,0,0,-1.73816870006325e-06,-6.67117479517642e-07,0,1.41442064038666e-06,0,0,0,0,0,-3.88054013072134e-07,0,0,0,-1.03222761724526,0
