,BTC,ETH,XRP,DOT,LINK,BCH,LTC,CRO,BNB,TRX,BSV,ADA,EOS,XTZ,XLM,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.065994331706398,0,0,0.00412864619418659,0,0.0403745443873783,0,0,0,0.116001580847484,0,0,0,0,0,0,0,0,0
ETH,0,0,0.0193793892438418,0,0.0515479299378344,0,0.211360182526642,0,0.127363011218568,0.0611073786932149,0.158680702122265,0,1.73472347597681e-18,0,0,0,0,0,0,0
XRP,0,0.0945756523982893,0,0,0,0.0118746829972608,0.175368150454641,0,0,0.0264904086588902,0.199767508304066,0.021289417585673,0,0,0,0,0,0,0,0
DOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINK,0,0,0,0.0937484306214724,0,0,0,0,0,-0.125331179748294,0,0.118319451751862,0,0.895011462818836,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0.353276169439614,0,0,0,0.304261617995469,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0.208581134797731,0,0,0,0,0.0906708986435803,0,0.284149700717034,0,0,0,0,0,0,0
CRO,0,0,0,0,0,0,0.133458212261006,0,0,0,0.0970295546246157,0.0149252826206001,0,0,0,0,0,0,0,0
BNB,0,0.191320077970104,0,0,0.00423133914215424,0,0,0,0,0,0.122189599660576,0.0474777372535803,0,0.120494090972147,0,0,0,0,0,0
TRX,0,0.0653039760214813,0.181098796125358,0.0395348739374674,0,0,0,0,0,0,0,0.0889594238543808,0.104556895912344,0.0312199624226021,0,0,0,0,0,0
BSV,0,0.0964329741199479,0,0,0.0147767224874227,0.282246638251961,0.181858787356707,0,0,0,0,0,0.145577713013362,0,0,0,0,0,0,0
ADA,0,0.0314213333257596,0,0,0.161216589726951,0.16633530336378,0.095315865936897,0,0,0,0.157145910400379,0,0,0.0194666996014129,0.0155185898527632,0,0,0,0,0
EOS,0,0,0,0,0,0.0515114766575454,0.401615471818873,0,0,0,0.043511779537091,0,0,0.022649936825169,0.00228412650271889,0,0,0,0,0
XTZ,0,0,0,0,0.454308245073045,0,0,0,0,0,0.0493981750698274,0.0187382633143787,0,0,0.10238034133558,0,0,0,0,0
XLM,0,0,0,0,0.0556034850240974,0,0.0424325113086356,0,0,0.00901572317168169,0,0.181501060945146,0.0982106825064367,0.18763040318165,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.00386007498991697,0,0,0,0,0,0,0,0,0,0,-0.00685483600206311,0,-0.0262774630340009,0,0,0.000392900066721213
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0.0048798307394464,0,0,-0.0107387730880132,0,0,0,0,0,0,-0.00420092241570691,0,0,-0.00914230480499256,0,0,-0.0970067110418148
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
