,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,TAGZ5,EOS,XTZ,XLM,LINK,ADA,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0231777451107065,0,0,0.0361435289671064,0,0,0.001484744801646,0,0.161396356340361,0,0,0.0581550496251842,0,0,0,0,0,0
INNBCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.0845207947844421,0.0735559221289291,0,0.0811595500450311,0.0142946636819279,0,0.386654425445166,0,0,0,0,0,0,0,0,0
XRP,0,0,0.0153059819365523,0,0,0.18414639142404,0,0,0,0,0.067934795788678,0,0,0.125432263390169,0,0,0,0,0,0
BCH,0,0,0.247334597036623,0,0,0.236363642754884,0,0,0,0.147883084346336,0.0492233544181948,0,0,0.0515748388564143,0,0,0,0,0,0
BSV,0,-0.00133363922217437,0.372811333759112,0,0.205476097501259,0,0,0,0,0,0.0367533885053838,0,0.0483807342091713,0,0,0,0,0,0,0
LTC,0,0.00179312078656923,0,0,0,0,0,0,0,0,0.275068525065966,0,0.0190185606670892,0.132110559186124,0,0,0,0,0,0
BNB,0,-0.00107408360426531,0.422765536557436,0,0,0,0,0,0,0,0.127328402475573,0,0,0.0659328456853553,0,0,0,0,0,0
TAGZ5,0,0.00413082484550407,0.10471867296691,0,0,0,0,0,0,0.368586388155095,0,0,0,0,0,0,0,0,0,0
EOS,0,-0.00111201371543592,0.196306440460502,0,0.0816660395197434,0.0877055581137794,0,0,0.0189025284493015,0,0.119362051519247,0,0,0.0905871920690392,0,0,0,0,0,0
XTZ,0,0.0034216486291479,0.300206811775184,0,0,0,0,0,0.0238746496511861,0,0,0,0.472019783639724,0,0,0,0,0,0,0
XLM,0,0.00246688375073823,0,0,0,0.118182554141128,0,0,0,0,0.256406028815804,0,0,0.229303200537504,0,0,0,0,0,0
LINK,0,0.0050004123052749,0,0,0,0,0,0,0,0,0.526283092176787,0,0,0,0,0,0,0,0,0
ADA,0,0,0.27156201102111,0,0.110855917610212,0,0,0.0493235511410599,0,0,0.222500142820095,0.134312460323013,0,0,0,0,0,0,0,0
XMR,0,0,0,0,0,0.027460363292664,0,0.211695754780168,0.0199275452248827,0.319548381535378,0.0510545848314999,0,0,0.106246064645813,0,0,0,0,0,0
BV010082.INDEX,0,-0.000348826262685687,0,0,0,0,0,0,0,0,0,0,0,-0.0207524896517124,0,0,-0.0947781693973748,0,0,-0.0142968208980666
CVIX.INDEX,0,-0.000000361456140569197,0,0,0,0,0,0,-0.00000301114960495525,0,0.00000710201243726949,0,0,0,0,-0.656068699355005,0,0,-0.209479148766432,0.164719897603895
DXY.INDEX,0,0.0000000221353553817396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222802561662665,0,0,-0.0192880817424324
SPX.INDEX,0,0.0000000563484624383014,0,0,0,0,0,0,-0.0000000826790735284362,0,0,0,0,0,0,0,-0.0158776605167711,0,0,-0.145568946275494
VIX.INDEX,0,0.00886657899840596,0,0,0,0,0,0,0,0,-0.0282569364925936,0,0,0,0,0,0.528209678029967,0,-1.57727113783615,0
