,BTC,ETH,XRP,BCH,DOT,BNB,LINK,CRO,LTC,BSV,ADA,EOS,TRX,XTZ,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.109807819113559,0,0.0417128684853483,0,0,0,0,0.00684172867825786,0.108217275359354,0,0,0,0.00135968915347255,0.00913635141482398,0,0,0,0,0
ETH,0,0,0.0346878526081306,0,0,0.133822728046342,0.0531758058135032,0,0.263198095603723,0.079256750133551,0.0441595271011054,0,0.116898665630681,0,0.0122215615828593,0,0,0,0,0
XRP,0,0.194608276118477,0,0.0684967081359116,0,0,0,0,0.181814060735596,0,0,0,0,0,0.0344973068710559,0,0,0,0,0
BCH,0,0,0,0,0,0,0.0133247042616067,0,0.47309920832973,0.208361342289467,0,0,0,0,0,0,0,0,0,0
DOT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BNB,0,0.248936853661676,0,0,0,0,0.0214510202086688,0,0.0163217475691156,0,0.0320367470093578,0,0.0952263233267235,0.0641466963384108,0,0,0,0,0,0.106339032983838
LINK,0,0,0,0,0.205658209181489,0,0,0,0,0,0.105200427136717,0,0,0.895530094677965,0,0,0,0,0,0
CRO,0,0.0785232659617297,0,0,0,0,0,0,0.166509945612097,0,0,0,0,0.0194631871551024,0,0,0,0,0,0
LTC,0,0.0945528466071773,0,0,0,0,0.0232584307787213,0,0,0.272198288623503,0.0124654953220041,0.191666366973572,0,0,0.0631832129763835,0,0,0,0,0
BSV,0,0.0769837127979447,0,0.291946079799524,0,0,0,0,0.173546378503642,0,0,0.197104566220046,0,0,0,0,0,0,0,0
ADA,0,0.114084727936712,0,0.0607506511997371,0,0,0.146271739742122,0,0.0569669358540585,0,0,0,0,0.137570109687938,0.0508988113104672,0,0,0,0,0
EOS,0,0,0,0,0,0,0.0028357298953865,0,0.431671312572397,0.0338117534145623,0,0,0,0.0190842826844038,2.71050543121376e-20,0,0,0,0,0
TRX,0,0.226398197233862,0,0,0,0,0,0,0.00668282832011046,0,0.0317058240313358,0.14241408345592,0,0,0.28531699263483,0,0,0,0,0
XTZ,0,0,0,0.051709122396442,0,0,0.395785843674937,0,0,0,0.00836674323430552,0,0,0,0.0338671952135127,0,0,0,0,0
NEO,0,0.158985160338406,0,0,0,0,-8.67361737988404e-19,0,0.0240287935525545,0,0.0832438383994117,0.119706222235007,0,0.261158564031975,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0.00292182327086101,0.0118462301184867,0,0,0,0,0,0,0,0,0,-0.0216595626153551,0,-0.0204434398420846,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.INDEX,0,0,0,0,2.44785928114087e-07,-3.56386139910494e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0943730972254557
VIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
