,BTC,ETH,XRP,BCH,LINK,LTC,BSV,ADA,EOS,BNB,CRO,XTZ,XLM,TRX,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.136325498857974,0,0,0,0,0.117334498529417,0,0,0,0,0.0144153657130911,0,0.0343415727217609,0,0,0,0,0,0
ETH,0,0,0,0,0.0476975236434063,0,0.22557498566743,0,0,0.0657650776377732,0,0.0481321298006625,0,0.0356490335015437,0,0,0,0,0,0
XRP,0,0.0459464982174746,0,0.134624748407198,0,0.234058910442453,0.136002183119431,0,0,0,0,0,0.0377182206280918,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0.320820129750336,0.328461332400015,0,0.0274443973116117,0,0,0,0,0,0,0,0,0,0,0
LINK,0,0,0,0,0,0,0,0.198536472167658,0,0,0,0.589301202637638,0,0,0,0,0,0,0,0
LTC,0,0,0,0.364632826584383,0,0,0.0743851725582136,0.0317037910665169,0.130703731728968,0,0,0.0204671337112652,0,0,0,0,0,0,0,0
BSV,0,0.153498062936286,0,0.488800490182026,0,0.0940764420291511,0,0,0.0257627330750844,0,0,0,0,0,0,0,0,0,0,0
ADA,0,0.228991656851435,0,0.13187671562688,0.109932340578462,0.0524038161512686,0,0,0,0,0,0.0481806110778787,0,0,0,0,0,0,0,0
EOS,0,0,0,0.284042249682262,4.33680868994202e-19,0.0650455176590367,0.178760677043497,0,0,0,0,0,0.0647804458584283,0.0628951690907164,0,0,0,0,0,0
BNB,0,0.17513697011594,0,0,0,0.145909835949658,6.93889390390723e-18,0.0639086894702594,0,0,0,0.0639977565528023,0,0,0,0,0,0,0,0
CRO,0.596472366789065,0.0354561608425024,0,0,0,0,0.036244719567949,0,0.0244836885426793,0,0,0.0179465411647347,0.0943468283432579,0,0,0,0.0871444696085621,0,0,0
XTZ,0,0,0,2.16840434497101e-19,0.337843489114693,0,0,0.0783801442238958,0,0.155434888936252,0,0,0.149166960299199,0,0.0549366975779202,0,0,0,0,0
XLM,0,0,0,0,0.0507527621399849,0,0,0.188853904035497,0,0,0,0.129790800941743,0,0.122871095239485,0,0,0,0,0,0
TRX,0,0,0,0,0,0.131348421076943,0.20769920045853,0.0793660930093132,0.0136620193601271,0,0,0.0235732142408515,0.17176494901908,0,0,0,0,0,0,0
XMR,0,0.0697079502084818,0,0.0900661847165759,0,0.152667719324071,0,0.0327052879016779,0,0.198272365508844,0,0.0807832522431499,0,0,0,0,-0.0248293950785823,0,0,-0.0423610974814739
BV010082.INDEX,0,0,0,0,0.0149913703057105,0,0,0.0341773614259329,-0.0455175778188182,0.00476650704479809,0,0.0368546842278019,-0.0859642613713005,0.0552779122225926,0.00338470592561831,0,-0.0136959997452358,0,0,0
CVIX.INDEX,0,0,0,-0.0765510805755394,0,0,0,-0.0802940771946176,0,0.120759337546625,0.327172292438773,0,0.115716144389673,0.0476855913030996,0,0,0,0,0,-0.0474110504669366
DXY.INDEX,0.0159123087290817,0.00625331206938885,0,-0.0248853837015472,0,0,0,0,-0.00437618182698403,0,0.0422802751697935,0.0138864001064389,0,0,-0.0337863028417098,0,0.000208718723660517,0,0,0.00951641180479947
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00759843993304891,0,0,-0.145218097802594
VIX.INDEX,0,0,0,0,0,0,0,-0.0697876102624905,0,0.101245233917037,0,0,-0.095913880280556,0,0,0,0,0,-3.23351364541748,0
