,BTC,ETH,XRP,BCH,DOT,BNB,LINK,CRO,LTC,BSV,ADA,EOS,TRX,XMR,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.149335479202813,0,0.033463611523962,0,0,0,0,0,0,0,0.10352639417648,0,0,0.0164904430030242,0,0,0,0,0
ETH,0,0,0.0951500202293035,0,0,0,0.170754752687356,0,0.240628162911067,0,0.142077954269228,0,0.0272934512413169,0,0,0,0,0,0,0
XRP,0,0.253483189182759,0,0.178648709058545,0.0119090597068567,0,0,0,0.069604235806616,0,0.114694393327853,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0.387444678212921,0.276379769663397,0.0171088784484686,0.0290322856274106,0,0,0,0,0,0,0,0
DOT,0,0,0,0,0,0.318735742979733,0.107523946877907,0,0,-0.10565584484167,0,0,0.128245295019938,0,0,0,0,0,0,-0.111189103573327
BNB,0,0.257843182611908,0,0,0,0,0.0575752871119737,0,0.141808070700737,0,0,0,0,0,0.0743861029913677,0,0,0,0,0
LINK,0,0.395472240386733,0,0,0,0,0,0,0,0,0.176479228695782,0,0,0,0.400868420362743,0,0,0,0,0
CRO,0,0.0027234924356748,0,0,0,0.0701977139391748,0,0,0.309592564144504,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0.133422527892403,0,0.235028869462345,0,0,0.058981973378292,0,0,0.135847498260645,0.0152161400821133,0.14293372097663,0,0,0.0187080604559266,0,0,0,0,0
BSV,0,0.0440625331913414,0,0.354743533372415,0,0,0,0,0.171236667392658,0,0,0.169046536663773,0,0.118328817285117,0,0,0,0,0,0
ADA,0,0.326260845602253,0,0.0427307814977665,0,0,0.150669418096061,0,0.0279851195255849,0,0,0,0,0,0.0669071971388051,0,0,0,0,0
EOS,0,0,0,0.311675921227116,0,0,0.0193144163756436,0,0.218504973573004,0,0,0,0,0,0.119168991752983,0,0,0,0,0
TRX,0,0.593432422278981,0,0,0.0558455760977097,0,0.0880911887809075,0,0,0,6.93889390390723e-18,0,0,0.240586535306353,0,0,0,0,0,0.0618066596799044
XMR,0,0.0788538510480218,0,0.309815233883759,0,0,0.105677390567656,0,0,0,0,0,0,0,0,0,0,0,0,0
XTZ,0,0,0,0.0401054059484203,0,0.0134486890178016,0.282524675949278,0,0,0,0.170672911626181,0,0,0.127599690400861,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.0142340066430732,0,-0.00737537161380151,0,0,0,0,-0.017137132167775,0,0,0,0,-0.0358037152651643,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,-0.0380393700811314,0,-0.00330661818174512,0,0.0248969721531678,0.00294892429196719,0,0,0,0,0,0.0113429429790675,0,0.00461243319527242,0,0,0.00688456186898452
SPX.INDEX,0,0,0,0,0.00705632404050905,-0.0260446126028421,0.00265825253845421,0,0,0,-0.0224654882252672,0,0.0170395307341336,0,0,0,-0.0129880328246033,0,0,-0.124490271290719
VIX.INDEX,0,0,0,0,0.0192855219410086,0,-6.93889390390723e-18,0,-0.00153410150209876,0,-0.237122214946381,0,0.116171829098986,0,0.0424570984732917,0,0.0139042791022654,0,-1.54003168335633,0
