,BTC,ETH,XRP,BCH,DOT,BNB,LINK,CRO,LTC,BSV,ADA,EOS,TRX,XTZ,NEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.149254203889673,0,0.0425418671159252,0,0,0,0,0,0,0,0.099816549954748,0,0.0171655606459876,0,0,0,0,0,0
ETH,0,0,0.209907626523711,0,0,0,0.139848682879312,0,0.200318311744752,0,0.13046196066827,0,0,0.0101445278836179,0,0,0,0,0,0
XRP,0,0.121518514790944,0,0.172611781387067,0.0282645059337979,0,0,0,0.13200186087602,0,0.120895756897012,0,0,0,0.0413574540317648,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0.386116456529004,0.277782855134185,0.0143693748700582,0.0280127692387949,0,0,0,0,0,0,0,0
DOT,0,1.73472347597681e-18,0,0,0,0.155437038173177,0.0467444589441561,0,0,0,0,0,0,0,0.0723921777101341,0,0,0,0,0
BNB,0,0.24796655265382,0,0,0,0,0.0526587985327972,0,0.1265646527915,0,0,0,0,0.0634462685186845,0,0,0,0,0,0
LINK,0,0.314368190541212,0,0,8.67361737988404e-19,0.15330427655209,0,0,0,0,0.18727688906652,0,0,0.265636950784541,0,0,0,0,0,0
CRO,0,0,0,0.0105630942111585,0,0.0650999094414576,0,0,0.284530105721308,0,0,0.00746660563792966,0,0,0.009185040107982,0,0,0,0,0
LTC,0,0.166848667613443,0,0.258198451882014,0,0,0.0373162795072181,0,0,0.143519553035929,0,0.0785806324445331,0,0.0368256372725064,0.0407128006818698,0,0,0,0,0
BSV,0,0.0226273550430683,0,0.411445088364213,0,0,0,0,0.205067139193975,0,0,0.170748963688498,0,0,0,0,0,0,0,0
ADA,0,0.30784057188788,0,0.0417456733472218,0,0,0.130426664328872,0,0.074191818171988,0,0,0.0197656996167243,0,0.0291444500709046,0.0482528701923002,0,0,0,0,0
EOS,0,0,0,0.312628777194131,0,0,0,0,0.24731958852278,0,0,0,0,0.141185778035322,0,0,0,0,0,0
TRX,0,0.469563570270723,0,0,0.0609352214103682,0.0860705594362207,0.0997842181545546,0,0,0,0.132552610796785,0,0,0,0.113170941006366,0,0,0,0,0
XTZ,0,0,0,0,0,0,0.293833802152035,0,0,0,0.13842781449976,0,0,0,0.152328333942753,0,0,0,0,0
NEO,0,0.171089481468965,0,0,0.0633223901015915,0,0.0457226691029314,0,0,0,0.154917626483561,0.247327198054964,0.0311302603684926,0.0501371264791624,0,0,0,0,0,0
BV010082.INDEX,0.0089754791415891,0,0,0,0.0120845833133354,0,0,0,0,0,0,0,0,-0.00927785324190252,-0.0186612488048163,0,-0.0287160306250474,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,-0.00049170685416357,0,-0.028966844454739,0,0,-0.00322792516903563,0.0186793102905309,0,0,0,0,0,0.0110959808886715,0,0,0.00558401816516564,0,0,0.00323231550178441
SPX.INDEX,0,0,0,0,0.00747708373345818,-0.000400631663197296,-5.42101086242752e-20,0,-0.00704707153604462,0,-0.0193651091058009,-8.67361737988404e-19,0.01379742231869,0,0,0,-0.0127244771427968,0,0,-0.120271292963566
VIX.INDEX,0,0,0,-0.00214961700432026,0.0242031483490942,0,0,0,0,0,-0.214503171539451,0,0.12288085694078,0.0356352623263385,-0.0159572523222556,0,0.032759593679877,0,-1.50214892240726,0
