,BTC,ETH,XRP,BCH,LINK,LTC,BSV,CRO,BNB,ADA,EOS,XTZ,XLM,TRX,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.112959277303163,0,0,0,0,0.100486042579915,0.0146880414627267,0,0,0.0525565779797057,0.0243827514943637,0,0.0163740026482615,0,0,0,0,0,0.0139859273182605
ETH,0,0,0,0,0,0,0.168279259251846,0,0,0,0,0.102717087502252,0,0.0691854425992998,0,0,0,0,0,0
XRP,0,0.095483452703237,0,0.152246500538081,0,0.0449664904699155,0.128439079697464,0,0,0,0,0,0,0.116992619272559,0,0,0,0,0,0
BCH,0,0,0,0,0.000901699902708501,0.187948793565756,0.343724558696749,0,0,0,0.0697536878289569,0,0,0,0,0,0,0,0,0
LINK,0,0,0,0,0,0,0,0,0,0.290011179124715,0,0.290795716139406,0,0,0,0,0,0,0,0
LTC,0,0,0,0.114344248606694,0,0,0.085870556699271,0,0,0.0354262192952644,0.349781210116862,0.00960776433386364,0,0.0456783581419174,0.0417078511436812,0,0,0,0,0
BSV,0,0.0322381302136672,0,0.0582743091545532,0,0.396914392615877,0,0,0,0,0.153434270101708,0,0,0,0.0973817401958164,0,0,0,0,0
CRO,0.501625859680987,0,0,0,0,0,0.131333111277829,0,0,0,0.035285705027797,0,0.00845429563509236,0.00279180567698254,0,0,0.0871699069584035,0,0,0
BNB,0,0.170034333985216,0,0,0,0.151449855838436,0,0,0,0.0624893098631657,0,0.0609609626084446,0,0.0238057925665874,0,0,0,0,0,0
ADA,0,0,0,0,0.153756100173601,0.0518995735790667,0,0,0,0,0,0.0730367197257908,0,0.138423694009043,0,0,0,0,0,0
EOS,0,0,0,0.327413791688172,4.33680868994202e-19,0,0.15453861802342,0,0,0.0213281993985796,0,0.0188284084860345,0.0827759296951387,0.119290458018385,0,0,0,0,0,0
XTZ,0,0,0,0,0.385556727823817,0,0,0,0.030115394419086,0.0672240163121609,0,0,0.114982908485506,0.136500052020453,0.0621154626869449,0,0,0,0,0
XLM,0,0,0,0,0.0356860936597036,0,0,0,0,0.199421479394447,0,0.132159664747658,0,0.14476477009129,0,0,0,0,0,0
TRX,0,0,0.0155449382090125,0,0,0.0899657070973827,0.184681808111528,0,0,0.108755121274231,0.124443329345976,0.0868693409059314,0.0768278534956853,0,0.0527583172029071,0,0,0,0,0
XMR,0,0,0,0.165768756308897,0.0128913876022322,0.123064728313855,0,0,0,0.0650797206163504,0,0.0821492164409477,0,0.0367461676205453,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.00352795160712855,0,0,0,0,0,0,0,-0.0320516499000133,0,0,0,-0.022423194028433,0,0,-0.0196022804870864
CVIX.INDEX,0,0,0,0,-0.011834513729015,0,0,0.145516598653262,0,0,0,0,0,0.0843824524021417,0,0,0,0,0,-0.0477419762077952
DXY.INDEX,0.0198865595935769,0.00862292458085925,0,-0.0402478455843636,0.0013245693762116,0.0037673323422494,0,0.0341556014932205,0,0,0,0.0140691277934854,0.00168441071758439,0,-0.0257521311651455,0,0.00372130902630618,0,0,-5.42101086242752e-20
SPX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00915589090846001,0,0,-0.127275549266452
VIX.INDEX,0,0,0,0,0,0,0,0,0.0554222405963613,-0.0776288344455582,0,0.0482237027544085,-0.13406360872927,0,0,0,0,0,-3.29829876455527,0
