,BTC,ETH,XRP,BCH,DOT,BNB,CRO,LINK,LTC,BSV,ADA,EOS,TRX,XMR,XTZ,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.149335479202813,0,0.033463611523962,0,0,0,0,0,0,0,0.10352639417648,0,0,0.0164904430030242,0,0,0,0,0
ETH,0,0,0.271586208471989,0,0,0,0,0.152077449578346,0.183797069274222,0,0.10350196513871,0,0.0062115570817199,0,0.00762353192958574,0,0,0,0,0
XRP,0,0.162182759455072,0,0.115159044488159,0.0230043755582244,0,0,-3.46944695195361e-18,0.257404406042931,0,0.0574242068855653,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.00571084393528003,0,0,0,0.363492936836665,0.303239885149281,0,0.0609519806684054,0,0,0,0,0,0,0,0
DOT,0,0,0,0,0,0.371189163586921,0,0.097945278954982,0,-0.0803380988302579,1.73472347597681e-18,-0.157120925322697,0.220380662081907,0,0.120687553913679,0,0,0,0,-0.179564988622509
BNB,0,0.249970275060627,0,0,0,0,0,0.0566319242677775,0.122415841743789,0,0,0,0,0,0.0616473627962885,0,0,0,0,0
CRO,0,0.00333992024446818,0,0,0,0.0479694312381015,0,0,0.305911523897543,0,0,0,0,0,0,0,0,0,0,0
LINK,0,0.36971569758968,0,0,0.0297018043984136,0.0553090360185057,0,0,0,0,0.177884592457097,0,0,0,0.179688602102754,0,0,0,0,0
LTC,0,0.110994168051132,0,0.235517434690658,0,0,0,0.0682551331454165,0,0.114817259514548,0.0252786364335827,0.152406594181562,0,0,0,0,0,0,0,0
BSV,0,0.12726637102319,0,0.408890633405203,0,0,0,0,0.132390087665728,0,0,0.122963360928873,0,0.0759262432270119,0,0,0,0,0,0
ADA,0,0.305689958623828,0,0.0922047918773152,0.0141095774744149,0,0,0.118839415553699,0.040285590193404,0,0,0.0432919064145361,0,0,0.0569889797647994,0,0,0,0,0
EOS,0,0,0,0.312626247198198,0,0,0,0,0.247313569085693,0,0,0,0,0,0.141183226103106,0,0,0,0,0
TRX,0,0.435192390159389,0,0,0.0789757298555859,0,0,0.118109660281447,0,0,0.174494952266858,0,0,0.221337126976095,0,0,0,0,0,0
XMR,0,0.211278125729996,0,0.187778846505861,0,0,0,0,0,0,0,0,0,0,0.0328538308184537,0,0,0,0,0
XTZ,0,0,0.230009888136333,0,0,-1.73472347597681e-18,0,0.281492545937322,0,0,0.117921303326101,0,0,0.153645905177056,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0.00560400144532543,0,0,0,0,0,0,-0.016362935270211,0,0,0,0,-0.0249132462689295,0,0,0
CVIX.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.INDEX,0,0,0,-0.0343397719266459,0,-0.00307579264562524,0.0236406978600125,-0.000630244875430481,0,0,0,0.0011432946169615,0,0,0.0112005500412317,0,0.00483023747855277,0,0,0.00553643131826899
SPX.INDEX,0,0,0,0,0.00715683012816332,-0.00661413443879746,0,0,0,-0.00146813393501568,-0.0130931424024597,0,0.00794809970225686,0,0,0,-0.0136046692712511,0,0,-0.106952947021911
VIX.INDEX,0,0,0.00455129743984799,0,0.0197866388912194,0,0,0,0,0,-0.243522303617511,0,0.116946220639159,0,0.0425434211834685,0,0.0224120280958044,0,-1.53828970814725,0
