,BTC,ETH,XRP,BCH,BSV,LTC,BNB,EOS,CRO,ADA,XTZ,LINK,XLM,LEO,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.22719253462992,0,0,0,0,0.404831619068976,0.00434684706829304,0,0,0,0,0,0,0.131876380973952,0,0,0,0,0.0176561004754106
ETH,0.0697818807353199,0,0,0.338545176998909,0,0.175265748795734,0.143595082141426,0.0177480130241397,0,0,0.0426701109468997,0,0,0,0.0899681310289693,0,0,0,0,0
XRP,0,0,0,0.00840496982339564,0,0.101656611343461,0,0.381560727415381,0.0261726372651319,0.0572789461118055,0.0866215565802937,0,0.0539515800255954,0,0,0,0,0,0,0.0271869256987641
BCH,0,0.183063107654925,0,0,0.379995540540288,0.0901844303419048,0,0.340017514414843,0,0,0,0,0,0,0,0,0,0,0,0
BSV,0.0863682273139825,0.272392167385179,0,0.471586272260236,0,0,0,0.0526860659310915,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.129910313838491,0.286902785324663,0.0337946240922286,0.0693257791832905,0,0,0,0.210797883252034,0,0.0409671432648845,0,0,0,0,0,0,0,0,0,0
BNB,0.109118302338538,0.245113328245058,0,0.104407223626853,0.207181388432865,0,0,0.0276259190879999,0.0491024965908915,0,0,0.0134388317670397,0.0417656720552938,0,0.0191480020391656,0,0,0,0,0.0333762999741203
EOS,0,0.0572345512341881,0.0710681539728762,0.100688026399697,0,0.585129248941057,0,0,0,0.010801501238225,0,0,0.0770917759601853,0,0.0591689538798623,0,0,0,0,0
CRO,0,0,0.342266046528299,0,0,0,0,0,0,0,0.343120333980285,0,0.136184106615607,0,0,0,0.0498310616359701,0,0,-0.0464334690202099
ADA,0,0.606219743861376,0,0,0,0,0,0,0,0,0.172354537667943,0,0.302812992850591,0,0,0,0,0,0,0
XTZ,0,0,0.00000000000000000693889390390723,0,0,0.169775196490482,0.181082051107827,0,0,-0.00000000000000000693889390390723,0,0.450689563868516,0.141682221453657,0,0,0,0,0,0,0.0313796759695472
LINK,0,0.172154657376174,0,0,0,0,0,0.447476946154286,0.0134107273685134,0.0322150223538204,0.301602375148565,0,0,0,0,0,0,0,0,0.0220186824610413
XLM,0,0,0.1176743567134,0.191274317654217,0.0915198119097263,0.084981874711278,0,0,0,0.28290067281082,0,0.118797792434959,0,0,0,0,0,0,0,0
LEO,-0.202995072704353,0.0536421955272884,0,0,0,0.0899628791739083,0,0,0,0,0.109909242401106,0,0.0696189994532472,0,0,0.145812560432435,-0.0994444153847531,0,0,0
XMR,0,0.220324593917716,0,0,0,0.285308181988168,0,0.0411272416950997,0.0260789157594556,0.00510340120791377,0.179806293270642,0,0.0481899960341252,0,0,0,0,0,0,0.0282125977866505
BV010082.INDEX,-0.113127769708274,0,0,0,-0.00000000000000000693889390390723,0,0,-0.148893928994386,0.011193852998698,0,0.0984095942122465,0,-0.01966976582198,0,0.181340694921031,0,-0.0174204536159584,0,0.129103554360583,0.0260101410905532
CVIX.INDEX,0,0,-0.245407248247808,0,-0.208963257268766,0,0,0,0.476090203695663,-0.0406407853699261,0,-0.173594289587469,0,0,0.124010622675929,0,0,0,-0.64209618246261,-0.0900242017331481
DXY.INDEX,0.065587077497105,-0.0403621593053119,0.00586019425387956,0,-0.0421333209899655,0,-0.0641272748962587,-0.0153269562619757,0.0455393944720932,0.016848441507786,0,0,0.0184995263909586,-0.0603429639102269,0,0,0.000404129776699306,0,-0.157461999566609,-0.0252413480660934
SPX.INDEX,0,0,0,0,0,0,0,0,0,0.0393482655761758,-0.0178303875037178,-0.100604264605511,0,0,0,0,-0.175300712880776,0,0,-0.152187815653956
VIX.INDEX,0,0,-0.258165035415588,-0.149894909669735,0,0,0,0.161976919539618,0,0.240642351116772,-0.507019800333346,0,0,-0.145278950474567,0.268423804260911,0,-0.620954938005839,0,-3.87292637604077,0
