,BTC,ETH,XRP,BCH,BSV,LTC,BNB,EOS,XTZ,ADA,CRO,LINK,XLM,LEO,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.261676350195301,0,0,0.0912867861223318,0,0.156061243869258,0,0,0,0,0,0.15130215780973,0,0,0,0,0,0,0
ETH,0.116879749446931,0,0,0.324863275502873,0,0,0.137815067890277,0.239110674107754,0.074735697699715,0,0,0,0,0,0,0,0,0,0,0.012228174641965
XRP,0,0.116920183830185,0,0.0498514888969049,0,0.147239767425574,0,0.0972760777060552,0.0521817683505925,0.11833972258857,0,0.02139251666936,0.0655373255028847,0,0,0,0,0,0,0
BCH,0.0271283008120783,0.419780131055835,0,0,0.281941631949705,0.0909954954632237,0,0.0603493385787824,0,0.0172896427725227,0,0,0,0,0,0,0,0,0,0
BSV,0.196522439388347,0.146520501228732,0,0.471347904159679,0,0,0,0.0522659118122967,0.0331774206582507,0,0,0,0.000000000000000000867361737988404,0,0.0492739990952848,0,0.0501840151308315,0,0,-0.0285475113199213
LTC,0,0.0400668614399976,0,0.0463493803617782,0.131274519062402,0,0.0743032965608045,0.379448180731317,0.0140129576900547,0.0211299018005471,0,0,0.0763631679342395,0,0,0,0,0,0,0
BNB,0.000000000000000000867361737988404,0.344423570946327,0,0,0,0,0,0,0,0.221884523416806,0.17134926174445,0.0781706026373252,0,0,0.152764840396752,0,0,0,-0.0635584629859652,0
EOS,0,0.336807947743096,0,0.0506840762313516,0.123255371905601,0.129515901157157,0,0,0,0.00730944348708364,0.0206951139103633,0,0.182637720122401,0,0.07740672342421,0,0.0305354223882975,0,0,0
XTZ,0,0.19427181708239,0,0,0,0,0.141568408259942,0.165983023812089,0,0,0.132418962010102,0.359002804599874,0.209120768821533,0,0,0,0,0,-0.26940660635091,0
ADA,0,0.306266525745831,0,0,0,0,0,0,0.17118574996219,0,0,0,0.242821662485069,0,0.221217699130135,0,0,0,0,0
CRO,0,0,0.403852439177099,0,0,0,0,0,0,0.268420585506911,0,0,0.0914976573085654,0,-0.0000000000000000138777878078145,0,0.217698559280494,0,0.261773091304533,-0.0712821307804265
LINK,0,0.0302193487877031,0.0591409193469404,0,0,0,0,0,0.419442292688395,0,0,0,0.0508747570397459,0,0,0,0,0,0,0
XLM,0,0,0,0,0.0648292078524212,0,0.0191497054861041,0.323640585616317,0,0.244436004678867,0.0659377910409541,0.0770197752333981,0,0,0,0,0,0,0,-0.0175410041434007
LEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0.0569552869842541,0.00701341880454406,0.185037635953877,0,0.0591937962117946,0,0.272310545137842,0.311130915183278,0,0.0516846327433753,0,0,0,0,0,0,0,0,0,0.0411983500601032
BV010082.INDEX,0.281591206052686,0,-0.418439817297144,-0.0717982762522353,0,0,0,0,0.0138385484587553,0,-0.14264192429993,0.0358229647344956,0.10836221230194,0,-0.0448410666710917,0,0.0877712947224843,0,-0.101153660293877,0
CVIX.INDEX,0,0,-0.427026544669539,0,-0.047269431875446,0,-0.440963248786048,0.330419759906097,-0.00000000000000000693889390390723,0,0.502615812778584,-0.116313142550387,0.160216758275081,0,0,0.713038488619882,0,0.814178180909458,-0.229116426746848,-0.06751463722539
DXY.INDEX,0.0518949854306478,0,-0.0839506302826032,0,-0.0486513964790443,0,0.000000000000000000216840434497101,0,0.0630688996145676,-0.0571822058456403,0.00553078742449132,0,0.0636005978923654,0,0.017204100578945,0,0,0,-0.117472711420476,-0.0230846091957136
SPX.INDEX,0,0,0,-0.157481902814987,0,0,0,0,0,0,0.21663904816275,0,0,0,-0.0617909213496075,-0.230816933700627,-0.0407039178016164,0,0,-0.176013191361694
VIX.INDEX,0.121556087704679,0,0,0,0,0,-0.192688468014688,0,-0.366160510373527,0,0,-0.111502657768356,0.450122734523182,0,0,0,0.00000000000000000693889390390723,0,-2.50810278322655,0
