,BTC,ETH,XRP,BCH,BSV,LTC,ADA,BNB,CRO,EOS,XTZ,LINK,XLM,LEO,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.234254840253404,0,0,0.0323661998471646,0,0,0.44977438093295,0,0,0.0073548993363771,0,0,0,0,0,0,0,0,0.0261053420929176
ETH,0.103305520922007,0,0,0.186688172438916,0.096287843156939,0.0972524067461602,0,0.184466664083482,0,0,0,0,0.0623619351688927,0,0.178790376753163,0,0,0,0,0
XRP,0,0,0,0.00645307731322001,0,0.118197557441313,0.0388674560779046,0,0,0.211787691850011,0.0339959636804126,0,0,0,0.169523144528456,0,0,0,0,0
BCH,0,0.105605966499939,0,0,0.352078950100249,0.147438677941167,0,0,0.0322525060759319,0.393745507587609,0,0,0,0,0,0,0,0,0,0
BSV,0.157415955265266,0.231395172235011,0,0.383662366889435,0,0.0280332995452829,-0.0450664722741719,0,-0.0441289258763439,0.19172150890872,0,0,0,-0.0295978792877513,0,0,0,0,0,-0.0750544870991565
LTC,0.0530253691803727,0.404146576095642,0,0.129751868356488,0.0732744098077089,0,0,0,0,0.13408244156137,0,0,0,0,0.0352650140066517,0,0,0,0,0
ADA,0,0.547654820338515,0,0,0,0,0,0,0,0,0.135709609328003,0,0.347175862431646,0,0.216726615777021,0,0,0,0,0
BNB,0.15948901008852,0.437432183087899,0,0,0,0,0,0,0,0,0.0857950083571125,0,0.072701633959601,0,0.00571842369323359,0,0,0,0,0.00104072625107593
CRO,-0.125549016401639,0,0,0,0,0,-0.116779554185665,0,0,0,0.517970106658779,-0.332644097537237,-0.0262080965428815,0,0.709802598141495,0,-0.203007239716837,0,0,0.00685738609388994
EOS,0,0.0479185644568617,0,0.151081365774733,0.070729266947654,0.34678565648728,-0.00000000000000000173472347597681,0,0,0,-0.000000000000000000867361737988404,0.0815036473857501,0,0,0.210064881052424,0,0,0,0,0
XTZ,0,0,0,-0.000000000000000000216840434497101,0,0,0,0.345480671615897,0.143560328993888,0,0,0.474866986878951,0.0525749525005225,0,0,0,-0.0195703185910177,0,0,0.0324833496429403
LINK,0.0926148152998417,0,0.0141311790439345,0,0,0,0,0,0,0.155685791769655,0.357265301865329,0,0.142717231574716,0,0.249736763352978,0,0,0,0,0.0207807537777941
XLM,0,-0.000000000000000000433680868994202,0,0.222689159552744,0,0.344353662290853,0.23649585617071,0,0,0,0,0.0870285170138013,0,0,0,0,0.0100853944756821,0,0,-0.0117916282868707
LEO,-0.191971154088677,0,0,0,0,0,0,0,-0.0697369178081535,0,0.184203170048276,0.165502516527226,0,0,0,0,-0.0924479181724229,0,0,0.0233406927884134
TRX,0,0,0,0.0813901457427767,0,0.415723686515819,0.0958179180427387,0,0.105133281202822,0.176919377263584,0.0214201797261099,0.0929297162439221,0.117758592801784,0,0,0,0,0,0,-0.0713502922702147
BV010082.INDEX,0.076456993523127,0.0153572935280998,0,0,0,-0.000000000000000000216840434497101,0,0,-0.0454335659950993,0,0.0234170090748879,0,0,0.121141517369289,0.0381854610517909,0,-0.0147830369647781,0,0.102394186736145,0
CVIX.INDEX,0,0.193106350179964,-0.334157559766912,0,-0.317036757586972,-0.241083496050792,-0.275931060864791,0.674375147785783,0.264855146631525,0,0,0,0.100954171526639,-0.2497150921759,0,0,0,0,0,-0.206115420694642
DXY.INDEX,0,0,0.0892621798319188,0,-0.0649022879083874,0,0.0187971113152461,-0.0614390724255895,0.0385907401088623,-0.0512926517508945,-0.00000000000000000173472347597681,0.00161376545445642,0,-0.0103577717482201,0.0362551620989717,0,0.0339059217506493,0,-0.128983197389876,0
SPX.INDEX,-0.00440233308297502,0,0,0,0,0,0.0193972673359997,0,0.0654686015853172,0,0,-0.0395344473582129,0,0,-0.0243455785595077,0,0,0,0,-0.146222398113946
VIX.INDEX,0.114782868386707,0,0,0,0,0,0.348836024289188,0.218427046030608,0,0,0,-0.215933109315507,0,-0.244913869228492,-0.506096197903954,0.121598931343186,-0.243890069624147,0,-4.03820682833105,0
