,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,TAGZ5,EOS,XTZ,XLM,ADA,LINK,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.00233126498663512,0.062521254795533,0,0.177757233291517,0.000805541880506508,0,0.118182468685109,0,0,0.302247825421846,0,0,0,0,0,0,0,0,0
INNBCL,0,0,0,0,0,-0.183201772155744,0,0,1.45255715579226,-5.77717772320532,-2.71203864420173,10.1992995330801,0,0,0,15.3650447302813,5.43970787243498,0,14.9657779532107,5.25916923565368
ETH,0,0.000530814078587663,0,0,0.150480652973107,0.0774191166914265,0,0.259583403284582,0,0.104832664301917,0.300974468460306,0,0,0,0.0508955032675838,0,0,0,0,0
XRP,0,-0.00485006357640662,0.0658174420560663,0,0,0,0,0.0976487002771203,0,0.322388298250422,0,0.0181850561006069,0.262673212286862,0,0,0,0,0,0,0.047732411932866
BCH,0,0,0.508268844097433,0,0,0.327866862197118,0,0.0645661853453178,0.0133707399492087,0,0,0,0,0,0,0,0,0,0,0
BSV,0.172130155807054,-0.0113156188545632,0.20471674741924,0,0.355720461299296,0,0,0.0509387856381604,0,0,0.188017403901973,0,0,0.00000000000000000010842021724855,0,0,0,0,0,-0.0248360169315568
LTC,0,0.00012990409971656,0.000000000000000000433680868994202,0,0.125818811264281,0.0799925785860426,0,0.156201037581114,0,0.0994650468245616,0.223102116516351,0,0.0816034563216747,0.0115795020650947,0,0,0,0,0,0
BNB,0,-0.00601910976548805,0.290768487269712,0,0.444682893525227,0,0,0,0,0,0.0620924054335789,0,0.0414654898926528,0.0826243634585573,0.00794705354020135,0,0,0,0,0
TAGZ5,0,0,0,0,0.608257382336476,0,0,0,0,0,0,0.0736117745610404,0,0,0.000000000000000000433680868994202,0,0,0,0,0
EOS,0,-0.00202560318161109,0.354677603056398,0,0.197801213460311,0.116518913211609,0,0,0.0117956119288249,0,0.0244030230257527,0.174146114833105,0,0,0.0486563390683796,0,0,0,0,0
XTZ,0,0,0.405005299706266,0,0,0.0486078432554985,0,0.267507756966814,0,0,0,0,0,0.306106984083613,0,0,0,0,0,0.0108020517019598
XLM,0,-0.00105382363709596,0.183642698757403,0.133787145681152,0.257891932424679,0.0475550256507694,0,-0.000000000000000000867361737988404,0,0,0.0230365504783738,0,0.02713138000964,0,0.0845911832335832,0,0.00311824944045751,0,0,0.0148732170534184
ADA,0,0,0.185908171309217,0,0,0,0,0.221959930914137,0,0,0.428263748845691,0,0,0,0,0,0,0,0,0
LINK,0,-0.000375344830603839,0.0883290915422425,0,0.0218918990115283,0.230225975426709,0,0.106631911291239,0,0,0.556248527045086,0,0,0,0,0,0,0,0,0
XMR,0,0,0.0526944718901577,0,0,0.000837490643620689,0,0.34622555651459,0,0.119176423412517,0.115384796164318,0,0.188274849837921,0.0202961436815675,0,0,0,0,0,0
BV010082.INDEX,0.400452413443737,-0.00925651930552916,0,0,0,-0.264504483288977,0,-0.0634937085926038,0.121986200539553,0,0,0.172422586790441,0,0.140995373676064,-0.517506358224212,0,-0.0371867830076029,0,0.0821286339548759,-0.245494404331086
CVIX.INDEX,0.128852053263578,-0.00489936236974114,0,-0.480526128608826,0,-0.219068274831988,0,-0.528475227438414,-0.209156932125476,0,0.962713201543497,0,0,0,0,0.178005547858833,0,0,-0.426555895453436,0.293552668904231
DXY.INDEX,0.0336322938490235,-0.00023468172738977,0,-0.0401058730712689,0,-0.016181501997823,0,0.0262395689518895,0.00236686240116779,0,0.0182608259976522,0,0,-0.00591890379468593,0,0.0615791343365997,0,0,-0.0139133114478392,-0.0115426713116017
SPX.INDEX,0,0.00625611388828974,0,0,0,-0.136729781525527,0,0,-0.0062610719774604,0,0,0.0195419701204285,0,0.135054383462275,-0.0353545935343431,0.289299347766649,0,0,0,-0.238142902016401
VIX.INDEX,0,0.0295225527554268,0,0,0.171861150012953,0,0.55412262493647,-1.19239838807214,0.142893842317858,0,0,0.348494124557126,0,0,-0.0000000000000000555111512312578,0.296392550759601,0.226903321986263,-1.20371594897066,-1.40621953242414,0
