,BTC,ETH,XRP,BCH,BSV,ADA,LTC,CRO,LINK,BNB,EOS,XTZ,XLM,XMR,TRX,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.0994904944527141,0,0.274561724872586,0,0.014335741395959,0,0,0,0.082873442305187,0,0.0300479696491802,0,0.230677333025147,0.00706676216693097,0,0,0,0,0.0120577681758433
ETH,0.236887497361093,0,0,0.199503944866154,0,0.021276288076597,0,0.0247785555088574,0.0580374107756847,0.0999694593708962,0,0,0,0.113888976042402,0.0898089845917717,0,0,0,0,0
XRP,0,0,0,0,0.0164843734783654,0.0503709621779502,0.140998640386665,0,0,0,0.194111830696713,0,0.0117128343675496,0,0.171661262549446,0,0,0,0,0
BCH,0,0.143527253341236,0,0,0.238506884135244,0.0393560141271699,0,0.0368381314649915,0,0,0.333080508989081,0,0,0.132748396907619,0,0,0,0,0,0
BSV,0,0.14156036516984,0,0.0775442263779151,0,-0.00649610379060271,0.259104219624737,0,0,0,0,0,0,0.0422629398549979,0.234728225975093,0,0,0,0,0.00220795504444618
ADA,0.168951981912692,0.112217984988158,0.708344847705909,0,0,0,0,0,0.192099552045745,0,0,0.08588077517736,0.114959986143797,0,0.00372340453511269,0,0,0,0,0
LTC,0.0787973754972293,0.355975458016369,0.141063633396721,0,0.0653398587735978,0,0,0,0,0.0517461786817586,0.112317956578036,0.0517060091955187,0,0.00135138542171072,0.0305926860931905,0,0.0479239966519732,0,0,0
CRO,0,0,0,0.174721423463498,0,-0.0431526438257552,0,0,0,0,0,0.149019366450269,0,0,0.482552488979233,0,0,0,0,-0.0112323505570934
LINK,0,0,0,0,0,0.303079264691021,0,0.304757549298019,0,0,0,0.205830280899131,0,0,0,0,0,0,0,0.0700886700913141
BNB,0,0.124542652293156,0,0.38236730689902,0,0.00374643632677872,0.125324616286559,0.168002861854436,0,0,0,0.0242533527119297,0,0.00123310834569583,0,0,0,0,0,0.0038661956747343
EOS,0,0,0,0.310226354660168,0.162515670004361,0.0428000296368286,0,0,0.027839246788934,0,0,0.0648011026053847,0,0,0.237678922687172,0,0,0,0,0
XTZ,0,0,0,0.0517311660504226,-0.00000000000000000693889390390723,0,0,0.212362518630359,0.389689053425663,0,0,0,0.129489670913669,0.0820325632930122,0,0,0,0,0,0.0147615711668767
XLM,0,0,0,0.219830231315691,0,0.226100911969619,0.256973995108488,0,0.105864174793369,0,0,0.080831531626165,0,0,0,0,0.0333425455353539,0,0,0.00829804199082259
XMR,0,0,0,0,-0.0397635312041014,0,0.390415800299743,0.149205491250469,0.0105562466540454,0.407549608659739,0,0.0269965028999146,0,0,0,0,0,0,0,0.0361988438158613
TRX,0,0,0.0283295345712883,0.112183689289325,0.0410233245123697,0.00597888347431346,0.251845556298335,0,0,0,0.477966192330579,0.020587068328859,0.077573204667829,0,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,0,0,0,0.0271981968784884,0.0315697163538001,0,0,0.0176563542876869,0,0,0,0,0,0,0.0236609871072809,-0.0117941678455774
CVIX.INDEX,-0.132907899434962,0,0,0,0,-0.204917181109549,0,0.0717699905328045,0.0880044673899749,0.539318372525862,0,-0.0933721226864324,0.11432691253862,-0.360747575909911,0.130284317276321,0,0,0,0,-0.124840100361259
DXY.INDEX,0.0377532774218624,-0.110921970019357,0.00637101886765795,0.043863765975063,0,0.0242491568562076,0.00341918576300493,0.0247674722556785,0,0.0352035700484807,-0.0924926445488904,0.00438055374568148,0.0154297745707162,-0.0401551716056115,0.0608337472613165,0,0.0382211114242706,0,-0.220114983778048,-0.00900590796737335
SPX.INDEX,0,0,-0.0661054907210271,0,0,0.0537169002652655,0,0,0,0,0,0.0402807683655398,0.0184458357526946,0,-0.0567452676385364,0,0,0,0,-0.144619949978157
VIX.INDEX,0,0,0,0,0,0.359213226219134,0,0.0658162070040152,0,0,0,0,0.0613778312513586,-0.278944703342073,-0.441619965981825,0,-0.189656858679231,0,-4.27799731359237,0
