,BTC,INNBCL,ETH,XRP,BCH,BSV,TAGZ5,LTC,BNB,EOS,XTZ,ADA,XLM,LINK,CRO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.00358209920532058,0.250023202461279,0,0,0.133411053964062,0,0,0.145871322121948,0,0,0,0.119790294156417,0,0,0,0,0,0,0.00785779729278188
INNBCL,0,0,0,0,0,-1.5477740186117,0.649489198606367,0,0,0,5.21896432709101,0,0.203073248691046,-5.15987464933894,-4.60394782217443,0,0,0,5.78512127543055,2.18379486059809
ETH,0,0,0,0,0.10629626039508,0.0218400211884273,0.0245258592359815,0,0.246926462659504,0.184690176753856,0.138998462796395,0,0,0,0,0,0,0,0,0
XRP,0,-0.00288820484747351,0.210478721213613,0,0,0,0,0,0.0257273874928258,0.236847850090424,0,0.160028809934608,0.0724308228907397,0,0,0,0,0,0,0
BCH,0,-0.00693769662379972,0.523281579983605,0,0,0.179076360519286,0.0188103149417786,0,0,0.0477694209778039,0,0.0104414281691835,0.0100924635333892,0,0,0,0,0,0,0
BSV,0.186069302778247,-0.00849843715526257,0.195502008228197,0,0.527844500716535,0,0,0,0,0,0.021514704547351,0,0,0,0,0,0.0652077852499818,0,0,0
TAGZ5,0,0.00107965517343985,0.127168118443182,0,0.56001517428521,0,0,0,0,0,0.0691366434132258,0.0429429989517046,0,0,0,0,0,0,0,0
LTC,0,-0.00144111712144531,0,0,0,0.147732736553911,0,0,0.018613988745839,0.295558250322206,0.14027807213681,0.113214070196173,0.0347807080138864,0,0,0,0,0,0,0
BNB,0,-0.00576023038293979,0.4246084793673,0,0,0.137883668604509,0,0,0,0,0.00136659579242437,0.217301870403024,0,0.0226105687360864,0,0,0,0,0,0
EOS,0,-0.00149571661973499,0.41579575016361,0.0430003661565518,0.00000000000000000010842021724855,0.0797171041245623,0.0199150959183459,0,0,0,0.00330359073259542,0.0965878680797337,0.165956277979042,0,0,0,0,0,0,0
XTZ,0,-0.000465129148497436,0.218903178764403,0,0,0.154789371911294,0,0,0.201623553762812,0,0,0,0.174626426544888,0.33376610411747,0,0,0,0,0,0.0336967190750543
ADA,0,-0.00464950069411785,0,0,0,0,0.0162441080235291,0,0.157264795192244,0.0957078530113251,0.303807544493222,0,0.110047207072153,0.0107205070665384,0.0311802182053103,0,0,0,0,0
XLM,0,0,0.00000000000000000346944695195361,0.384113519991252,0,0.169705306715278,0,0,0,0,0.0516278982721512,0.166308927380113,0,0,0.0384633433634949,0,0,0,0,0
LINK,0,-0.0114518589798252,0,0,0,0.0693765558511816,-0.0196189967139574,0,0.031606838495582,0,0.425820815342368,0,0.0337195094626516,0,0,0,0,0,0,0
CRO,0,0.00000000000000000010842021724855,0,0,0,0,0.0555295043484506,0,0,0,0.27255116097412,0.142944691252336,0.15537841698026,0,0,0,0,0,0,-0.0421289079690409
BV010082.INDEX,0.0273974736626384,-0.0096629482231623,0.33448931228953,-0.611235673418208,-0.0693347363989229,-0.283013360505219,0,0,0,0,0.131788194253907,0,0.144941107120162,0,0.150923449633822,0,-0.0730416435637574,0,0.317038087371209,0.096364037096902
CVIX.INDEX,-0.132231217611285,0.00314563455810686,0,-0.334203959665565,0,-0.140405452068095,-0.0807995265816819,0,-0.179041185672123,0,0.463698864838399,0.0490918681445372,0,-0.250789054474956,0.428852027937363,1.10702682608276,0,0,-0.741858300766862,-0.125150188894633
DXY.INDEX,0.0627489299665024,-0.000387680595266883,0,-0.120448097744966,0,-0.0241012767757596,0.00571073785298572,0,0,0,0.050211798224912,-0.023683412089218,0.048054302524069,0,0,0,0,0,-0.000209657419719193,-0.00505097203552788
SPX.INDEX,0,0.00893168481778726,0,0,-0.130275876594092,0,-0.01392623629021,0,0,0,0,0,0,0,0.0992975086636965,0.419103904567528,-0.056098643050402,0,0,-0.185304309909547
VIX.INDEX,0.0955607953057966,0.0143730398156798,0,0,0,0,0.00286854412030974,0.19492479344848,0,0,0,0,0.123595478769998,-0.617967271052406,0,0.695355655964349,0,0,-1.32521605099035,0
