,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,TAGZ5,EOS,XTZ,XLM,ADA,LINK,CRO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.0360556518755997,0,0.0558543962154486,0.0166822038969833,0,0.160663877397176,0,0,0.286629235072751,0,0,0,0.0478564424812993,0,0,0,0,0
INNBCL,0,0,9.49185861147367,0,0,0,0,0,1.51437155406542,-15.5180967015445,-6.09786702158191,9.45304040644816,3.74440648675609,0,0,19.0945359735713,5.96883318521853,0,14.9444484129809,5.0126094188268
ETH,0,0.00182680113527546,0,0,0.0686645841577538,0.047656621191112,0,0.276701977810913,0.00669605733917026,0.28591701112511,0.248685375143346,0,0,0.0383530726890835,0,0,0,0,0,0
XRP,0,-0.00421955435382039,0,0,0,0,0,0.132168660463058,0,0.36905192038028,-0.0000000000000000138777878078145,0.00696610954889902,0.258759900490487,0,0,0,0,0,0,0.0406998239644157
BCH,0,0,0.505152811614792,0,0,0.325907383253179,0,0.0623740336266038,0.0131952589852176,0.00963963557092826,0,0,0,0,0,0,0,0,0,0
BSV,0.214708115891264,-0.0112518376474688,0.265768043976676,0,0.172174961968583,0,0,0,0,0,0.155476695885961,0,0,0.00759131173797104,0.189702939066189,0,0,0,0,-0.0190007477242473
LTC,0,0.00016381803375712,0,0,0.119046419868135,0.0837215053279706,0,0.159614287002705,0,0.111348976020808,0.211637763473449,0,0.0801052521392587,0.0139549305921354,0,0,0,0,0,0
BNB,0,-0.00613557610744994,0.278863745278563,0,0.447010885272686,0.003988761448425,0,0,0,0,0.0637803433643974,0,0.0552907465369138,0.0811615984056675,0,0,0,0,0,0
TAGZ5,0,-0.000410285163767769,0,0,0.610173452857844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0.354722604916833,0,0.282242559891479,0.0877857053158203,0,0.102454957661989,0,0,0,0,0,0,0.053403292576577,0,0,0,0,0
XTZ,0,0,0.420959207062857,0,0,0.0475809626094593,0,0.241203313957416,0,0,0,0,0,0.307360596569121,0,0,0,0,0,0
XLM,0,0,0.228372869549567,0.0242577477820302,0.243230167751415,0.0443374087217119,0,0.0310122520340281,0,0.0307308807331655,0,0,0.129759683830854,0,0.0467047439296279,0,0,0,0,0
ADA,0,0,0.185908171309217,0,0,0,0,0.221959930914138,0,0,0.428263748845691,0,0,0,0,0,0,0,0,0
LINK,0,0,0.136272765064278,0,0.0208722619279941,0.239756933615468,0,0.0782562374285618,0,0,0.53039488886868,0,0,0,0,0,0,0,0,0
CRO,0,-0.00426253842173709,0,0,0,0,0,0.162929691548655,0,0.0692988260420271,0.356160281661719,0.0528624725524078,0,0.170881052287909,0,0,0,0,0,0
BV010082.INDEX,0.215865187172891,0.00380487168838152,0,0,0,-0.253593862361179,0,0,0,0,0,0.0691195724927883,0,0,0,0,-0.136655869408124,0,0.150224215481776,-0.0540499892383204
CVIX.INDEX,0,0.00736177563313367,0.833959126039461,-0.617888731392669,0,-0.055737533827877,0,-0.750475395564428,-0.198141474723513,0,0.0000000000000000277555756156289,0,0,-0.169115578421082,0.649805641324048,0.0638119729064348,0,0,-0.799341173962141,0.31424106691817
DXY.INDEX,0,-0.000783222546129066,0,-0.0206856740530572,0,0,0,0.00371594294990965,-0.000000000000000000433680868994202,0,0.0160909772435744,0,0,0,0,0.0592703816912542,0,0,-0.00116934260931215,-0.012478528590689
SPX.INDEX,0,0.00678710296845266,0,0,0,-0.129716127972951,0,0,0,0,0,0,0,0.108523160223948,0,0.256916141423112,0,0,0,-0.250899581420862
VIX.INDEX,0,0.0343428241584489,0,0,0.494239142111342,0,0.483907438599463,-1.20436598149879,0.133403992709191,0,-0.289583494563839,0.486071033185548,0,0,0,0.395893163045002,0.314393518524415,-1.20957142779657,-1.62566333857668,0
