,BTC,INNBCL,ETH,XRP,BCH,BSV,TAGZ5,LTC,BNB,EOS,XTZ,XLM,ADA,LINK,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,-0.00322860924336384,0.268727531560839,0,0,0.151665624020526,0,0,0.116379255153922,0,0.00000000000000000173472347597681,0.0640973315867599,0,0,0,0,0,0,0,0
INNBCL,0,0,0,0,0,-5.23119133516069,2.76649145927166,0,0,-4.32846119864337,2.91974425419294,3.61031863471975,1.85498989960529,-0.734165220416191,-2.14854519676527,0,2.80269646528162,0,6.78511388518979,3.65070017870991
ETH,0,0,0,0,0.109350032402487,0.0162108204454826,0.030062578883968,0,0.24353418100431,0,0.123185548852517,0,0.121478010380922,0,0.0251007538244708,0,0,0,0,0
XRP,0,-0.00228402819265218,0.222104332417312,0,0,0,0,0,0,0.229789881964369,0,0.08587580054098,0.148030711179032,0,0,0,0,0,0,0
BCH,0,-0.00635772674227194,0.528830925063793,0,0,0.183913242647101,0.0183617886244178,0,0,0.0382229243820686,0,0,0.0257062643466835,0,0,0,0,0,0,0
BSV,0.232896676828636,-0.00477066897499684,0.131906652721385,0,0.441853181502122,0,0,0,0.00000000000000000346944695195361,0.133273415294386,0,0,0,0,0,0,0,0,0,0
TAGZ5,0,0,0,0,0,0,0,0,0,0,0.390727514334221,0,0,0,0,0,0,0,0,0
LTC,0,-0.00128605867957933,0,0,0.0401281123071317,0.155838487408859,0.00421770853543958,0,0.00550618704940114,0.272491905181411,0.100169833927157,0.00800690339937407,0.173282267019299,0,0,0,0,0,0,0
BNB,0.135430010612318,-0.00440618875764176,0.371184714042481,0,0,0.0670718743229885,0,0,0,0,0,0,0.230139982339319,0.0867491148680204,0,0,0,0,0,0
EOS,0,0.00361677321737572,0.378332298482837,0,0.0543829584026827,0.0820524038046442,0.018724796715452,0.0724768541938082,0,0,0,0.18232901167625,0.0506956185485498,0,0.0444506869103447,0,0,0,0,0
XTZ,0,-0.0040765300192805,0.317916739575187,0,0,0.0723508501564086,0,0,0.215593608910031,0,0,0.160330423391537,0,0.28157851423871,0,0,0,0,0,0
XLM,0,0.00760156946138258,0,0.318468129321786,0.128723938981792,0.15213721890032,0,0,0,0,0.0512887652708961,0,0.230358922309403,0,0,0,0,0,0,0
ADA,0,-0.00448599098208248,0,0,0,0,0.00202547118305895,0,0.0861571705730431,0.0330422387780262,0.167269529785338,0.0882595049818641,0,0.0830084766082594,0.29806978194119,0,0,0,0,0
LINK,0,-0.0119954452831218,0.0196030398681395,0,0,0,-0.0123853440264423,0,0.0472155502357392,0,0.429172459735166,0,0,0,0,0,0,0,0,0
XMR,0,-0.00378885773879618,0.199967210285241,0.0583729798789267,0,0,0,0,0.187660465021298,0.129578538402721,-0.0000000000000000277555756156289,0.205636973638761,0,0,0,0,0,0,0,0.0359587537110671
BV010082.INDEX,0,-0.00725783365659618,0.192852385201918,0,0,-0.0259609128490635,0,0,-0.0703889929327148,0,0,0,0,0,0,0,-0.181733685802805,0,0.162930407911196,0
CVIX.INDEX,0,0.0208187137488128,0,-0.445713783172251,0,-0.149732489269325,-0.0936981234894842,0,0,0,0.590167160139443,0,0.230301667461806,-0.381382762529448,0,0.830956189652346,0,0,-0.415443001060183,-0.0359520454403645
DXY.INDEX,0.0592969493127029,-0.0000332252286673781,0,-0.0820650010282048,0,-0.0172096037906287,0.00107053820268431,-0.0682919801530328,0.0499573523203981,0,0.037120213382455,0.0334592127787308,0,0,0,0.0480309244292892,0,0,-0.0494612889007927,-0.0206709492695328
SPX.INDEX,0,0.00851237245261334,-0.10863701478029,0,-0.0267485586602973,0,-0.00553760189699922,0,-0.0301546126233815,0,0,0.0840273270305225,0,0,0,0.433286269165816,-0.0104678880403865,0,0,-0.23236170678173
VIX.INDEX,0.125832390694683,0.0357014294733976,0,0,0,0.196663337677069,-0.0491862111832849,0.29762647240942,0,0,0,0.124106702051812,0,-0.625573567735112,0,0.899719300547901,0.132498067555234,0,-1.90661427628702,0
