,BTC,INNBCL,ETH,XRP,BCH,BSV,TAGZ5,LTC,BNB,EOS,XTZ,XLM,ADA,LINK,LEO,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0,0.260408513155202,0,0,0.066031790755369,0,0,0.237331976571475,0,0.115877921978289,0,0,0,0,0,0,0,0,0
INNBCL,0,0,0,0,0,-5.84233314859279,1.63417963094763,0,0,-2.62392469022077,0,0,7.92280728872861,0.0360290719974767,0,0,2.03758977199495,0,11.3962181018134,4.46412639984076
ETH,0,0,0,0,0.0508396808158732,0.0308548285438889,0.0111562959527596,0,0.272777309794395,0.24902958840558,0.262934964708217,0,0,0.0735726249636342,0,0,0,0,0,0
XRP,0,0,0.0714893803597715,0,0.0480403100994056,0,0,0,0.0509623484767242,0.125493747614144,0,0,0.285929796326139,0.130706289194838,0,0,0,0,0,0
BCH,0.0268021434874237,0,0.240414874593235,0,0,0.268674224300407,0.0141959693001061,0,0.0946978021525423,0.143992018209567,0.131959249340535,0,0.07309736588874,0,0,0,0,0,0,0
BSV,0.278921003557746,-0.00968693535581703,0.218655446595163,0,0.286188404193112,0,0,0,0.053798645302459,0,0.156634822354987,0,0,0,0,0,0,0,0,-0.0284674673412592
TAGZ5,0,0,0,0,0.226256707757667,0,0,0,0,0,0.191890937927658,0,0,0,0,0,0,0,0,0
LTC,0,0.000720870895097361,0.00443676212917083,0,0.0643878863661925,0.0993017457340198,0,0,0.0891079998084641,0.200511418892961,0.159378893118366,0,0.187218528225184,0,0,0,0,0,0,0
BNB,0,-0.00674832220533832,0.504493522352506,0,0.0112159119803952,0.0864840889978628,0,0,0,0,0.0988130149807691,0,0,0.0923273036012907,0,0,0,0,0,0
EOS,0,0,0.295283216991004,0,0.209165577765733,0.104828239327318,0,0,0.0209271751493851,0,0.0409559323444675,0.155261817742952,0.0894401692911847,0,0,0,0,0,0,0
XTZ,0,-0.000841060861333526,0.470624228965564,0,0,0,0,0,0.231039925874299,0,0,0.196857421371808,0,0.230039128737824,0,0,0,0,0,0
XLM,0,0,0.211011616924564,0,0.310664784814254,0.00910600952768113,0,0,0,0,0.0758195593986661,0,0.0937683118245571,0,0,0,0,0,0,0
ADA,0,-0.00262191609687503,0.456688001472889,0,0,0,0,0,0.0305859263820786,0.0601947884154912,0.238944691150705,0,0,0.0710294699590906,0,0,0,0,0,0
LINK,0,-0.00139027180491448,0,0,0.0330964372061923,0.239971450243813,0,0,0.063911369975191,0,0.600005989144305,0,0.043436794008517,0,0,0,0,0,0,0
LEO,0,0.00407424897318163,0.0998506423617941,0,-0.114886680200374,0,-0.0191844837929162,0,0,0,0,0,0,0.025317998584779,0,0,-0.0953979235534975,0,-0.0404029371639584,-0.0159477841894264
BV010082.INDEX,0,-0.0114644561631424,0.242968021280409,0,0,-0.395340067017721,0.0671561087616852,0,0,0,0,0.0771802458146013,0,0,0,0,-0.113102090795524,0,0.0693439295215801,-0.00976695926558742
CVIX.INDEX,0.0998970293886509,0.0105975975861269,0,-1.0083815636892,0,-0.319127763925258,-0.122229895837796,0,0,-0.0732389705975365,0.869194157856073,0,0,0,0,0,0,0,-1.06829904281249,0.123586988975994
DXY.INDEX,0.0336223367326868,0.00054936798255525,0,-0.0180007361907401,0,0,0,0,0,0,0.031793898569142,0,0,-0.0413283932579457,0,0.0860966023787513,0.0258614311767129,0,0,-0.00369899678912027
SPX.INDEX,0,0.00760129245331531,0,0,-0.208746747664787,-0.0286089685369286,-0.00315455773025902,0,0,0,0,0.0653587110720989,0,0.166470369494532,0,0.318961243177593,0,0,0,-0.239146638316188
VIX.INDEX,0.31747056373353,0.0480950801788342,0,0,0.158149139372214,0.393339632937856,0.0500227052008312,0.274385277152891,-0.661308424333741,0,-0.976273680990596,0.746972421926033,0,0,0.143922484197446,0.733734421547037,0.464716342933645,-1.57730034967409,-2.27048616339325,0
