,BTC,ETH,XRP,BCH,BSV,LTC,BNB,EOS,CRO,ADA,XTZ,LINK,XLM,LEO,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.234842806099788,0,0,0.0185735782838891,0,0.423443530438536,0,0,-0.0000000000000000138777878078145,0,0,0,0,0.0485596915220117,0,0,0,0,0.0252669751785661
ETH,0.0608470851216452,0,0,0.278432834520998,0.0153420074973607,0.195003796631728,0.208383311330017,0.00479656917901827,0,0.00534684679273024,0.0288244185441103,0,0.0117019690984095,0,0.0968371882512269,0,0,0,0,0
XRP,0,0,0,0.0219881185956294,0,0.172251662238338,0,0.345311255077563,0,0.0685129675144549,0.0504968232285887,0,0,0,0,0,0,0,0,0.0100696859787664
BCH,0,0.185203634008091,0,0,0.378811821609876,0.0916971378735959,0,0.335869075515923,0,0,0,0,0,0,0,0,0,0,0,0
BSV,0.110110122164823,0.259240892966542,0,0.456361215508215,0,0,0,0.0578565140604043,0,0.00000000000000000693889390390723,0,0,0,0,0,0,0,0,0,0
LTC,0.141577509575012,0.275548385796869,0.0544080218685778,0.147728196431409,0,0,0,0.182780669587891,0,0.00765024617346971,0,0,0.0158956825798192,0,0.0551502833356155,0,0,0,0,0
BNB,0.139242854994858,0.302910171114929,0,0.0904578376104734,0.161314801232735,0,0,0.0409601777940373,0,0,0,0,0.0480676132532612,0,0,0,0,0,0,0.0213097200004123
EOS,0,0.129858969729607,0,0.138681381311142,0,0.459480423726469,0,0,0,0.0625544691743244,0,0,0.0621135515422766,0,0.0969984634132048,0,0,0,0,0
CRO,0,0,0.383396309843801,0,0,0,0,0,0,0,0.338618802528466,0,0.126148315382473,0,0,0,0.0143763888867774,0,0,-0.0337559382958802
ADA,0.0244064633939346,0.666791747559135,0,0,0,0,0,0,0,0,0.124604084245578,0,0.319045170798633,0,0,0,0,0,0,0
XTZ,0,0,0,0,0,0.285366684493011,0.0104602136200279,0.0985732473906921,0,0,0,0.426607237092148,0.0418570110763388,0,0,0,0,0,0,0
LINK,0,0.119945906831285,0,0,0,0,0,0.236868075266702,0,0.0744957424668736,0.334909586636144,0,0,0,0,0,0,0,0,0.0405838427895966
XLM,0,0,0.119032301437321,0.190585251746861,0.0933359409658978,0.0846392552409217,0,0,0,0.282706064090636,0,0.118547339359229,0,0,0,0,0,0,0,-0.000208877971892891
LEO,-0.214159713864262,0.0733684601970745,-0.0446246701065544,0,0,0.121661668182555,0.0588310034460523,0,0,0,0.0712642932812735,0,0.0897258738138553,0,0,0.504197584750431,-0.116479045055095,0,0,0.00151894969183262
XMR,0.015542559527885,0.216312053996173,0,-0.000000000000000000867361737988404,0,0.277048871695735,0,0.0477432009496695,0.0156789718552453,0,0.179586368647878,0,0.0688794919634038,0,0,0,0,0,0,0.0299316232240611
BV010082.INDEX,-0.0962404832716141,0,0,0,0.00000000000000000693889390390723,0,0,-0.191338106025728,0.0306960296948052,0,0.100067480568677,-0.00633141406379954,-0.0137967305805772,0,0.183433127778866,0,-0.026961007726872,0,0.112152905552479,0.0260170869004163
CVIX.INDEX,0,0,-0.287332971777757,0,-0.213477111328244,0,0,0,0.377155231135698,-0.00221169493449039,0,-0.157186394322023,0,0,0.223434279007001,0,0,0,-1.02038169885707,-0.194431691083041
DXY.INDEX,0.0732399903112714,-0.0675328217776439,0.0202413424743137,0,-0.0173588270219984,-0.0290009127503524,-0.0351295309099004,-0.0413633137780966,0.063848631102405,0.00752050001191377,0.0187131638325982,-0.0226160995153055,0.028480188535682,-0.0435004552017255,0,0,0,0,-0.17912785412877,-0.027221086203372
SPX.INDEX,0,0,0,0,0,0,0,0,0,0.0418004686611201,-0.0189283328979599,-0.106897698128655,0,0,0,0,-0.194705501848896,0,0,-0.151620729352309
VIX.INDEX,0,0,-0.249217717361497,-0.119834378927047,0,0,0,0,0,0.264163544109378,-0.470056760507429,0,0,-0.164751290857644,0.36731900932005,0,-0.63626732687482,0,-3.82100417553942,0
