,BTC,ETH,XRP,BCH,ADA,BSV,LTC,BNB,CRO,LINK,EOS,XTZ,XLM,TRX,XMR,BV010082.INDEX,CVIX.INDEX,DXY.INDEX,SPX.INDEX,VIX.INDEX
BTC,0,0.151219930150648,0,0,0,0.0671270518882096,0,0.0336263873002818,0.139489970107119,0.00906159450163205,0,0.0667665105295105,0,0.0919321071890482,0,0,0,0,0,0
ETH,0,0,0,-0.00000000000000000346944695195361,0.00575149104791284,0.0305872251567035,0.188975692244162,0,0.144483867646736,0.0583451874322254,-0.000000000000000000216840434497101,0,0,0.122970394905616,0.0534049043280551,0,0,0,0,0
XRP,0,0,0,0,0.0702168852263094,0.164834308703299,0.0998468859082944,0,0,0,0.146203691576467,0,0,0.152534856108978,0,0,0,0,0,0
BCH,0,0.0728028348206979,0,0,0.0107419995353238,0.229577491712488,0.258370973224686,0,0.0237827580424516,0,0.222953773519881,0,0,0.0870747013265953,0.0349659919615427,0,0,0,0,0
ADA,0,0,0.436753750470189,0,0,0,0.51337750907467,0,-0.0203319739637327,0.19818570701803,0,0,0,0,0,0,0.0417415626957943,0,0,-0.00584166912187814
BSV,0,0.309118816121875,0,0.0890587356384232,-0.0315470343194815,0,0.204087117742559,0,0,0,0.00574978968543992,0,0,0.0661253810630201,0.181499790653131,0,0,0,0,0
LTC,0.170462186269372,0.0779298405856137,0,0.0962834699056784,0.0620764411303876,0.102766324120238,0,0,0,0,0.144002703039351,0,0,0.0908906746972055,0.102054744619735,0,0.0678982285101543,0,0,0
BNB,0,0.197529246649454,0,0.261534462201379,0.0192505314676115,0.0978478856334465,0.0148500780501634,0,0.155541551894643,0,-0.0000000000000000000135525271560688,0,0,0,0,0,0,0,0,-0.00943960597265855
CRO,0,0,0,0.164370317855099,0,0,0,0,0,0,0,0.123251208854846,0,0.474671526734578,0,0,0,0,0,-0.0255452742778783
LINK,0,0,0,0,0.315264269790254,0,0,0,0.289637928046052,0,0,0.233991695511865,0,0,0,0,0,0,0,0.0720910098000916
EOS,0,0,0,0.290121853914713,0.071404829243979,0.189079845897975,0.147155952754544,0,0,0.0225660825470349,0,0.0334139989290361,0,0.104172077368388,0,0,0,0,0,0
XTZ,0,0,0,0.12131223003594,-0.0457885851777916,0,0,0.0874536180062516,0.185553020044898,0.368923091620267,0,0,0.14724515039124,0,0.032609009971632,0,0,0,0,0.0427285973356872
XLM,0,0,0,0.238252370219543,0.229740632606419,0,0.102189455421669,0,0,0.0835839603207329,0,0.176801040432949,0,-0.0000000000000000277555756156289,0,0,0,0,0,0.0319249611513454
TRX,0,0,0,0.0507491598508878,0.0675475499230725,0.109205373907031,0.0237311582196633,0,0,-0.00000000000000000010842021724855,0.503493390971225,0,0.0748102250859671,0,0.04872368245885,0,0,0,0,0
XMR,0,0.136495572541242,0,0,0,-0.0333408020067291,0.190678246268955,0.318080975904256,0.154821176392649,0.0516617322737648,0,0.0731848636986435,0,0.0000000000000000138777878078145,0,0,0,0,0,0
BV010082.INDEX,0,0,0,0,-0.00322053457498742,-0.000512522265928032,0,0,0.0294974880065198,0.0294017787479462,0,0.0218630851604681,0,0,0,0,0,0,0.067869856178447,-0.000173829566607166
CVIX.INDEX,-0.130325091106961,0,0,0,-0.154882992164707,0,0,0.520855783848052,0.131388410814946,0.0572126018582006,0,-0.0549465574538125,0,0,-0.443783181505591,0,0,0,0,-0.114304240158561
DXY.INDEX,0,-0.0419008951088263,0.0406281305205047,0,0.0194455970786061,0,0,0,0.023250049745497,0,-0.0561805775088759,0.00856991128946405,0.00680524884653423,0.0544892314309783,-0.0620769776216231,0,0.0277200386296139,0,-0.0699405937977887,-0.000837397621300823
SPX.INDEX,0,0,-0.056162183502652,0,0,0,-0.0158353330327136,0.0451293811740194,0.0702892876688892,-0.0186748040336737,0,0.0364949791573512,0.056546298937711,-0.102157689935459,0,0,0,0,0,-0.140287118137386
VIX.INDEX,0,0,0,0,0.228579745966247,0,0,0,0.0000000000000000138777878078145,0,0,0,-0.0365120861522392,-0.277851437216303,-0.151718073837768,0,-0.42350584703858,0,-3.51900211523744,0
