,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,CGB3M,FXI.US.EQUITY,VXFXI.INDEX,TED.SP,CN3M10YSLOPE,CREDIT.SP
X1398.HK.EQUITY,0,0,0,0,0.683398397675533,0,0,0.152390067995823,0,0,0,0,0,0,-0.181766575347312,0,0,0,0.0689880178888646,0,0,0,0,0,0,0,0,0,0.00865661457880156,-0.011936616567729,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.198357262065927,0,0,0,0,-0.0504668671339176,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.0197042411896089,-0.0392545988486652,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0.113505545325148,0.027863095514898,0,0,0,0.0664894211831351,0.074761525740078,0,0,0,0.0143020011286731,0,0,0,0,0,0,0,0,0,-0.0139416519451421,0,0,-0.00816177723237616
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0283256814726125,0.00541137183778833,0.127458851723833,0,0,0,0,0,0,0.034238833464985,0,0,0,0,0,0,0.227417464153268,0,0.0286088275082752,0,0,0,0,-0.144035435832368
X939.HK.EQUITY,0.293656397199473,0,0,0,0,0,0,0,0.0338268165651338,0,0,0,0.116939029609209,0,0,0,0.10969952033199,0,0,0,0,0,0,0,0,0,0,0,-0.0071970294079586,0,0.00708859325991622
X601939.CH.EQUITY,0,0,0,0,0,0,0.953722268971782,0.00285083753073651,0.0569938839785755,0,0,0,0,0,0,0,0,0.0510828392377114,0,0,0,0,0,0.0302373603324479,0,0,0,0,-0.00444372624854675,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.754123328400206,0,0,-0.00182821533037833,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.0599503774532808,0,-0.00501165967374218,0,0.00805325577498628,0.0101520965362761,-2.16840434497101e-19,0.0510814180839924
X2628.HK.EQUITY,0,0,0,0.105285842077937,0,0,0,0,0.183396415755605,0,0,0,0,0,0.221764493103106,0,0.0248649637311341,0,0,0,0,0,0.141038951759841,0.154244929016391,0,0.0887439848942489,0,0,0.0036016697363254,-0.0418298099954739,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,1.04550338916296,0,0,0,0,0,0,0,0.160235122460498,0.0706897902155066,0,0,0,0,0,0,0,0,0,0,0.0672000007373995,0.00016556702895673,-8.67361737988404e-19,-0.18791039437893
X600036.CH.EQUITY,0.186744440353675,0,0,0,0,0.433193085829337,0,0,0,0,0,0,0,0.152192355304107,-0.0175888591836611,0,0,0,0,0,0.0249596724053976,0.111048564961019,0.132701296192535,0,0,0,0,0,0.00836476595637218,-0.0385287513737489,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292834586034483,0.0548767226054514,0,6.93889390390723e-18,0,0,0,0,0,0,0.147555951096124,0,0,-0.388540083114242,-0.0814199845495457,0.0201813803030246,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0.0383563821136676,0,0,0,0,0,0,0,0,0.718482680680999,0,0,0,0,0,0,0,0,0,-0.00233086634136277,0.0097277736180798,0.0531174642049165,0
X1299.HK.EQUITY,0.00153819902335144,0,0,0,0.274056458648432,0,0,0.0365222998664017,0,0,0,0,0,0.220893160822524,0,0,0.0358469852743743,0,0,0,0,0,0,0,0,0.116280040854016,0,-0.0818101611408622,0.0348196924036043,0,0
