Dates,GCNY3M Index,GCNY10YR Index,SHIF3M Index,FXI US EQUITY,VXFXI INDEX
2019-07-01,2.188,3.229,2.681,43.4,18.68
2019-07-02,2.188,3.171,2.657,43.29,17.88
2019-07-03,,3.161,2.641,43.13,17.47
2019-07-04,,3.16,2.627,,
2019-07-05,,3.178,2.606,42.63,17.78
2019-07-08,2.093,3.186,2.603,42.31,18.56
2019-07-09,2.154,3.169,2.601,42.06,18.93
2019-07-10,,3.177,2.6,42.18,17.77
2019-07-11,,3.173,2.6,41.97,17.49
2019-07-12,,3.157,2.6,42.13,16.93
2019-07-15,2.084,3.186,2.6,42.25,16.89
2019-07-16,2.085,3.178,2.609,42.18,16.6
2019-07-17,,3.178,2.613,42.13,16.91
2019-07-18,,3.163,2.623,42.24,17.61
2019-07-19,,3.161,2.631,42.47,18.04
2019-07-22,2.195,3.151,2.628,42.08,18.97
2019-07-23,2.193,3.156,2.628,42.32,18.74
2019-07-24,,3.17,2.625,42.46,18.3
2019-07-25,,3.168,2.625,42.17,19.11
2019-07-26,,3.173,2.629,42.23,19.54
2019-07-29,,3.183,2.631,41.92,19.49
2019-07-30,2.274,3.181,2.636,41.66,19.76
2019-07-31,,3.16,2.644,41.1,18.75
2019-08-01,,3.151,2.646,40.17,22.32
2019-08-02,,3.103,2.649,39.86,21.59
2019-08-05,2.343,3.068,2.646,38.3,28.51
2019-08-06,2.345,3.074,2.635,38.66,25.78
2019-08-07,,3.05,2.623,38.85,24.69
2019-08-08,,3.05,2.618,39.18,22.29
2019-08-09,2.369,3.027,2.618,38.74,23.17
2019-08-12,,3.027,2.625,38.26,24.65
2019-08-13,,3.011,2.644,38.87,22.97
2019-08-14,,3.015,2.656,37.67,26.9
2019-08-15,,3.014,2.661,38.19,25.19
2019-08-16,2.398,3.024,2.666,38.6,23.7
2019-08-19,,3.021,2.669,39.15,21.95
2019-08-20,2.396,3.032,2.671,39.01,21.28
2019-08-21,,3.058,2.674,39.35,19.98
2019-08-22,,3.058,2.682,39.05,20.68
2019-08-23,,3.072,2.69,38.34,25.63
2019-08-26,,3.053,2.694,38.89,23.58
2019-08-27,,3.054,2.7,38.9,23.79
2019-08-28,,3.056,2.702,38.85,23
2019-08-29,,3.035,2.7002,39.13,22.05
2019-08-30,2.494,3.061,2.701,39.12,22.22
2019-09-02,2.495,3.081,2.7,,
2019-09-03,2.47,3.069,2.701,39.13,22.05
2019-09-04,,3.047,2.702,40.05,20.41
2019-09-05,,3.018,2.704,40.53,19.79
2019-09-06,,3.01,2.708,40.61,19.59
2019-09-09,,3.027,2.707,40.69,18.73
2019-09-10,,3.045,2.707,40.71,18.7
2019-09-11,,3.057,2.707,41.33,18.09
2019-09-12,,3.089,2.709,41.48,17.79
2019-09-13,,,,41.9,17.78
2019-09-16,,3.092,2.71,41.46,19.76
2019-09-17,,3.105,2.708,41.26,19.43
2019-09-18,,3.127,2.706,40.98,18.91
2019-09-19,,3.105,2.709,40.69,18.5
2019-09-20,2.331,3.099,2.717,40.54,18.44
2019-09-23,,3.104,2.725,40.53,18.42
2019-09-24,,3.12,2.729,40.04,19.96
2019-09-25,,3.119,2.729,40.18,20.08
2019-09-26,,3.135,2.732,39.91,20.08
2019-09-27,,3.146,2.726,39.45,21.98
2019-09-30,,3.141,2.728,39.8,21.28
2019-10-01,,,,39.63,22.04
2019-10-02,,,,39.67,22.54
2019-10-03,,,,40.31,20.64
2019-10-04,,,,40.24,21.08
2019-10-07,,,,39.96,21.29
2019-10-08,,3.11,2.724,39.69,22.59
2019-10-09,,3.122,2.72,40.25,22.08
2019-10-10,,3.13,2.718,40.75,21.25
2019-10-11,,3.156,2.718,41.33,20.59
2019-10-14,,3.164,2.722,41.15,19.42
2019-10-15,,3.166,2.731,41.54,17.87
2019-10-16,,3.166,2.732,41.52,17.87
2019-10-17,,3.164,2.736,41.69,18.1
2019-10-18,,3.186,2.746,41.24,17.65
2019-10-21,,3.217,2.763,41.72,17.76
2019-10-22,,3.222,2.793,41.38,18.44
2019-10-23,,3.21,2.808,41.26,18.39
2019-10-24,,3.218,2.824,41.23,18.51
2019-10-25,,3.24,2.831,41.49,18.2
2019-10-28,,3.295,2.84,41.88,18.87
2019-10-29,2.501,3.311,2.847,41.46,19.19
2019-10-30,,3.318,2.864,41.33,19.05
2019-10-31,,3.282,2.887,41.15,19.04
2019-11-01,,3.272,2.897,42,19.5
2019-11-04,,3.297,2.919,42.51,20.36
2019-11-05,,3.249,2.933,42.77,20.18
2019-11-06,,3.257,2.948,42.69,19.57
2019-11-07,,3.273,2.953,43.05,19.04
2019-11-08,,3.269,2.953,42.74,19.31
2019-11-11,,3.217,2.955,42.08,20.65
2019-11-12,,3.253,2.965,41.71,21.4
2019-11-13,,3.231,2.981,41.15,22.16
2019-11-14,,3.251,3,41.04,21.55
2019-11-15,,3.242,3.02,41.13,20.28
2019-11-18,,3.188,3.032,41.26,19.97
2019-11-19,,3.176,3.033,41.68,20.18
2019-11-20,,3.176,3.032,41.45,19.76
2019-11-21,,3.171,3.034,41.39,19.92
2019-11-22,,3.172,3.037,41.32,19.37
2019-11-25,,3.197,3.029,42.01,19.33
2019-11-26,,3.184,3.02,42.11,19.46
2019-11-27,,3.185,3.019,42.07,19.36
2019-11-28,,3.181,3.016,,
2019-11-29,2.436,3.175,3.017,40.94,19.89
2019-12-02,2.432,3.212,3.017,40.95,19.69
2019-12-03,2.437,3.199,3.015,40.71,20.63
2019-12-04,,3.197,3.019,40.88,20.47
2019-12-05,,3.19,3.022,40.9,19.28
2019-12-06,,3.205,3.0245,41.24,19.3
2019-12-09,2.46,3.202,3.025,41.05,19.67
2019-12-10,2.438,3.201,3.028,41.21,19.48
2019-12-11,,3.19,3.03,41.98,19.75
2019-12-12,,3.19,3.0305,42.78,21.19
2019-12-13,,3.2,3.0325,42.6,18.68
2019-12-16,,3.2,3.0324,42.34,17.23
2019-12-17,2.41,3.225,3.036,42.88,17.44
2019-12-18,,3.239,3.04,43,17.31
2019-12-19,,3.233,3.043,42.91,16.79
2019-12-20,,3.201,3.041,43.08,16.64
2019-12-23,,3.167,3.04,43.04,16.33
2019-12-24,,3.166,3.0335,43.12,16.2
2019-12-25,,3.146,3.0325,,
2019-12-26,,3.118,3.0295,43.55,17.47
2019-12-27,,3.134,3.0255,43.71,18.3
2019-12-30,,3.145,3.021,43.49,18.59
2019-12-31,,3.144,3.02,43.63,19.54
2020-01-01,,,,,
2020-01-02,,,2.994,44.88,18.28
2020-01-03,,3.146,2.96,43.91,19.57
2020-01-06,,3.134,2.92,44.12,19.55
2020-01-07,,3.142,2.899,44.01,18.75
2020-01-08,,3.138,2.881,43.98,18.34
2020-01-09,,3.122,2.867,44.38,17.47
2020-01-10,,3.08,2.864,44.52,18.28
2020-01-13,,3.094,2.858,45.28,17.48
2020-01-14,,3.104,2.862,44.82,18.05
2020-01-15,,3.091,2.865,44.57,17.49
2020-01-16,,3.095,2.868,44.9,17.49
2020-01-17,,3.088,2.868,45.11,16.47
2020-01-20,,3.057,2.86,,
2020-01-21,,3.044,2.859,42.99,20.46
2020-01-22,,3.028,2.858,43.47,19.76
2020-01-23,,3.003,2.858,42.91,21.62
2020-01-24,,,,42.35,24.15
2020-01-27,,,,40.67,28.57
2020-01-28,,,,40.95,26.61
2020-01-29,,,,41.2,23.87
2020-01-30,,,,40.69,25.72
2020-01-31,,,,39.74,28.93
2020-02-03,,,2.852,40.13,26.38
2020-02-04,,2.866,2.824,41.21,25.09
2020-02-05,,2.869,2.799,41.35,24.25
2020-02-06,,2.837,2.776,41.63,24.44
2020-02-07,,2.806,2.753,41.26,24.49
2020-02-10,,2.792,2.723,41.5,22.55
2020-02-11,,2.833,2.679,42.3,21.7
2020-02-12,,2.836,2.639,42.87,20.54
2020-02-13,,2.827,2.605,42.31,22.1
2020-02-14,,2.866,2.565,42.27,21.39
2020-02-17,,2.893,2.545,,
2020-02-18,1.75,2.881,2.525,42.18,21.29
2020-02-19,,2.885,2.51,42.47,20.11
2020-02-20,,2.884,2.5,42.02,20.92
