,X5.HK.Equity,X3988.HK.Equity,X939.HK.Equity,X2628.HK.Equity,X3328.HK.Equity,X3328.HK.Equity.1,X11.HK.Equity,X2388.HK.Equity,X2882.TT.Equity,X2318.HK.Equity,X600036.CH.Equity,GCNY10YR.Index,FXI.US.EQUITY
X5.HK.Equity,0,0,0,0.0816779231796303,0,0,0,0,0.0375337174853088,0.0489893122204709,-0.00320914223456852,0,0
X3988.HK.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0
X939.HK.Equity,0,0,0,0.0576572826036302,0,0,0,0,0,0.225254573601635,0,0,0
X2628.HK.Equity,0,0,0,0,0.109559820209771,0,0,0,0,0.464567153390716,0,0,0
X3328.HK.Equity,0,0,0,3.11427814516646e-07,0,0.99999694787183,0,0,0,4.20240939211902e-08,0,0,0
X3328.HK.Equity.1,0,0,0,2.04393906467102e-07,0.999998592642869,0,0,0,0,0,0,0,0
X11.HK.Equity,0.0340038870189276,0,0,0.0218534553165925,0.0250738820987462,0,0,0.0294598335729724,0.00981796332274899,0.0144649068792104,0,0,0.00506931537781736
X2388.HK.Equity,0,0,0,0.0672376014078888,0,0,0,0,0.0331852208762479,0.122007623160874,0,0,0
X2882.TT.Equity,0.114415102938529,0,-0.0801839010439949,0.0330767336581638,0,0,0,0.289935194957079,0,0.400387169550066,0,0,0
X2318.HK.Equity,0,0,0,0.551984593106135,0,0,0,0,5.73214826993797e-07,0,0,0,0
X600036.CH.Equity,0,-0.0983297882301185,0,-0.222899201019916,0,0,0,0,-0.0442620904305101,0.458589317059688,0,0,0
GCNY10YR.Index,0,0,0,0,-0.0210324412071035,0,0,0,0,0,0,0,0
FXI.US.EQUITY,0,-0.212417855964035,0.0715252664710965,-0.245016742425766,0.444024099717092,0,0.555213639696055,0,0,0.40821681756126,0,0,0
