,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X600036.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0.174745197536918,0,0,0,0.055930042989963,0,0,0,0,0,0,0,0.0102107733925496,0,0,0,0,0,0,0,0,0,-0.00484300734957284,0,-5.42101086242752e-20,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.330580749914996,0.0437851301204457,0,0,0,-0.0990298316037755,0,-0.0107894087729564,0,0,0,0,0,0,0,0,0,0.0132082386182558,0,-0.000879416184733668,0.036969837896696
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0.123020554751529,0,0,0,0.123460304079124,0.0961706399983273,0,0.0255925116989309,0,0.0307444478009156,0,0,0,0,0,0,0,0,0.00482589484808661,0,0.0123710948574667,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.162398443328271,0.281788021043236,0,0,0,0,-0.0876676136175994,0,0.0553780983203279,0,0,0,0,0,0.00569646653732912,0,0,0,0,0.00492271954265593,0.025763165513928,0
X939.HK.EQUITY,0.32045771351286,0,0,0,0,0,0,0,0,0,0,0,0.192199368858771,0,0,0,0.04533334694736,0,0,0,0,0,0,0,-0.00676430796870371,0,-0.0215336642947865,0,0.0408201178329632,0
X601939.CH.EQUITY,0,0,0,0,0,0,0.893199006300693,0,0.0342333478532946,-1.38777878078145e-17,0,0,0,0,0.0263183873661308,0,0,0.0364494235473739,0,0,0,0.0513534130598033,0.0819622340160046,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.13425965521417,0,0,0,0.77691753576593,0,-0.0702454792699194,0.0077310029565207,0,-0.0573049371882864,0,0,-0.00408979829556157,0.00853298181930266,0,0.0084125461204323,0,0,0,0,0,0.0561840391088186,0,0,0.099900227877562,0.008258188069368,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0.183226764996302,0,0,0,0,-0.335609065608723,0,0.237027981571704,0.214852155761385,0,0,0,-0.386317292043203,0,0.144367048965497,0,0.955321273570987,0.350368469364799,0,0,0.142337390497528,-0.027776586482419
X2628.HK.EQUITY,0.0134666920099895,0,0,0,0,0.0194422702676828,0,0.0968047068006018,0,0.417350862360265,0.342175743325767,0,0.0114466767780968,0,0.303368840968621,0,0,0,0,0,0,0,0,0,0.0780559771394323,0,0,0.20920880526437,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.522564160584272,0,0.0580647044599291,0,0,0,0,0.00306395200609266,0.0919160638779227,-0.00568860468176082,0,-1.73472347597681e-18,0,0,0,0.0260904426103462,0,0,0,0.0122953557118064,0,0,0,0,0
X3988.HK.EQUITY,0,0.0560340247185789,0,0,0,0,0,-0.111729067521516,0.188765615156381,0,0,0,0,0.0839737098244761,0.088132123904766,0,0.10853277752773,0,0,0,0.0168920634109296,0,0.0454649145381042,0,0,0,0,0,-0.114296980883427,0
X601988.CH.EQUITY,0,0.0457225851956069,0,0,0,0,0,-0.0299222162678387,0,0,0,0,0,0,0,0,0,0.86958260549297,0,0,0,-0.00489182337076597,-0.129877150771176,0,0,0,0.00913618097771073,0.0497072093243203,0.0247696781768754,0
X1299.HK.EQUITY,0,-0.240087877533175,0,0,0,0,0,-8.67361737988404e-19,0.343826055011689,0,0,0,0,0.500012168294482,0.155844214769153,0,0,0,0,0.00514938008698773,0,0,0,0,0,0,0,0.0205662878721362,0,0
X5.HK.EQUITY,-1.38777878078145e-17,0,0,0,0,0,0,0,-0.0375458730534233,0.141489893164571,0,0,0.327210516323903,0,0,0,0,0,0,0.655902154254748,0,0,-0.223312401842915,-0.17580525381164,0,-0.0750360231988011,-0.0506870127377428,0.108477195218349,0,0
X388.HK.EQUITY,0,0,0,0,0.138627050843923,0,0,0.176130024412975,0.346525204815909,0,0.204058965069069,0,0,0,0,0,0,0,0,-0.169178821763124,0,0,-0.471793446928596,-0.00319844245452613,0,0,-0.200121138998555,0.0917467104506694,0,0.0446234813812974
X600030.CH.EQUITY,0,0,0,0,0,0,0,0.108186374438501,0,0,0,0,-0.0522318263007238,0,0.255064704292811,0,0.429617885025307,0,0,0,0,0,0.299752213306709,0,0.0944604081810498,0,0.0699680549123399,0,0,-0.148010875027959
X601066.CH.EQUITY,0,0,0,0,0.180978643539831,0,0,0,0.00166406585690078,0,0.240068536451826,0,0,0,0.00956834004045734,0.892789362338019,0,0,0,0,0,-0.0671169754614217,0,0,0,0,0.0032906910969259,0.141197956513369,0,0
X601166.CH.EQUITY,0,0,0,0,0,0.0365606977395863,0,0.026322724812221,1.73472347597681e-18,0.0360731431314968,0,0.777489588252424,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.0750876827989626,0,0,0.0119650574783271,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.105783171114916,0,0,0,0,0,0.0119926661265646,0,0,0,0,0.224406687787873,0,0.106151596385169,0,0,0,0.025900829169418,0,0.0269700260233722,0
X3328.HK.EQUITY,0,-0.199110046968657,0,0,0,0,0,0,0,0,0,0,0.25379496161137,0,0,0,0,0,0,0,-0.0597721507708181,0,0.085694785026289,0,0,0,0,0.117871504609533,0,0.00529510495813098
X600000.CH.EQUITY,0,0,0,0,0,0,0,0.0424511446428363,0,0.272317822379912,0,0,0,0,0,0,0,0,0,0,0,0,0.179014848709806,0,0,0,-0.0177786942574932,0.0952624724136166,0.0355773025122871,0
X000002.CH.EQUITY,0,0,0,0,0,0.180485591181828,0,0.0349734303807019,8.67361737988404e-19,0,0,0,0,0,0,0.0275396776789805,0,0.0797708601030847,0,0,0,0,0.127861517821084,0,0,0,0.00383293920333905,0.0617652666984147,0,0.080429569397102
X601319.CH.EQUITY,0,0,0,0,0,0.0978759026596875,0,0,0,0,0.064207261047009,0,0,0,0,0.0258909465566415,0.110739356073294,0,0,0,0,0.0502020580316495,0,0,0.664691474488642,0,0.0490335983604759,-0.0512246645220458,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0,0.0573556872513274,0.0348396032884299,0.309496475425485,0,0,0,0,0.00507197453972028,0,0.0893437866665632,0.169778182609443,0,0,0.0779607141306863,0,0,0,0,0,-0.0222253591940096,0,0,0
X601601.CH.EQUITY,0,0,0,0.0272812927499986,0,0,0,0.098840135627003,0.070970624261653,0.0219681510892489,0,0,0,0.124686657802733,0,0.245364197499671,0.0199902977187143,0,0,0,0,0,0.218859363281976,0.149800630088596,0,0,-0.120022856608025,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,6.93889390390723e-18,-0.00469810310123118,0.196380534084966,0,0,0,0,0,0.0706169538844065,0,0,0,0,0,0,0,0,0,-0.143037408941796,0,0,0
