,X5.HK.Equity,X601988.CH.Equity,X3988.HK.Equity,X939.HK.Equity,X2628.HK.Equity,X3328.HK.Equity,X3328.HK.Equity.1,X11.HK.Equity,X2388.HK.Equity,X2318.HK.Equity,X2882.TT.Equity,X600036.CH.Equity,GCNY10YR.Index,FXI.US.EQUITY
X5.HK.Equity,0,0,0,0,0.0735527369436831,0,0,0,0,0.0576087293314004,0.0372400496464512,0,0,0.022338778137871
X601988.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X3988.HK.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X939.HK.Equity,0,0,0,0,0.168810474516524,0.197417036575766,0,0,0,0.0305040160125796,0,0,0,0.0149719475121469
X2628.HK.Equity,0,0,0,0,0,0.16023072471578,0,0,0,0.44378776755795,0,0,0,0
X3328.HK.Equity,0,0,0,0,0,0,0.999997934770845,0,0,0,0,0,0,0
X3328.HK.Equity.1,0,0,0,0,0,0.999998099172623,0,0,0,0,0,0,0,0
X11.HK.Equity,0.0215698322462704,0,0,0,0,0.0185458652338712,0,0,0,0.0650774976381804,0.00989132234409686,0,0,0.0143001151303058
X2388.HK.Equity,0,-0.0373229613612563,0,0.0679836634445959,0.078768862927267,0,0,0,0,0.0779024761040697,0.0441354538859377,0.0151836157815089,0,0
X2318.HK.Equity,0,0,0,0,0.493923483394674,0,0,0,0,0,0.0823339981071243,0.0855625930107753,0,0
X2882.TT.Equity,0,0,0,0,0,0,0,0,0,0.487839217600319,0,0,0,0
X600036.CH.Equity,0,-0.216125773308781,0,0,-0.362812688388828,0.203922169651415,0,0,0,0.568008989023321,-0.0618799037881251,0,0,-0.0683278531884242
GCNY10YR.Index,0,0,0,0,0,-0.0261086924990534,0,0,0,0,0,0,0,0
FXI.US.EQUITY,0,0.0427378782128877,0,0,-0.162117257865481,0.408565800469867,0,0,0,0.387189243265964,0,0,0,0
