,X5.HK.Equity,X601988.CH.Equity,X3988.HK.Equity,X939.HK.Equity,X2628.HK.Equity,X3328.HK.Equity,X3328.HK.Equity.1,X11.HK.Equity,X2388.HK.Equity,X2318.HK.Equity,X2882.TT.Equity,X600036.CH.Equity,GCNY10YR.Index,FXI.US.EQUITY
X5.HK.Equity,0,0,0,0,0.0646082840416186,0,0,0,0,0.0666874716839284,0.0444362649075127,0,0,0
X601988.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X3988.HK.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X939.HK.Equity,0,0,0,0,0.133644766410726,0.245962143612402,0,0,0,0.0631792949248484,0,0.0398535780425585,0,0
X2628.HK.Equity,0,0,0,0,0,0.0756768210820328,0,0,0,0.457062859281914,0,0,0,0
X3328.HK.Equity,0,0,0,0,2.3021722136785e-07,0,0.99999788088144,0,0,0,0,0,0,0
X3328.HK.Equity.1,0,0,0,0,7.01225946268091e-07,0.999997342935138,0,0,0,0,0,0,0,0
X11.HK.Equity,0,0,0.0425390100517298,0,0,0.0293362159206424,0,0,0,0.045557142362695,0.0267161240893836,0,0,0.0270806945574681
X2388.HK.Equity,0,0,0,0,0.0646581314624508,0,0,0,0,0.129235962447282,0.0312399094188525,0,0,0
X2318.HK.Equity,0,0,0,0,0.526535316049619,0,0,0,0,0,0.0252932385840433,0.0851035745696537,0,0
X2882.TT.Equity,0.148114882882244,0.025104187376325,0,0,0.0613140540678773,0,0,0,0.22310879759519,0.36692908601194,0,0,0,0
X600036.CH.Equity,0,-0.214245680268839,0,0,-0.236420743427703,0,0,0,0,0.47178115406418,-0.0586715216946898,0,0,0
GCNY10YR.Index,0,0,0,0,0,-0.0261086911773233,0,0,0,0,0,0,0,0
FXI.US.EQUITY,0,0.0424995448675511,0,0,-0.162957259303814,0.408859250413602,0,0,0,0.386860989298033,-0.000156597258237857,0,0,0
