,X601398.CH.EQUITY,X1398.HK.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X000001.CH.EQUITY,X267.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,-0.10370354200852,0,0.104379186616992,0.0957443239655513,0,0,0,0,0,0,0,0,0,0,0,0.0929686874468044,0.0452508835672423,0,0,0,0.0120301375747239,0.131978808349606,0,0,0.00868226603310375,0.0215489192292968,0,0
X1398.HK.EQUITY,0,0,0,0,0.171672129664017,0,0,0,0,0,0,0.113965865722669,0.0503106801715358,0,0,0,0,0,0.0470350387572919,0.0639859119401616,0,0,0.0206860936660637,0,0,0,0,0,0,0
X2318.HK.EQUITY,0,0,0,0.166418912505116,0,0,0,0,0,0,0,0.0873981510461777,0.220339050401595,0,0.117299175773703,0.142414557016629,0,0,0,0,0.0309519360570266,0,0,0,0,0,0.00913275405935319,0,0,0
X601318.CH.EQUITY,0,0,0.0503453034656469,0,0,0,0,0,0,0,0.109600600564356,0,0,0.0640387145305141,0.0339517229671648,0,0,0,0,0.212075932785505,0,0,0,0.162365651530009,0,0,0.00711584506056639,0,0.0091247209583239,0
X939.HK.EQUITY,0,0.000917526838197756,0,0,0,0,0,0,0,0,0,0.117234529828956,0.0827138672955264,0,0,0,0,0,0.0970165372264571,0,0,0,0,0.0941507255945395,0,0,0.00559085323727834,0,0,0
X601939.CH.EQUITY,0.275766837967271,0,0,0,0,0,0,0,0,0,0,0,0.0451696374110327,0.0924899712835466,0,0,0,0,0.0165085175768481,0,0.0561920729893333,0,0,0,0,0,0.00724249755949129,0.0900285020860305,0,0
X601288.CH.EQUITY,0.0334771563337443,0,0,0,0,0,0,0,0,0,0.00993740241400255,0,0.0617636121015633,-1.73472347597681e-18,0,0,0,0,0.178299876968442,0,0,0,0,0,0,0,-0.00184147062430627,0.0327962792755409,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.235177380413517,0.0280419214124284,0,0,0,0.192969328823422,0,0,0,0,0,0.118018194782238,-0.0320532567562359,0.0436250662135286,0,0.0147739364868091,0,0,0.0336623913021006
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0210099323890081,0.178361777172491,8.67361737988404e-19,0,0,0,0,0,0,0.0190874503748273,0,0,0,0,0,0.000425343076354667,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0.094349742471899,0,0,0,0,0,0,0,0.0544425644332104,0,0.143866615317533,0,0.0352313938948285,0,0,0.0427700557645318,0,0,0.000825820865169653,1.73472347597681e-18,0,0
