,X601398.CH.Equity,X1398.HK.Equity,X601318.CH.Equity,X2318.HK.Equity,X601939.CH.Equity,X939.HK.Equity,X601288.CH.Equity,X5.HK.Equity,X601988.CH.Equity,X3988.HK.Equity,X600036.CH.Equity,X1299.HK.Equity,X601628.CH.Equity,X2628.HK.Equity,X601658.CH.Equity,GCNY3M.Index,GCNY10YR.Index,SHIF3M.Index,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.Equity,0,0,0.0182444427719273,0,0.372153132336081,0,0.141079667886765,0,0,0,0,0,0,0.146904104149938,0,0,0,0,0,0
X1398.HK.Equity,0,0,0,0,0,0.631128743246012,0,0,0,0,0,0.129097846688885,0,0.0574337534185665,0,0,0,0,0,0
X601318.CH.Equity,0,0,0,0.191908241847907,0,0,0,0,0,0,0,0.0919038177387977,0.0433478327989861,0,0,0,0,0,0,0
X2318.HK.Equity,0,0,3.31054397865872e-05,0,0,0,0,0,0,0.109481628059008,0,0.258696579111905,0,0,0,0,0,0,0,0
X601939.CH.Equity,0.240485053443775,0,0,0,0,0,0,0,0,0,0,0.0491841586274745,0,0.0548853522024285,0,0,0,0,0,0
X939.HK.Equity,0,0.562611030644793,0,0,0,0,0,0,0,0,0,0.0587810373711289,0,0,0,0,0,0,0,0
X601288.CH.Equity,0.461556329703087,0,0,0,0,0,0,0,0,0,0.0394691950149904,0.0252506069191743,0.00880953794913169,0,0,0,0,0,0,0
X5.HK.Equity,0,0.0205236008807712,0,0,0,0,0,0,0,0,0,0.159250254371077,0,0.0845499749391926,0,0,0,0,0,-0.00572309953944503
X601988.CH.Equity,0.0858119125226232,0,0.124577120071149,0,0.0965646432454641,0,0,0,0,0,0,0,0.00212447789725077,0.0322005355264612,0,0,0,0,0,0
X3988.HK.Equity,0,0.129382932013735,0,0,0,0.332200093784771,0,0,0,0,0,0.0796355606586301,0,0,0,0,0,0,0,0
X600036.CH.Equity,0,0,0.0814623308880764,0.0327045362204723,0.202264053302551,0.03380236389751,0,0,0,0,0,0.18846984994263,0,0,0,0,0,0,0,-0.00411724506744563
X1299.HK.Equity,0,0.104613362511368,0,0.0446333840927521,0,0.320170441218638,0,0,0,0,0.29779750292641,0,0.0268600453246983,0.10094434162537,0,0,0,0,0,0
X601628.CH.Equity,0,0,0.391647765087297,-0.242013426912552,0,0,0,0,0,0,0,0.12464716776786,0,0.61194423653813,0,0,0,0,0,0.00589051872947707
X2628.HK.Equity,0,0.0259910102532745,0,0,0,0.347616126141464,0,0,0,0,0,0.0633869115214197,0.281046347016712,0,0,0,0,0,0,0.0130055312732076
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCNY3M.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCNY10YR.Index,0,0.138600788878363,0,0,0,0,0,0,0,-0.120022882854279,-0.16444880630123,0,0.0457937613534186,0,0,0,0,0,0.0408253410113586,0
SHIF3M.Index,0,0.0346049671852969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00205828614279476
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0739949669899659,0,0,0,0,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
