,X1398.HK.EQUITY,X601398.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X000002.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X1398.HK.EQUITY,0,0,0,0,0.64310475860013,0,0,0.092087710541693,0.0591756780136133,0,0.0944203963687296,0,-0.0197651859068722,0.0259765999524637,-0.203880529096794,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0.0602987652688721,0,0
X601398.CH.EQUITY,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.289239854261567,0.0101430096431875,0,0,0,-0.127360716279995,0,0,0,0,0,0.0264430158080409,0,0,0,0,0.00427290572704553,0,0,-3.46944695195361e-18,0.0791386140125502
X2318.HK.EQUITY,0.0759028862167281,0,0,0,0,0,0,0.130340676519527,0.0845514925303975,0,0,0,0.00900602253646057,0.114984050508546,0,0,0.0391956334598611,-0.00780790978703573,0,0,0,-0.0680661365838658,0,0,0,0,-0.000810893463749729,0,0.0494838334668838,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.133456502753643,0,0,0,0,-0.0603242238859112,0,0,0.0109688130187389,0,0,0,0.0362969840316602,0,0,0.424741327783442,0,0,0.0297097289142883,0.086377262794355,0
X939.HK.EQUITY,0.729436868567501,0,0,0,0,0,0,0,0.0218021676526236,0,0,0,0.117321983528781,-0.0200972605266403,0,0,0,0,0,0,0,0.0352538882356687,0,-0.0401361779203566,0,0,0.0292884622766866,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0.921157929179797,0.00304570131127854,0.0117503491469465,0,0,0,0,0.0067208148058841,0,0,0,-0.0292891619201307,0,0,0,0.144528311753296,0,0.0683987774040067,0,0,0,0,-0.00677873441662415,0
X601288.CH.EQUITY,0,0,0,0,0,0.781643654046001,0,0.0144750926377994,-0.0869480686541279,0,0,0,-0.0417139426345919,0,0.0242671668755488,0,0,0.0139059641167202,-0.0150779659490435,0,0,0,0,0.120231392602745,0,0.0529531514828248,0,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0.110080416372238,0,0,0.225266660413112,0.315377764331489,0.512959647321236,0,0,0,0.230567044082226,0,0,-0.0053060019593789,0,0,0,0,0,0,0.020336070033646,0,0,0,0.175225080663465,0
X601628.CH.EQUITY,0,-0.0907627080714811,0,0,-0.133670742288174,0,0,0.436812152880812,0,0,0,0,0,0,0.0646386842459997,0.645241042890924,0,0,0,0,0,0,0,0,0.182304322505727,0,-0.293128158715543,0.0654930897832468,0,0
X600036.CH.EQUITY,0.0778433916313875,0,0,0,0,0.405290202391683,0.164860010727376,0,0,0,0,0,0.0143692964104451,0.121788825313764,0,0,0,0,0,0,0.00314430498588259,0.0770233228847547,0.0831290348113059,0,0.0512348274167814,0,-0.0646146116170613,0.0555329673984373,0,0
