,X601398.CH.Equity,X601939.CH.Equity,X601318.CH.Equity,X601288.CH.Equity,X601988.CH.Equity,X600036.CH.Equity,X601628.CH.Equity,X601658.CH.Equity,X601328.CH.Equity,X601166.CH.Equity,X600000.CH.Equity,X600030.CH.Equity,X000001.CH.Equity,X600016.CH.Equity,X601319.CH.Equity,GCNY10YR.Index,SHIF3M.Index,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.Equity,0,0,0,0,0,0,0.0606214290122321,0,0,0,0,0,0.190368374143013,0,0,0,0,0,2.16840434497101e-19
X601939.CH.Equity,0,0,0,0,0,0.0558203362085027,0.0859633131912005,0,0,0.00279880889272115,0,0,0.177288475798552,0,0,0,0,0,0
X601318.CH.Equity,0,0,0,0,0,0,0.0964537780604085,0,0,0,0,0.127321238237127,0.313544894660394,0,0,0,0,0,-0.000983145633918095
X601288.CH.Equity,0,0,0.0900457753245182,0,0,0,0.0761911757738321,0,0,0.137506718074277,0.0764755426059798,0,0,0,0,0,0,0,0
X601988.CH.Equity,0,0,0.0536012611643146,0,0,0,0.0288972709261242,0,0,0,0,0.0130637183458394,0.117161926873069,0,0,0,0,0,0
X600036.CH.Equity,0,0,0,0,0,0,0.105344066740932,0,0,0.249816148285524,0,0.011395937165148,0.335407700994992,0,0,0,0,0,0
X601628.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0.0743722210339042,0.288243382038485,0,0.224456914976861,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0.0305099792489438,0,0,0,0,0,0.0350026187777128,0.218051680890037,0,0,0,0,0,-0.00183764888283098
X601328.CH.Equity,0,0,0.0274295886509306,0,0,0,0.00344869248172208,0,0,0,0.152018016768064,0.0199485140144214,0.169849252386274,0,0,0,0,0,0
X601166.CH.Equity,0,0,0,0,0,0.0686460442018886,0.0917084198825527,0,0,0,0,0.0437167926039041,0.242218876112737,0,0,0,0,0,-0.00973668106769288
X600000.CH.Equity,0,0,0,0,0,0,0,0,0,0.06590963817799,0,0,0.310757329474825,0,0.0165938787746375,0,0,0,2.71050543121376e-20
X600030.CH.Equity,0,0,0,0,0,0,0.00130498134076958,0,0,0,0,0,0.0492024868419044,0,0.667630072445331,0,0,0,0.0339465306211541
X000001.CH.Equity,0,0,0,0,0,0.34252391832008,0.0774119217810579,0,0,0,0,0.136610773172024,0,0,0.198787050061355,0,0,0,0
X600016.CH.Equity,0,0,0,0,0,0.235605222081944,0,0,0,0,0,0.0232068344533545,0.0518275142770222,0,0,0,0,0,-0.00373468227265518
X601319.CH.Equity,0,0,0,0,0,0,0.298912038016537,0,0,0,0,0.250292969788177,0.146970160372626,0,0,0,0,0,-0.00367117494172185
GCNY10YR.Index,0,0,0,0,0,0,0,0,0,0,0,0,-0.106755774799982,0,0,0,0,0.0235311622684517,-0.0162234164665447
SHIF3M.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00852287394219397
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.150667328460415
VXFXI.INDEX,0,0,0,0,0,-0.096546320291717,-0.0194022456041332,0,0,0,0,0,0,0,-0.74070172677875,0,0,-2.52410986850436,0
