,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.27844723137952,0,0,0,0,0,0.130910180491766,0,0,0,0,0,0.0705496342895439,0,0,0,0.0308043117304447,0.0232206143777013,0,0.114145562352028,0,0,-0.00755496090146365,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0.694823185955129,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0.0299338124140602,0.0179006199959982,0.0776669234982326,0,0,-0.0235353077173838,0,0,0,0,0.00727307141749078,0.0273678110650047,0,0
X601318.CH.EQUITY,0,0,0,0.235121173085451,0,0,0,0,0.0209025796582016,0,0,0,0.0552720371474415,0.229581434063635,0,0,0.0831600340212608,0,0,0,0,0.143419490343362,0,0.121678389400135,0.0413482296066451,0,-0.026937547458725,0,0,0
X2318.HK.EQUITY,0,0,0.443662737143133,0,0,0,0,0,0,0,0,0,0.0617148858094731,0,0,0,0,0,-0.0505502175382227,0,0,0.174945718213322,0,0.0391795349173299,0,0.0440157384481753,0,0,0,-0.0535797419198848
X601939.CH.EQUITY,0,0,0,0,0,0,0.215807333460329,0,0,0,0,0,0,0.1347229935176,0,0,0.201462880491704,0,0,0,0,0.0883841506371194,0,0,0,-0.0276776503778107,-0.00380493267535247,0,0.0518930211482697,0
X939.HK.EQUITY,0,0.687106464875826,0,0,0,0,0,0,0,0,0,0,0,0,0.0590776853752503,0,0.0683940884035592,0,-0.0707957117861359,0,0.0305451650381857,0,0.045082481194043,-0.00181655666525552,-6.93889390390723e-18,0,0.0110785928582004,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.148194789841705,0,0.0395210202424769,0,0,0.424205755081795,0,0,0,0.0472935015621335,0.0319981360702754,0,0,0,0,0,0,0.0607026644328698,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0311903028254517,0,0.0796148996401848,0.0934105546934364,0,0.156232730106396,0,0.0279966394405505,0,0,0,0,0.0458962717649169,0,0,0,0,0,0,0,0
X3988.HK.EQUITY,-0.0735636321670412,0,0,0.0338734483049232,0,0.396508830465856,-0.14302630269756,0,0,0,0,0,0,0,0,0,0,0,-0.0622045659476704,0,0,0.0929679022430235,0,0.109880241285265,0.00711367423526643,0,-0.00822142429456064,0.169174346677171,0,0.0591897744383059
X601988.CH.EQUITY,0,0,0.0516410603911264,0,0,0,0,0,0,0,0.0365996582409445,0.00743330941539012,0,0.105356769457376,0,0,0,0,0.00414119075132732,0,0,0.0398296941235245,0.196597459332762,0,0,0,0.017838098492062,0,0.0757397006071304,0
