,X601398.CH.EQUITY,X1398.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0139121958314273,0,0,0.149079607914209,0,0,0,0,0.0198822413807261,0,0,0,0.264469742091272,0,0,0,0.00169905521881713,0,0,-0.00856991375543706
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0365393947979992,0,0.0297402697579108,0.101068886432173,0,0.0214153657244267,0,0,0,0,0,0,0.11219219142773,0.191917502469521,0,0,0,-0.00194043682565329,0.0888181547735746,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0061472859067135,0,0,0,0,0,0,0.065245984445123,0.187662255800665,0,0,0,0,0.312766952223929,0,0,0,0.0105077386907047,0,0.0162003131585017,-0.0213180035390674
X939.HK.EQUITY,0,0.0398874059191403,0,0,0,0,0,0,0,0,0,0,0.039976904880162,0,0.241374120712004,0,0,0,0.0313245986094487,0.027589891757413,0,0,0.137994944341144,0,0,0,-0.00708493151462236,0.0747472390741547,0.0862237452371855,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0877658176771354,0,0.0911401145101279,0.194289137570794,0,0,0.119217923838276,0,0,0,0,0,0.115296399287675,0.137583574539082,0,0,0.00670965880155665,-3.46944695195361e-18,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.275236030838338,0,0,0,0,0,0.0778890374494311,0,0.06694890607938,0.138955992074725,0.167198451323111,0.0300958423007698,0,0,-0.00125320475107755,0.000505372086164253,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0207226376494784,0.0249825360531711,0,0,0,0.0279318085266225,0,0,0,0,0.201214747835072,0.0978417790514639,0,0,-0.000294292249644546,0.0226387849746519,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.149155208782506,0,0.235840012090249,0,0,0,0,0,0,0.160743852261792,0.0584311086968647,0,0,0.0439058108452545,0,0,0,0.0156450966389797,0.0207963284053103,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.031385395374342,0.0162883013387512,0,0,0,0,0.0270072372102917,0.0679254903216889,0,0,0.149114458401849,0,0,0,0.00283729821335045,0.0520606307236202,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.395884705059933,0,0.233499932870264,0,0,0,0,0.0831989795494807,0,0,0,0,0,0,0,0,0.137239089697693,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.267825011611613,0.147538466919415,0,0.0117137139591847,0,0,0,0,0,0,0,0.37644027602868,0,0,-2.16840434497101e-19,0,-0.109822231450718,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.100778620161149,0,0.310009258784818,0,0,0.125216984132386,0,0.412239851807673,0,0.155716976526072,0,0,0,0.00490543277409637,0,0,0,0,0,0,0,-0.0173895277110467,0,0,0
X2628.HK.EQUITY,0,0,0,0,0,0.343856835563114,0,0,0,0,0,0.0771645418557868,0,0,0,0,0,0,0.21041742204282,0.245788184940785,0,0,0.105245144334481,0.109393546157566,0,0,-0.00607675771850812,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,-0.140720253786131,0,0,0,0,0,0,0.501956988621269,0,0,0,0,0,0,0,0,0,0.131117405848816,0.168303620708688,0,0,0.0303598712869406,0.0463493508124948,0.0556798066414406,0
X3328.HK.EQUITY,0,0.0108647359420563,0,0,0,0,0,0,0,0.100221445884507,0.0754928988806142,0.13561736861005,0.18843301617367,0,0,0,0,0,0.109451035093645,4.33680868994202e-19,0,0.106361941474739,0.00944343269643526,0,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0741021399312944,0,0,0,0.0203466431030285,0.383247198884797,0,0.0758806685847817,0,0,0.00594640939854691,0,0,0,0,0,0,0
