,X601398.CH.EQUITY,X1398.HK.EQUITY,X939.HK.EQUITY,X601939.CH.EQUITY,X2318.HK.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0.116938845886131,0,0,0,0,0,0.247020192313811,0,0,0,0.0243842693629294,0,0,0,0,0,0.0175966894884888,0,0,0,0,0,0,0.00295165969751139,0,0.0148857919047001,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0942868674206546,0.302469031628878,0,0.153480393437659,0,0,0,0,0,0,0,0,0.0482659601069283,0,0,0.00265160467133835,0.0140934094036004,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231223971477053,0,0,0,0,-3.46944695195361e-18,0,0,0,0.22286252458639,0,0,-0.0136617953958177,0.150582322044717,0,0
X601939.CH.EQUITY,0.827826264368795,0,0,0,0,0,0,0,0,0,-0.00331567200292644,0,-0.0571244954293283,0,0,0,0,0.294344622223513,0,-0.0313326757858429,0,0,0,0.00679926686150438,0,0.0279173029839165,0.00856345731696718,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0.162941572091017,0,0,0,0,0.108298479289403,0,0.0846617069606043,0,0,0,0,0,0.262715633393762,0,0,0,0.0952278316091335,0.0612213525694346,0,0,-0.00799117802561873,0,0.0213791528597604,0
X601318.CH.EQUITY,0,0,0,0,0.0767845817294027,0,0,0,0,0.189050174587338,0,0,0.0957689315112005,0.177293743369757,0,0,0,0,0,0.0410360586280089,0.109693434272822,0,0,-3.46944695195361e-18,0,0,0.009668078440507,0,-0.0185623880547739,0
X601288.CH.EQUITY,0,0,0,0.137580682763855,0,0,0,0,0,0,0,0.0014280739043368,0,0.0318991659518293,0,0,0.152466222015028,0,0,0.059854458247729,0.01858079622182,0,0,0.00209174176252796,0,0,-0.00762482497787237,0.0292948231190004,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0.074196154415875,0,0,0,-0.0610832718367877,0,0,0,0.218224174835923,0,0,0.0825482560157956,0,0,0,0,0,0,-0.0125777567324089,0.0302596937919264,0.0337314663898934,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.383815342220161,0,0,0,1.35525271560688e-20,0,0,0,0,0,0.0271206139194531,0,0,0.150293013099019,0,0,0,0.0155183193311274,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0733488472387861,0,0.149372165251155,0,0,0,0.45255870462457,0,0,0,0,0,0.304498005035893,0,0,0.00908071313160824,0,0,0,0
