,X5.HK.Equity,X601988.CH.Equity,X3988.HK.Equity,X939.HK.Equity,X2628.HK.Equity,X3328.HK.Equity,X3328.HK.Equity.1,X11.HK.Equity,X2388.HK.Equity,X2318.HK.Equity,X2882.TT.Equity,X600036.CH.Equity,GCNY10YR.Index,FXI.US.EQUITY
X5.HK.Equity,0,0,0,0,0.0944385895094868,0,0,0,0,0.061001642736686,1.07910361192435e-06,0,0,0
X601988.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X3988.HK.Equity,0,-0.169504473780019,0,0,-4.13590306276514e-25,3.5822560874454e-08,0,0,0,2.41500620612296e-08,1.1950418049448e-08,0,0,0
X939.HK.Equity,0,0,0,0,0.104850546591756,0.192701914132869,0,0,0,0.118652100816817,0,0,0,0
X2628.HK.Equity,0,0,0,0,0,0.082471262762002,0,0,0,0.448103668570088,0,0,0,0
X3328.HK.Equity,0,0,0,0,2.59258593889191e-07,0,0.999999035073418,0,0,0,0,1.11410062388167e-07,0,0
X3328.HK.Equity.1,0,0,0,0,0,0.999997984634577,0,0,0,5.32294020061651e-07,0,0,0,0
X11.HK.Equity,0,-0.0114718304162671,0,0,0.0249301136792646,0,0,0,0,0.0442732054466632,0.0133488192969916,0,0,0.00924453462187879
X2388.HK.Equity,0,0,0,0,0.0555027766765235,0,0,0,0,0.116001737057066,0.0466116824267887,0.030248823546065,0,0
X2318.HK.Equity,0,0,0,0,0.506338364376997,0,0,0,0,0,1.87832569807793e-06,0,0,0
X2882.TT.Equity,0.205438924627991,0.01099124904227,0,0,0.0312032263317454,0,0,0,0,0.454643539653752,0,0,0,0
X600036.CH.Equity,0,-0.212307226022084,0,0,-0.223904901568742,0,0,0,0,0.460867503738875,-0.0581402174576224,0,0,-0.0315597388166561
GCNY10YR.Index,0,0,0,0,0,-0.0258685865835723,0,0,0,0,0,0,0,0
FXI.US.EQUITY,0,0.0389696709897329,0,0,-4.33680868994202e-19,0.519424777771553,0,0,0,0,0,0,0,0
