,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.0489737514479803,0,0,0,0,0,0,0,0,0,0,0.0507359006306883,0,0,0,0,0,0.113255944044527,0,0.0355376663924744,0,0,-0.00946751399296927,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0.639828416073017,0,0,0,0,0,0,0,0,-0.0133335329917214,0,0,0,0,0,0.058515783382227,0,0,0,0.0693408902596528,0,-0.00162348458217169,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0392861300119074,0,0.0835774846359128,0.0527978349367856,0,0,0,0.119864215983245,0,0,0,0.0611902163167476,0.124551133014015,0,0,0.392041715234026,0,-0.0577946777956974,0.0344574672383061,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0.13076801117955,0,0,0,0.0785410635155088,0.113487283582214,0.0307470493903789,0,0,0,0,-0.0106575963880676,0,0,0,0,0,0,0,-0.00335431386893339,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0.0315901861248151,0,0,0,0,0.229785495136978,0,0,0,0,0.0386611155665246,0.0435765481415565,0.156750990459461,0,0,0.0251520917208887,0,0,0.0148510242639021,0,-0.0381551724821154,0,0,0
X939.HK.EQUITY,0,0.708515413687431,0,0,0,0,0.0160704347580006,0,0,0,0,0,0.144953191658018,-0.0136188185974259,0,0,0,0,0,0,0.0561596848815468,0,8.67361737988404e-19,0,0,0,0.0258655208298362,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0.307638915187404,0,0.405208592954861,0,0,0,-0.218835521201775,0.211225826135991,0,0,0,0,0,0,0.651514491243357,0.330161098126747,0,0,0,-0.148732740362852,-0.248220296764082,0,0
X2628.HK.EQUITY,0,0,0,0.806065823120574,0,-0.235697031255437,0.0674834800178331,0,0,0,0,0,0.0929076706038212,0,0.330454343656953,0,0,0.127723906416833,0,0,0,0.322184093478998,0,0,0,0,-0.00291959534740439,0,0.00648938481494332,0
X601288.CH.EQUITY,0,0,0.0780123045804965,0,0.0882565899664956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0231815918030938,0.0201448443080185,0,0.0972678262682563,0,0,0,0,0.0136727492573198
X600036.CH.EQUITY,0,0,0.23353531487752,0,0,0,0.17516818478761,0,0,0,0,0,0,0.0490055842934989,-0.0651492349847937,0,0.240564406518216,0,0,0,0.0789900300656438,0,0,0,0,0,0.0113156350832528,-0.017451824428115,-0.0577110421767593,0
