,X5.HK.Equity,X601988.CH.Equity,X3988.HK.Equity,X939.HK.Equity,X2628.HK.Equity,X3328.HK.Equity,X3328.HK.Equity.1,X11.HK.Equity,X2388.HK.Equity,X2318.HK.Equity,X2882.TT.Equity,X600036.CH.Equity,GCNY10YR.Index,FXI.US.EQUITY
X5.HK.Equity,0,0,0,0,0.0768534115278482,0,0,0,0,0.0437780282846642,0.0988128934488355,0,0,0.0369412582723401
X601988.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X3988.HK.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X939.HK.Equity,0,0,0,0,0.214216804419996,0.117290444022592,0,0,0,0,0,0,0,0.0440048769776987
X2628.HK.Equity,0,0,0,0,0,0.145274026605086,0,0,0,0.457477972889383,0,0,0,0
X3328.HK.Equity,0,0,0,0,9.63434803009349e-08,0,0.999998761344459,0,0,0,0,0,0,0
X3328.HK.Equity.1,0,0,0,0,4.06478019243986e-07,0.999997547236407,0,0,0,0,0,0,0,0
X11.HK.Equity,0.0842721063646752,-0.0073231635468649,0,0,0,0.0328994452470168,0,0,0,0.0706042062756393,0.0137344469936776,0.00259620792759248,0,0.00651524928902677
X2388.HK.Equity,0,-0.0344037148908808,0,0.118724009058091,0.0646364472543698,0,0,0,0,0.0450729469418931,0.0490881134968957,0.0138868379863555,0,0
X2318.HK.Equity,0,0,0,0,0.509018281625586,0,0,0,0,0,0.0734609993103325,0.0133977028302356,0,0
X2882.TT.Equity,0,0.0321145168001086,0,0,0.042053788008432,0,0,0,0.202257853495877,0.511519228524403,0,0,0,0
X600036.CH.Equity,-0.100162217426247,-0.233677838311876,0,-0.334649690117817,-0.284055541185626,0.325305626262705,0,0,0,0.517433963194367,-0.094692477131224,0,0,0
GCNY10YR.Index,0,0,0,0,0,-0.035503289404427,0,0,0,0,0,0,0,0
FXI.US.EQUITY,0,0.0508382995360276,0,0.0772865107195985,-0.251433319573866,0.276669055943128,0,0,0,0.64346071928577,0,0,0,0
