,X601398.CH.EQUITY,X1398.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601628.CH.EQUITY,X2628.HK.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X3988.HK.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X3328.HK.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.0512866061217835,0,0,0.0709672349171715,0.0260494803891745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107291157514455,0,0,0.0648982513324043,0.103740629472204,0,-0.00457889714057762,0,0,0
X1398.HK.EQUITY,0,0,0,0,0,0.640726221903587,0,0,0,0,0,0,0,0,-0.0201661265753345,0,0,0,0,0,0.017138840069821,0.0186520544840234,0,0,0,0,-0.0134731472951521,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0505116898713191,0,0.0541431907516629,0.137668325056541,0,-0.0541517051957844,0,0,0.153474351803654,0,0,0.0280527850171742,0.0102795350108992,0.100597196782383,0,0.36734907060197,0,-0.0421046473192755,0.0535725031687167,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0.0133972771935231,0.125126558119245,0,0.0178257969545388,0,0,0,0.0262683863661686,0.0123946592032316,0,0,0,0,0,0,0,0,0,0,0,-0.0199121479468625,0,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0.0113492653713111,0,0,0,0,0.121866240673996,0,0,0.0737992939749036,0,0.0236988221296196,0.13800260129054,0,0,0,-3.46944695195361e-18,0,0.0127469741488904,0.117014094463844,0,-0.00278000237751738,0,0,0
X939.HK.EQUITY,0,0.665172317633247,0,0,0,0,0.0101500670173554,0.00825137578366924,0,0,0,0,0.119962159860275,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0162165625672271,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.168360003384996,0,0,-0.0184972163198949,0,0.120540503109663,0,0.21910522227663,0,0,0,0,0.230830954473025,0.524438804640971,0,0.183034333008274,0,-0.133351445154589,-0.24864165274158,0,0
X2628.HK.EQUITY,0,0,0.189430069033714,0,0,0,0.213067144711096,0,0,0,0,0,0,0,0.173728564840115,0,0,0,0,0,0,0,0.221734959745187,0,0,0,-0.0194768398973955,0,0.0545408491755822,0
X601288.CH.EQUITY,0,0,0.0450806091809682,0,0.161554887935208,0,0,0,0,0,0,0,0,0,0,0,0,0.00950405286728002,0,0,0.0196783691717945,0.00242167716781608,0,0,0.145117258609071,0,-0.00450589585005326,0,0,0
X600036.CH.EQUITY,0,0,0.198471002267196,0,0,0,0.161470576635764,-0.0208203619930093,0,0,0,0,0,0.0274472790565789,-0.0436649310271398,0,0,0.26802055179096,0.0367237870323945,0,0.0763108778260481,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.118049440242571,0,0,0,0,0.224254248340991,0,0,0,0.00658747922256808,0,0,0,0,0,0,0,0,0,0,0.0680092413370475,0,0,0,0,0
X3988.HK.EQUITY,0,0.1645866643069,0.128501618983146,0,0,0,0.00614549431089849,0,0,0,0,0,0,0,0.0949621642060319,0,0,0.0634303088308747,0,0,0,0.02456476594072,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.126709766026747,0,0,0,0,0,0,0,0.015142162417554,0.379059392217379,0,0,0,0,0,0,0.123553145808818,0,0,0,0,0.00220145932109057,0,-0.108045182349075,0
X5.HK.EQUITY,0,0,0,0.213738427283003,0,0,0,0,0,0,0,0,0.305604370495503,0,0.105662925346043,0,0,0,0,0,0.077637241008773,0.0657071811810017,-0.13873183947673,0,0,0,-0.0496190292934376,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.575382673974755,0,0,0,0,0,0.114626007652268,0,0,0,-0.0539295774306216,-0.146710713346236,0,0,0,-0.0372356660340021,-0.0108593427293629,0,0,0,0,0.0427045837538699,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0642083530476133,0,0,0,0,0.151011667545899,0,0,0,0,0,0.0375890441034966,0.318370384199712,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0.242498146236193,0,0,0,0,0,0,-0.0778992741335692,0.11443282266886,0,0,0,0,0,0,0.516415595026704,0,0,0.046112413900147,0,0,0,0,0
X000001.CH.EQUITY,0,0,0,0,0,0,0.0548689469178196,0,0,0.765943298402091,0,0,-0.0696128841548127,0,0.110508968103972,0.15644043081138,0.0658270296054859,0,0,0,0,0,0.123479014347087,0,0.0579021812288724,0,-0.0437371230424891,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0.097613609536162,-0.0937404463316392,0.090301024998714,0,0.0922548290927622,0,0,0,0.0751074429700692,0,0,0,0.04763720769909,0,0,0,0.0346268952776188,0,0,0,0,0,-0.0195027952794211,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0326533420000611,0.044830581774122,0,0,0,0,0.0631716809170532,0.0388616720864977,0.080996347276606,0,-0.0239971734170449,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0.10184020198813,0,0,0,0.164723273058112,0,0,0,0.0869035559251735,-0.104136334990679,0,0,0,0,0,0,0,0,0,0,0,-0.083104190287735,0.0280170763950298,0,0
X601066.CH.EQUITY,0,0,0,0,0,0.114876898425812,0,0,0,0,0,0,0,0,0,0,0.974671324994081,0,0.0624713988498905,0,0,0,0,0,0,0,0,0,-0.158351782456852,0
X601601.CH.EQUITY,0,0,0.0932473383699762,0,0,0,0.27767894653425,0,0,0,0,0,0,0,0,0,0,0.032144617510521,0,0,0,0,0,0,0.440584988982967,0,-0.00438994890931575,0.126044404015408,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.21539873613515,0,0,0,0,0,0.0535461249502685,0.0244761709854269,0,0,0.561198261123876,0,0,0,0,0.0685030311585811,0,-0.0188867631018262,0,0.0522702355663709,0
X601319.CH.EQUITY,0,0,0.278122547147519,0,0,0,0.0252601078958589,0,0,0,0,0,-0.0317760822720629,0,2.16840434497101e-19,0,0.0205070811063554,0.322057043113462,0.165986824280991,0,0,0,0.0191344294469037,0,0,0,0,-0.0798549051261273,0,0
FXI.US.EQUITY,0,0,0,0,0,0.251708462270193,0.0141080068816154,0,0,0,0,0,0,0.000300627962506995,0,0,0,0,0,0,0,0,0,0,0,0,-0.132386117419776,0,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,-0.0401811394451572,0,0,0,0,0,0,0,0.467887623069254,0,0,0,0,0,0.0559076070193525,0,0.0283355645412409,0,-1.90014527782187,0,0,0,-0.191623958895995
CN10YR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.79908641430182e-07,0,0.999981169982584,0.999978506429507
CN2YR,0,0,0,0,0,0,2.67767659696569e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28207936869924e-07,0,0,0.999971701856739,0,-0.999963479332761
CN210SLOPE,0,0,0,0,0,0,0,-5.47094101981245e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7276835356137e-06,0,0,0,0,0,0.999984059390025,-0.999978620110419,0
