,X5.HK.Equity,X601988.CH.Equity,X3988.HK.Equity,X939.HK.Equity,X2628.HK.Equity,X3328.HK.Equity,X3328.HK.Equity.1,X11.HK.Equity,X2388.HK.Equity,X2318.HK.Equity,X2882.TT.Equity,X600036.CH.Equity,GCNY10YR.Index,FXI.US.EQUITY
X5.HK.Equity,0,0,0,0,0.0378637572150006,0,0,0,0,0.0579349693640996,0.105014482601044,0,0,0.0479625645432844
X601988.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X3988.HK.Equity,0,0,0,0,0.156999833219975,0,0,0,0,0.0529971252350722,0,0,0,0
X939.HK.Equity,0,-0.0471644074817902,0,0,0.208186212577362,0.145981168906901,0,0,0,0,0,0,0,0.0238721608193615
X2628.HK.Equity,0,0,0,0.217135835449004,0,0.151286949084697,0,0,0,0.282024078166293,0,0,0,0
X3328.HK.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X3328.HK.Equity.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X11.HK.Equity,0,-0.003515071901459,0,0,0.00908414849446866,0.0414207344374691,0,0,0,0.0419784372649918,0.0520446829698366,0,0,0.0309244403321247
X2388.HK.Equity,0,-0.0304924109226362,0.0499278152839679,0.0494254159997514,0.0205899384891254,0.12162155673517,0,0,0,0,0.110268587440866,0.0363666689530197,0,0
X2318.HK.Equity,0,0,0,0,0.535739448193299,0,0,0,0,0,0.104603077694629,0,0,0
X2882.TT.Equity,0,0,0,0,0.0883995351339813,0,0,0,0,0.104930472359881,0,0,0,0.0699531741823189
X600036.CH.Equity,0,0,0.205974571661869,0,-0.255533615522965,0,0,0,0.249937026073481,0.25371495189304,0,0,0,0.132852299742568
GCNY10YR.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FXI.US.EQUITY,0,0.068402142842739,0,0.0759124988231383,0,0.163191601941329,0,0,0,0.311734792648534,0.0591081823001147,0.104389715293059,0,0
