,X601398.CH.EQUITY,X1398.HK.EQUITY,X601939.CH.EQUITY,X939.HK.EQUITY,X601318.CH.EQUITY,X2318.HK.EQUITY,X601288.CH.EQUITY,X3988.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X2628.HK.EQUITY,X601628.CH.EQUITY,X3328.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.0736396938153595,0,0,0,0,0,0,0.228514652546252,0,0,0,0.0277292073408924,0,0,0.0638467251417443,0,0,0,0,0,0,0.0169607178471372,0,0,0,0,0.00401887022683562,0
X1398.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0671297273286447,0.110742562482814,0,0.0663540725110105,0,0,0,0,0,0,0,0,0.175779997671022,0,0,-0.0183663286829185,0.0150483078636997,0,0
X601939.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.100781198989169,0,0,0,0,0,0,0.060575589185677,0,0,0,0,0.0326982655500455,0,0.0854425988070229,0,0,0,0.0440896026301503,0,0
X939.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0763605313578996,0.104062694222172,0,0.0224024786185488,0,0,0,0,0,0,0.0761476004717082,0,0.148896905902771,0,0,-0.0136917280567121,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0633962086741609,0,0,0,0.0966598505071013,0,0,0.0874762056880484,0.0512049320105075,0,0,0,0,0,0,0.108991689239285,0.0771944626841967,0,0.0922040667529682,0,0,0,0,0,0
X2318.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.00549292865367555,0.270159728652648,0,0.113764563161386,0,0,0,0,0,0.0821280985656899,0.0315861685790669,0,0.0278966024609801,0,0.0583000108087804,0,0,-0.00523130388099332,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.00294841744043217,0,0,0.120172459346838,0,0,0.0556764753967498,0,0,0.0256233308772509,0.0189076640684678,0,0,0.0227152230582429,0,0,-0.0072829146027026,0.0084123428092271,0,0
X3988.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.423833313480909,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0.0348044596151036,0,0,-3.46944695195361e-18,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0993980865862885,0,0,0.0968728375657923,0,0.0823289243984465,0,0,0,0,0,0.068580386477489,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0163771892742353,0,0.206912019426713,0,0,0,0.430217405228604,0,0,0.0276513907015149,0,0.0226662324812164,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.41320711784646,0.0679033515968817,0,0,0,0,0,0,0,0,0,0.318535525602868,0,0,-0.0133647969409309,0,0.00533321290040588,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.058908197854795,0,0.0706818137992718,0,0,0,0,0,0.282330675290463,0,0,0,0,0.251002648575102,0,0,-0.00108846376864642,0.119601629913678,0.0479609784565724,0
X2628.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0506280960104281,0,0.0325053765251872,0,0.386126802648592,0,0,-0.0568642696999618,0,0,0
X601628.CH.EQUITY,0,0,0,0,0.180985926963176,0,0,0,0,0,0,0,0.284806276183329,0,0,0,0,0,0,0,0,0.341248269173623,0.00625552218262947,0.00988735316219404,0,-0.0308895137482021,0,0,0,0
X3328.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.208578827750293,0.0128942262945417,0.149716702336978,0,0,0,0,0,0,0,0.0482929427665999,0,0,0.116586352379652,0,0,-0.00021222920340179,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0181750857934142,0,0,0.00456700512776464,0,0,0,0.227596450394598,0,0.0608409230314534,0.00646207810810929,0,0.00921919816884852,0,0,0,0,-0.000337592125591269,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.533418154601192,0,0,0,0.0387106627534932,0,0,0,0,0,0,0,0,0,0.0156409096516873,0,0,-0.00495554451554642,0,0,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0869463357267794,0,0,0.129072741823095,0,0,0,0,0,0,0,0.0164939462313571,0,0.063452936602461,0,0,-0.00600847172978044,0.0172652303035708,0,0
