,X600958.CH.EQUITY,X600837.CH.EQUITY,X601288.CH.EQUITY,X601108.CH.EQUITY,X600816.CH.EQUITY,X3056.TT.EQUITY,X601318.CH.EQUITY,X600369.CH.EQUITY,X3040.TT.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X600919.CH.EQUITY,X601066.CH.EQUITY,X600061.CH.EQUITY,X2905.TT.EQUITY,X600848.CH.EQUITY,X300059.CH.EQUITY,X601328.CH.EQUITY,X2881.TT.EQUITY,X002142.CH.EQUITY,X3266.TT.EQUITY,X601166.CH.EQUITY,X601155.CH.EQUITY,X600036.CH.EQUITY,X600926.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN10YR,CN2YR,CN210SLOPE
X600958.CH.EQUITY,0,0,0,0.045481959897638,0,-0.127389742663758,0,0.408535578024856,-0.0201955455877304,0,-0.221943491017037,0.0583925441341862,0.0815458904340463,0,0,0,0.133195804363106,0,0,0.158246954853912,0,0,0,0,0,-0.10752056402851,1.73472347597681e-18,0,0,0
X600837.CH.EQUITY,0.242580380052669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209438826652897,0,0,0,0,0,0,0,0.0600256918298102,0,0,0,-0.0968126821088449,0
X601288.CH.EQUITY,0,0,0,0,0,0,0.0143307525220161,0,0,0.00535121496045689,0.014980151867136,0.187120776642157,0.00934457287957952,0,0,0,0,0,0,0,0,0,0,0,0.0284744284279101,0,-0.0233415275246802,0,0,0.011345511332856
X601108.CH.EQUITY,0.204471194461769,0,0,0,0.198322911096933,0.0104760744223712,0,0.255786171407946,0,-2.77555756156289e-17,0,0,0,0.620252420523158,-0.295281685337086,-0.246105050522183,0,0,0,0,0,0,0,0,-0.357810990799286,-0.304203174321207,0,0.0474541021084909,0,0
X600816.CH.EQUITY,0,0,0,0,0,0.156121222951416,0,0.263240092389104,0,0,0,0,-0.55689113712456,-0.063604436760072,0,0,0.260121948404363,0,0,0.114060646921079,0,0,0,0,-0.0284462862854981,0.00192808166782277,-0.105236456148073,0,0,0
X3056.TT.EQUITY,0,-0.0157764466722592,0,0.135047796349676,0,0,0,0.159892560169116,0.175472782694068,0.0441322398650249,-0.0405667654466007,0,0,-0.258956507412791,0,0,-0.0490687697052977,0,0.127403874398065,0,0.181189697233692,0,-0.166576238949904,0,0,0,1.73472347597681e-18,0,-0.108610544404115,0
X601318.CH.EQUITY,0,0.154604545051738,0,0.0626240860452668,0,0,0,0,-0.021859699520699,0.305104009581815,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,-0.0374179786005015,0,0,0,0.0623350893875841,0.0508549090643846,-0.085592140582948,0.0386270784796095,0,0
X600369.CH.EQUITY,0.314442951027394,0,0,0,-0.00191109236682913,0,0,0,0,0,0,0,0,0.0562019151403694,0,0.261130388167978,0.14118580031302,0,0,0,0,0,0,0,0.0644416754938705,0.191440017432289,-0.139013387065056,-0.053248779605837,0,0
X3040.TT.EQUITY,-0.102246652295019,-0.263722318013977,0,0,0,0.286472074056585,0,0,0,0.351722075339452,-0.0851042337086742,-0.187750628527293,0,0.304016148840448,0.092060900350668,0,0.541524733794043,0,0,0,0,0,0,0,-0.0951915539399414,0,0,0,-0.214023507131931,0.116206280200261
X000001.CH.EQUITY,0,0,0,0,0,0,0,-0.138557019517004,0,0,0,0,0,0,0.00672261355544856,0,0,0,0,0.0734561970858979,0,0.160770527210521,0,0.437886135996165,0.351362864200649,0,-0.0549403610425519,0.0275537112214813,0,0
X000002.CH.EQUITY,-0.144260820561521,0.395106275933761,0,-0.121772459723124,0,0.0794598320503248,0,0,0,0,0,0,0.124247295225395,0,0,0,0,0,0.294269016915346,-0.0412046291039976,0,0,0,0,-0.0665406175189985,0,0.0814643868000456,0,0.156056305830621,0
X600919.CH.EQUITY,0,0.00555925244651855,0,-2.16840434497101e-19,0,0,0,0,0,0,0.163280062105781,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.152618462202806,0.273415083099776,0,0,0,0,0
X601066.CH.EQUITY,0.293732028389888,0,0,0,0,0,0,0,0.129679311325104,0,0.0578309082972623,0,0,0.48433044126417,0,0.11091172203453,0.123340356944371,0,0,0,0,0,0,0,0,0,0.0295717863980074,0,0,0.250220740214112
X600061.CH.EQUITY,0.141670868575249,0,0,0.239072582610711,0,0,0,0,-0.0824802790013078,0.274581422153723,0,0,0,0,0,0,0.268478922032434,0,0,0,0,0,0,0,0.0704146979633093,0,0,0,0,-0.0251766422321065
X2905.TT.EQUITY,0,-0.0396048344784093,0,0.113696505635247,0,0.388567477312116,0,0,0.392354176486013,0.1310501200322,0,0,-0.299370032364263,-0.124994147654471,0,0,-0.0392056132432134,0,0.17818880074382,0,0,0,0.133700162985693,0,0,0,0,0,-0.114749161296178,0
