,X601398.CH.Equity,X1398.HK.Equity,X601939.CH.Equity,X939.HK.Equity,X601318.CH.Equity,X2318.HK.Equity,X601288.CH.Equity,X601988.CH.Equity,X3988.HK.Equity,X5.HK.Equity,X600036.CH.Equity,X1299.HK.Equity,X601628.CH.Equity,X2628.HK.Equity,X601658.CH.Equity,GCNY3M.Index,GCNY10YR.Index,SHIF3M.Index,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.Equity,0,0.0556674399358489,0,0,0.179104052007185,0.0885141637681277,0,0,0,0,0,0,0.0742898212502811,0,0,0,0,0,0,0
X1398.HK.Equity,0,0,0,0.590080410337253,0,0,0,0,0,0,0,0,0,0.0993524248963422,0,0,0,0,0,0
X601939.CH.Equity,0,0.0573085129674591,0,0,0.0340109249925346,0,0,0,0,0,0.0543030098949817,0,0.1202242475994,0,0,0,0,0,0,-0.00413897520155197
X939.HK.Equity,0,0.710445153790905,0,0,0,0,0,0,0,0,0,0,0,0.0412557717872706,0,0,0,0,0,-0.00816479466065466
X601318.CH.Equity,0,0,0,0,0,0.0143749631505891,0,0,0,0,0.135438062784725,0.0395711653352225,0.287796578081474,0,0,0,0,0,0,0
X2318.HK.Equity,0,0,0,0,0.189355145793827,0,0,0,0,0,0,0.0991850255964159,0.039980882551924,0.250986705293556,0,0,0,0,0,-0.0138252054546313
X601288.CH.Equity,0.161768419703308,0.0192214505534919,0,0,0.106440499929398,0,0,0,0,0,0,0.0122506455786732,0.0962443664873556,0,0,0,0,0,0,-0.0109110901819876
X601988.CH.Equity,0,0,0,0.0608748823933305,0.183530951262363,0,0,0,0,0,0,0,0.0681859302281464,0,0,0,0,0,0,-0.0101497812950379
X3988.HK.Equity,0,0,0,0.216329087617294,0,0,0,0,0,0,0,0,0.0167243647586648,0.172577866598459,0,0,0,0,0,-0.00820933378653341
X5.HK.Equity,0,0.183243184844223,0,0,0,0,0,0,0,0,0,0.0961642868761263,0,0.0831435572495994,0,0,0,0,0,-0.0067283092050326
X600036.CH.Equity,0,0,0,0.0780960379863779,0.153551780287098,0,0,0,0,0,0,0.189334137315683,0.068455681091484,0.036795624608235,0,0,0,0,0,-0.020294247636674
X1299.HK.Equity,0,0.154425908228846,0,0.208148929775337,0,0.0710654173870371,0,0,0,0,0.268549663640941,0,0.00780998522461493,0.0235824710315316,0,0,0,0,0,0.00827456403188329
X601628.CH.Equity,0,0,0.222859663018431,0,0.259501565772472,0,0,0,0,0,0,0,0,0.378710695297022,0,0,0,0,0,0
X2628.HK.Equity,0,0.0634532583548667,0,0,0,0.0340130334100826,0,0,0,0,0,0,0.320268280420221,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0.10372019394217,0.0117596275593893,0,0,0,0,0,0,0.100068819661792,0,0,0,0,0,0,-0.00658179878977447
GCNY3M.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCNY10YR.Index,0,0,0,0,0,0.0746088154608669,0,0,-0.106627319868829,0.028301399694085,0,0,0.0388713221023941,0,0,0,0,0,0,-0.0222397995612043
SHIF3M.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010726545976789
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0514678319401485,0,0,0,0,0,0,-0.0506561165861715
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,4.2351647362715e-22,0,0,0,0,-0.000318776247725598,0,0,0,-1.88791782918667,0
